"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
2746,"LS14SQ","E01033008","9E8911C2-C3FD-2C71-E053-A03BA40A7146","Playing Field",4757.19825000068,490.35498,5,30002,34.3418803418803,"300-600m",297.740464700855,749.158975641379,5.67521367521368,65695.0512820513,2721.96475748143,"LS1 4SQ","LS1","4SQ","LS14SQ"
8434,"LS14EQ","E01033015","9E8911C2-C3FD-2C71-E053-A03BA40A7146","Playing Field",4757.19825000068,693.03534,4,9705,68.2758620689655,"600-900m",674.36367862069,5564.35015344833,3.62068965517241,33160.0344827586,2721.96475748143,"LS1 4EQ","LS1","4EQ","LS14EQ"
13299,"LS13EA","E01033005","9E8910AF-CF28-2C71-E053-A03BA40A7146","Public Park Or Garden",12597.3171500015,351.33603,6,254073,48.5542168674699,"300-600m",200.03910086747,75984.3706873502,6.97590361445783,315425.265060241,4916.82718682817,"LS1 3EA","LS1","3EA","LS13EA"
13300,"LS14HT","E01033016","9E8910A8-C891-2C71-E053-A03BA40A7146","Public Park Or Garden",228.551400000308,615.1114,5,31206,13.8409090909091,"600-900m",674.996627272727,16910.148936361,3.57954545454545,62484.3522727273,5527.81454659541,"LS1 4HT","LS1","4HT","LS14HT"
17465,"LS15EN","E01033016","9E8910AF-ECEC-2C71-E053-A03BA40A7146","Public Park Or Garden",2242.0474499976,565.8993,3,23971,13.8409090909091,"300-600m",674.996627272727,16910.148936361,3.57954545454545,62484.3522727273,3666.73962031177,"LS1 5EN","LS1","5EN","LS15EN"
24078,"LS15PY","E01033010","9E8910AF-ECEC-2C71-E053-A03BA40A7146","Public Park Or Garden",2242.0474499976,568.60004,3,23971,14.6344086021505,"300-600m",282.072733286739,4525.83023333251,4.45519713261649,40543.4336917563,3666.73962031177,"LS1 5PY","LS1","5PY","LS15PY"
24079,"LS16HB","E01033010","9E8910AF-ECEC-2C71-E053-A03BA40A7146","Public Park Or Garden",2242.0474499976,367.06674,4,39123,14.6344086021505,"300-600m",282.072733286739,4525.83023333251,4.45519713261649,40543.4336917563,3666.73962031177,"LS1 6HB","LS1","6HB","LS16HB"
24080,"LS16HW","E01033010","9E8910AF-ECEC-2C71-E053-A03BA40A7146","Public Park Or Garden",2242.0474499976,499.28848,3,23971,14.6344086021505,"300-600m",282.072733286739,4525.83023333251,4.45519713261649,40543.4336917563,3666.73962031177,"LS1 6HW","LS1","6HW","LS16HW"
29161,"LS16PU","E01033010","9E8910AF-ECEC-2C71-E053-A03BA40A7146","Public Park Or Garden",2242.0474499976,220.53798,4,39123,14.6344086021505,"Less than or equal to 300m",282.072733286739,4525.83023333251,4.45519713261649,40543.4336917563,3666.73962031177,"LS1 6PU","LS1","6PU","LS16PU"
31229,"LS12HJ","E01033010","9E8910A8-C891-2C71-E053-A03BA40A7146","Public Park Or Garden",228.551400000308,444.00113,5,31206,14.6344086021505,"300-600m",282.072733286739,4525.83023333251,4.45519713261649,40543.4336917563,5527.81454659541,"LS1 2HJ","LS1","2HJ","LS12HJ"
31230,"LS12LW","E01033008","9E8910A8-C891-2C71-E053-A03BA40A7146","Public Park Or Garden",228.551400000308,258.27893,6,43803,34.3418803418803,"Less than or equal to 300m",297.740464700855,749.158975641379,5.67521367521368,65695.0512820513,5527.81454659541,"LS1 2LW","LS1","2LW","LS12LW"
41940,"LS14LA","E01011678","9E8911C2-C3FD-2C71-E053-A03BA40A7146","Playing Field",4757.19825000068,256.44492,5,242787,53.9879518072289,"Less than or equal to 300m",213.827142144578,7959.88568253064,5.67469879518072,235674.710843374,2721.96475748143,"LS1 4LA","LS1","4LA","LS14LA"
49056,"LS13EW","E01033005","9E8910AF-CF28-2C71-E053-A03BA40A7146","Public Park Or Garden",12597.3171500015,378.08466,8,285946,48.5542168674699,"300-600m",200.03910086747,75984.3706873502,6.97590361445783,315425.265060241,4916.82718682817,"LS1 3EW","LS1","3EW","LS13EW"
49057,"LS14BN","E01033015","9E8911C2-C3FD-2C71-E053-A03BA40A7146","Playing Field",4757.19825000068,727.4861,4,9705,68.2758620689655,"600-900m",674.36367862069,5564.35015344833,3.62068965517241,33160.0344827586,2721.96475748143,"LS1 4BN","LS1","4BN","LS14BN"
