"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"LS992AE",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2AE",53.75105,-1.481764
"LS992AR",-1.500514,53.76575,2047.269,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2AR",53.75105,-1.481764
"LS992AU",-1.500514,53.76575,2047.269,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2AU",53.75105,-1.481764
"LS992BD",-1.500514,53.76575,2047.269,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2BD",53.75105,-1.481764
"LS992BE",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2BE",53.75105,-1.481764
"LS992BG",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2BG",53.75105,-1.481764
"LS992BL",-1.500514,53.76575,2047.269,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2BL",53.75105,-1.481764
"LS992BS",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2BS",53.75105,-1.481764
"LS992DA",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2DA",53.75105,-1.481764
"LS992DB",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2DB",53.75105,-1.481764
"LS992DG",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2DG",53.75105,-1.481764
"LS992DP",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2DP",53.75105,-1.481764
"LS992DZ",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2DZ",53.75105,-1.481764
"LS992HA",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HA",53.75105,-1.481764
"LS992HB",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HB",53.75105,-1.481764
"LS992HD",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HD",53.75105,-1.481764
"LS992HE",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HE",53.75105,-1.481764
"LS992HF",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HF",53.75105,-1.481764
"LS992HG",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HG",53.75105,-1.481764
"LS992HH",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HH",53.75105,-1.481764
"LS992HJ",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HJ",53.75105,-1.481764
"LS992HL",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HL",53.75105,-1.481764
"LS992HN",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HN",53.75105,-1.481764
"LS992HP",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HP",53.75105,-1.481764
"LS992HQ",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HQ",53.75105,-1.481764
"LS992HR",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HR",53.75105,-1.481764
"LS992HS",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HS",53.75105,-1.481764
"LS992HT",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HT",53.75105,-1.481764
"LS992HU",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HU",53.75105,-1.481764
"LS992HW",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HW",53.75105,-1.481764
"LS992HX",-1.501228,53.76572,2072.978,135782.5,"81B3347E-150B-33F1-E053-A03BA40A2BEA","602342D4-36E5-4647-BFE5-CDF35CADBBB9","LS99","2HX",53.75105,-1.481764
