"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
3096,"ME172LD","E01024361","9E8910B1-C5DC-2C71-E053-A03BA40A7146","Playing Field",13072.5830499978,294.822,2,31859,36.2291666666667,"Less than or equal to 300m",251.0987725,15096.3099593747,1.8125,28812.6041666667,1481.56837719298,"ME17 2LD","ME17","2LD","ME172LD"
3097,"ME174HY","E01024376","9E8910B1-AE35-2C71-E053-A03BA40A7146","Playing Field",23039.3346999977,538.2425,3,842591,33.1184210526316,"300-600m",479.687925868421,185700.134063156,1.48684210526316,261253.407894737,120.203364423718,"ME17 4HY","ME17","4HY","ME174HY"
8703,"ME171DF","E01024363","9E8910B1-B9C4-2C71-E053-A03BA40A7146","Playing Field",20926.9799499989,322.0947,1,20926,23.8015873015873,"300-600m",347.808877888889,20897.252943749,1.01388888888889,21186.9305555556,1689.9126984127,"ME17 1DF","ME17","1DF","ME171DF"
8704,"ME171GD","E01024363","9E8910B1-B9C4-2C71-E053-A03BA40A7146","Playing Field",20926.9799499989,489.0368,1,20926,23.8015873015873,"300-600m",347.808877888889,20897.252943749,1.01388888888889,21186.9305555556,1689.9126984127,"ME17 1GD","ME17","1GD","ME171GD"
8705,"ME172QJ","E01024361","9E8910B1-C5DC-2C71-E053-A03BA40A7146","Playing Field",13072.5830499978,170.65755,2,31859,36.2291666666667,"Less than or equal to 300m",251.0987725,15096.3099593747,1.8125,28812.6041666667,1481.56837719298,"ME17 2QJ","ME17","2QJ","ME172QJ"
13540,"ME171BX","E01024363","9E8910B1-B9C4-2C71-E053-A03BA40A7146","Playing Field",20926.9799499989,105.41821,1,20926,23.8015873015873,"Less than or equal to 300m",347.808877888889,20897.252943749,1.01388888888889,21186.9305555556,1689.9126984127,"ME17 1BX","ME17","1BX","ME171BX"
13541,"ME172PH","E01024362","9E8910B1-C5DC-2C71-E053-A03BA40A7146","Playing Field",13072.5830499978,207,2,31859,17.82,"Less than or equal to 300m",659.078699666667,12929.7045999975,1.46666666666667,21696.2666666667,1481.56837719298,"ME17 2PH","ME17","2PH","ME172PH"
13542,"ME174SE","E01024388","9E8910B1-B143-2C71-E053-A03BA40A7146","Playing Field",87784.895999989,357,3,134674,34.8392857142857,"300-600m",434.918434848214,65336.8915758862,2.98214285714286,127031.866071429,5985.44575976458,"ME17 4SE","ME17","4SE","ME174SE"
24247,"ME173EQ","E01024411","9E891068-7F67-2C71-E053-A03BA40A7146","Playing Field",22539.9255500006,114.28473,3,76257,25.25,"Less than or equal to 300m",185.969190526316,2367.09168026293,2.89473684210526,27978.2894736842,435.741379310345,"ME17 3EQ","ME17","3EQ","ME173EQ"
24248,"ME173HJ","E01024411","9E89103E-4013-2C71-E053-A03BA40A7146","Public Park Or Garden",452.797349999409,170.09703,3,26619,25.25,"Less than or equal to 300m",185.969190526316,2367.09168026293,2.89473684210526,27978.2894736842,681.75,"ME17 3HJ","ME17","3HJ","ME173HJ"
24249,"ME174GU","E01024342","9E891040-5E20-2C71-E053-A03BA40A7146","Playing Field",24646.9586999935,614.04395,1,24646,33.8793103448276,"600-900m",560.740797586207,210622.801779303,1.29310344827586,257642.672413793,3406.32911625242,"ME17 4GU","ME17","4GU","ME174GU"
26915,"ME174FU","E01024344","9E891040-5E20-2C71-E053-A03BA40A7146","Playing Field",24646.9586999935,149.1107,1,24646,30.3333333333333,"Less than or equal to 300m",373.928646333333,24646.9586999935,1.15555555555556,148331.177777778,3406.32911625242,"ME17 4FU","ME17","4FU","ME174FU"
26916,"ME174SZ","E01024388","9E8910B1-B143-2C71-E053-A03BA40A7146","Playing Field",87784.895999989,397.02014,4,142042,34.8392857142857,"300-600m",434.918434848214,65336.8915758862,2.98214285714286,127031.866071429,5985.44575976458,"ME17 4SZ","ME17","4SZ","ME174SZ"
29269,"ME173GJ","E01024410","9E891068-7F67-2C71-E053-A03BA40A7146","Playing Field",22539.9255500006,487.01642,1,22539,32.1034482758621,"300-600m",315.03584776087,19216.2977065262,1.30434782608696,24473.847826087,435.741379310345,"ME17 3GJ","ME17","3GJ","ME173GJ"
31322,"ME174FE","E01024342","9E8910ED-FFEA-2C71-E053-A03BA40A7146","Public Park Or Garden",795118.30859999,660.0879,2,819765,33.8793103448276,"600-900m",560.740797586207,210622.801779303,1.29310344827586,257642.672413793,1108.44558799881,"ME17 4FE","ME17","4FE","ME174FE"
33054,"ME174BF","E01024376","9E8910ED-FFEA-2C71-E053-A03BA40A7146","Public Park Or Garden",795118.30859999,180.09442,2,818157,33.1184210526316,"Less than or equal to 300m",479.687925868421,185700.134063156,1.48684210526316,261253.407894737,1108.44558799881,"ME17 4BF","ME17","4BF","ME174BF"
40712,"ME174HU","E01024331","9E8910E8-3563-2C71-E053-A03BA40A7146","Playing Field",24433.9059999983,237.03375,1,24433,29.1372549019608,"Less than or equal to 300m",412.820764156863,30651.6068745079,1.76470588235294,173634.31372549,1260.86429308566,"ME17 4HU","ME17","4HU","ME174HU"
42554,"ME171BN","E01024363","9E8910B1-B9C4-2C71-E053-A03BA40A7146","Playing Field",20926.9799499989,199.24858,1,20926,23.8015873015873,"Less than or equal to 300m",347.808877888889,20897.252943749,1.01388888888889,21186.9305555556,1689.9126984127,"ME17 1BN","ME17","1BN","ME171BN"
42555,"ME173GL","E01024410","9E8910B1-B2FB-2C71-E053-A03BA40A7146","Playing Field",18239.6289500067,557.62445,1,18239,32.1034482758621,"300-600m",315.03584776087,19216.2977065262,1.30434782608696,24473.847826087,1027.31034482759,"ME17 3GL","ME17","3GL","ME173GL"
43879,"ME171GT","E01024363","9E8910B1-B9C4-2C71-E053-A03BA40A7146","Playing Field",20926.9799499989,216.37468,1,20926,23.8015873015873,"Less than or equal to 300m",347.808877888889,20897.252943749,1.01388888888889,21186.9305555556,1689.9126984127,"ME17 1GT","ME17","1GT","ME171GT"
