"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"ME185AA",0.378205,51.26622,2996.922,205617,"81B3331E-2D6C-33F1-E053-A03BA40A2BEA","CE013C34-D97E-410A-845E-C36F6A873578","ME18","5AA",51.28811,0.4033262
"ME185AB",0.41971,51.24991,1864.949,125630.8,"81B332FA-31E5-33F1-E053-A03BA40A2BEA","08C272A8-2CFF-4745-8880-BB68A9633200","ME18","5AB",51.25322,0.445978
"ME185AD",0.438553,51.25664,641.4401,125630.8,"81B332FA-31E5-33F1-E053-A03BA40A2BEA","08C272A8-2CFF-4745-8880-BB68A9633200","ME18","5AD",51.25322,0.445978
"ME185AE",0.439095,51.25523,528.7252,125630.8,"81B332FA-31E5-33F1-E053-A03BA40A2BEA","08C272A8-2CFF-4745-8880-BB68A9633200","ME18","5AE",51.25322,0.445978
"ME185AF",0.437528,51.25433,600.8575,125630.8,"81B332FA-31E5-33F1-E053-A03BA40A2BEA","08C272A8-2CFF-4745-8880-BB68A9633200","ME18","5AF",51.25322,0.445978
"ME185AG",0.438945,51.25457,511.9533,125630.8,"81B332FA-31E5-33F1-E053-A03BA40A2BEA","08C272A8-2CFF-4745-8880-BB68A9633200","ME18","5AG",51.25322,0.445978
"ME185AH",0.440438,51.25516,441.7897,125630.8,"81B332FA-31E5-33F1-E053-A03BA40A2BEA","08C272A8-2CFF-4745-8880-BB68A9633200","ME18","5AH",51.25322,0.445978
"ME185AJ",0.44135,51.25534,399.0596,125630.8,"81B332FA-31E5-33F1-E053-A03BA40A2BEA","08C272A8-2CFF-4745-8880-BB68A9633200","ME18","5AJ",51.25322,0.445978
"ME185AL",0.442438,51.25613,406.2398,125630.8,"81B332FA-31E5-33F1-E053-A03BA40A2BEA","08C272A8-2CFF-4745-8880-BB68A9633200","ME18","5AL",51.25322,0.445978
"ME185AN",0.439625,51.25524,495.9071,125630.8,"81B332FA-31E5-33F1-E053-A03BA40A2BEA","08C272A8-2CFF-4745-8880-BB68A9633200","ME18","5AN",51.25322,0.445978
"ME185AP",0.439057,51.2556,549.6729,125630.8,"81B332FA-31E5-33F1-E053-A03BA40A2BEA","08C272A8-2CFF-4745-8880-BB68A9633200","ME18","5AP",51.25322,0.445978
"ME185AQ",0.441217,51.25444,358.0718,125630.8,"81B332FA-31E5-33F1-E053-A03BA40A2BEA","08C272A8-2CFF-4745-8880-BB68A9633200","ME18","5AQ",51.25322,0.445978
"ME185AR",0.439763,51.25595,528.2198,125630.8,"81B332FA-31E5-33F1-E053-A03BA40A2BEA","08C272A8-2CFF-4745-8880-BB68A9633200","ME18","5AR",51.25322,0.445978
"ME185AS",0.440746,51.25666,527.691,125630.8,"81B332FA-31E5-33F1-E053-A03BA40A2BEA","08C272A8-2CFF-4745-8880-BB68A9633200","ME18","5AS",51.25322,0.445978
