"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"MK130AA",-0.791217,52.06593,520.3256,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0AA",52.06129,-0.7923165
"MK130AB",-0.799755,52.06114,471.35,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","456F9935-3A62-415F-8C81-78C5D3430A41","MK13","0AB",52.05876,-0.7940517
"MK130AD",-0.785663,52.06709,465.17,534601.7,"81B33480-CE5E-33F1-E053-A03BA40A2BEA","5D7DCA3A-6ECC-4B14-85C4-CFE4D7C7C152","MK13","0AD",52.06821,-0.7791066
"MK130AE",-0.788336,52.06645,634.6507,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0AE",52.06129,-0.7923165
"MK130AF",-0.781803,52.06686,224.3068,534601.7,"81B33480-CE5E-33F1-E053-A03BA40A2BEA","DA803C90-451D-441B-8B13-B34FC98B82BF","MK13","0AF",52.06787,-0.7789611
"MK130AG",-0.789412,52.06601,560.8639,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0AG",52.06129,-0.7923165
"MK130AH",-0.79183,52.06562,482.435,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0AH",52.06129,-0.7923165
"MK130AJ",-0.795865,52.0653,506.7597,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0AJ",52.06129,-0.7923165
"MK130AL",-0.797719,52.0647,455.4206,7067.083,"81B332FC-401E-33F1-E053-A03BA40A2BEA","D59AE1D7-B22B-499C-8FB7-6331D932F386","MK13","0AL",52.06441,-0.8043635
"MK130AN",-0.798378,52.0646,409.7459,7067.083,"81B332FC-401E-33F1-E053-A03BA40A2BEA","D59AE1D7-B22B-499C-8FB7-6331D932F386","MK13","0AN",52.06441,-0.8043635
"MK130AP",-0.799136,52.06409,359.0921,7067.083,"81B332FC-401E-33F1-E053-A03BA40A2BEA","D59AE1D7-B22B-499C-8FB7-6331D932F386","MK13","0AP",52.06441,-0.8043635
"MK130AQ",-0.790328,52.0656,497.5485,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0AQ",52.06129,-0.7923165
"MK130AR",-0.798248,52.06401,420.3983,7067.083,"81B332FC-401E-33F1-E053-A03BA40A2BEA","D59AE1D7-B22B-499C-8FB7-6331D932F386","MK13","0AR",52.06441,-0.8043635
"MK130AS",-0.799455,52.06306,367.525,7067.083,"81B332FC-401E-33F1-E053-A03BA40A2BEA","D59AE1D7-B22B-499C-8FB7-6331D932F386","MK13","0AS",52.06441,-0.8043635
"MK130AT",-0.801335,52.06203,335.3399,7067.083,"81B332FC-401E-33F1-E053-A03BA40A2BEA","D59AE1D7-B22B-499C-8FB7-6331D932F386","MK13","0AT",52.06441,-0.8043635
"MK130AU",-0.797776,52.0642,450.9016,7067.083,"81B332FC-401E-33F1-E053-A03BA40A2BEA","D59AE1D7-B22B-499C-8FB7-6331D932F386","MK13","0AU",52.06441,-0.8043635
"MK130AW",-0.79887,52.06478,377.8009,7067.083,"81B332FC-401E-33F1-E053-A03BA40A2BEA","D59AE1D7-B22B-499C-8FB7-6331D932F386","MK13","0AW",52.06441,-0.8043635
"MK130AX",-0.791547,52.06637,566.4641,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0AX",52.06129,-0.7923165
"MK130AY",-0.798548,52.06046,361.0858,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","456F9935-3A62-415F-8C81-78C5D3430A41","MK13","0AY",52.05876,-0.7940517
"MK130AZ",-0.79708,52.06406,447.8017,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0AZ",52.06129,-0.7923165
"MK130BA",-0.796193,52.06396,397.5732,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BA",52.06129,-0.7923165
"MK130BB",-0.79615,52.06425,420.2324,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BB",52.06129,-0.7923165
"MK130BD",-0.79522,52.06486,443.16,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BD",52.06129,-0.7923165
"MK130BE",-0.794949,52.06466,414.9312,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BE",52.06129,-0.7923165
"MK130BF",-0.828772,52.04758,1544.039,1891245,"81B33305-0135-33F1-E053-A03BA40A2BEA","7FDD2DEC-39AB-42ED-BA8C-3A49B7381A3A","MK13","0BF",52.06097,-0.8347886
"MK130BG",-0.794419,52.06429,362.9588,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BG",52.06129,-0.7923165
"MK130BH",-0.793024,52.06439,347.3455,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BH",52.06129,-0.7923165
"MK130BJ",-0.792922,52.06461,370.9635,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BJ",52.06129,-0.7923165
"MK130BL",-0.793753,52.06518,443.5904,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BL",52.06129,-0.7923165
"MK130BN",-0.793994,52.06545,475.8529,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BN",52.06129,-0.7923165
"MK130BP",-0.792179,52.06459,366.877,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BP",52.06129,-0.7923165
"MK130BQ",-0.793947,52.06395,315.1817,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BQ",52.06129,-0.7923165
"MK130BS",-0.792115,52.06478,387.9058,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BS",52.06129,-0.7923165
"MK130BT",-0.791156,52.06495,414.4506,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BT",52.06129,-0.7923165
"MK130BU",-0.790147,52.06529,468.4668,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BU",52.06129,-0.7923165
"MK130BW",-0.828772,52.04758,1544.039,1891245,"81B33305-0135-33F1-E053-A03BA40A2BEA","7FDD2DEC-39AB-42ED-BA8C-3A49B7381A3A","MK13","0BW",52.06097,-0.8347886
"MK130BX",-0.78937,52.06542,500.7874,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BX",52.06129,-0.7923165
"MK130BY",-0.790633,52.06567,499.3991,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BY",52.06129,-0.7923165
"MK130BZ",-0.790633,52.06567,499.3991,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0BZ",52.06129,-0.7923165
"MK130DA",-0.792262,52.0653,445.8317,577984.3,"81B33481-71F6-33F1-E053-A03BA40A2BEA","E5F7CC48-13AE-4937-91E6-CF1A457A4830","MK13","0DA",52.06129,-0.7923165
