"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
24286,"MK441RD","E01017478","9E8910AE-3832-2C71-E053-A03BA40A7146","Playing Field",11293.212049998,559.5802,1,11293,22.5866666666667,"300-600m",637.199864153846,20141.4580894215,1.01923076923077,20154.9038461538,496.906666666666,"MK44 1RD","MK44","1RD","MK441RD"
29304,"MK443HZ","E01017495","9E891047-27C2-2C71-E053-A03BA40A7146","Playing Field",26098.06485,677.3367,1,26098,34.8,"600-900m",576.813740716667,25637.2192616667,1,25637.1333333333,1948.8,"MK44 3HZ","MK44","3HZ","MK443HZ"
31340,"MK441JY","E01017545","9E8910C4-C17C-2C71-E053-A03BA40A7146","Playing Field",26459.0668500045,347.7988,1,26459,19.2739726027397,"300-600m",239.140479294118,26459.0668500045,1,26459,1284.73861532766,"MK44 1JY","MK44","1JY","MK441JY"
31341,"MK441PL","E01017544","9E8910C4-C17C-2C71-E053-A03BA40A7146","Playing Field",26459.0668500045,401.88803,1,26459,36.8108108108108,"300-600m",276.491534,26459.0668500045,1,26459,1284.73861532766,"MK44 1PL","MK44","1PL","MK441PL"
34636,"MK443SL","E01017486","9E89103F-1D3F-2C71-E053-A03BA40A7146","Public Park Or Garden",5952.48689999679,349.86426,2,370104,26.5046728971963,"300-600m",404.302249485981,95380.3191242981,1.88785046728972,356326.168224299,450.579439252336,"MK44 3SL","MK44","3SL","MK443SL"
37194,"MK441EH","E01017541","9E8910AE-1298-2C71-E053-A03BA40A7146","Playing Field",19459.3689000035,216.68872,1,19459,32.5853658536585,"Less than or equal to 300m",495.023758195122,19459.3689000035,1,19459,1336,"MK44 1EH","MK44","1EH","MK441EH"
43882,"MK443TU","E01017496","9E8910B1-FC49-2C71-E053-A03BA40A7146","Playing Field",22067.3762499995,137.24431,2,386219,34.9090909090909,"Less than or equal to 300m",570.075428181818,77948.6218954569,1.54545454545455,207368.931818182,349.090909090909,"MK44 3TU","MK44","3TU","MK443TU"
44920,"MK442DU","E01017478","9E891071-BB7D-2C71-E053-A03BA40A7146","Playing Field",25114.4842499998,102.92716,1,25114,22.5866666666667,"Less than or equal to 300m",637.199864153846,20141.4580894215,1.01923076923077,20154.9038461538,496.906666666666,"MK44 2DU","MK44","2DU","MK442DU"
45418,"MK441JA","E01017544","9E8910C4-C17C-2C71-E053-A03BA40A7146","Playing Field",26459.0668500045,93.770996,1,26459,36.8108108108108,"Less than or equal to 300m",276.491534,26459.0668500045,1,26459,1284.73861532766,"MK44 1JA","MK44","1JA","MK441JA"
46066,"MK441PE","E01017544","9E8910C4-C17C-2C71-E053-A03BA40A7146","Playing Field",26459.0668500045,235.28069,1,26459,36.8108108108108,"Less than or equal to 300m",276.491534,26459.0668500045,1,26459,1284.73861532766,"MK44 1PE","MK44","1PE","MK441PE"
