"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"ML11AA",-3.994949,55.79357,199.5414,12845.09,"81B3333F-1CE9-33F1-E053-A03BA40A2BEA","D4251635-B1C1-4968-AD20-9F5A614BE089","ML1","1AA",55.79434,-3.99207
"ML11AB",-3.982815,55.78396,737.0313,70660.56,"81B333AB-8584-33F1-E053-A03BA40A2BEA","45E244A3-B3B0-440D-8610-77D1A30B38A2","ML1","1AB",55.78557,-3.99425
"ML11AD",-3.965694,55.78504,877.3459,49809.66,"81B33382-3BEB-33F1-E053-A03BA40A2BEA","8D9CA8D8-B2DD-48C9-878A-DB669C3FB730","ML1","1AD",55.77727,-3.968077
"ML11AE",-3.954762,55.7956,862.5928,11636.78,"81B3333F-1BB9-33F1-E053-A03BA40A2BEA","B3CDBEA3-659E-4572-8DF2-0E43C1436181","ML1","1AE",55.80329,-3.956654
"ML11AF",-3.95737,55.79639,768.4592,11636.78,"81B3333F-1BB9-33F1-E053-A03BA40A2BEA","B3CDBEA3-659E-4572-8DF2-0E43C1436181","ML1","1AF",55.80329,-3.956654
"ML11AG",-3.956541,55.79673,729.7185,11636.78,"81B3333F-1BB9-33F1-E053-A03BA40A2BEA","B3CDBEA3-659E-4572-8DF2-0E43C1436181","ML1","1AG",55.80329,-3.956654
"ML11AH",-3.955387,55.79694,710.0983,11636.78,"81B3333F-1BB9-33F1-E053-A03BA40A2BEA","B3CDBEA3-659E-4572-8DF2-0E43C1436181","ML1","1AH",55.80329,-3.956654
"ML11AJ",-3.955504,55.79588,826.5549,11636.78,"81B3333F-1BB9-33F1-E053-A03BA40A2BEA","B3CDBEA3-659E-4572-8DF2-0E43C1436181","ML1","1AJ",55.80329,-3.956654
"ML11AL",-3.95604,55.79531,887.5226,11636.78,"81B3333F-1BB9-33F1-E053-A03BA40A2BEA","B3CDBEA3-659E-4572-8DF2-0E43C1436181","ML1","1AL",55.80329,-3.956654
"ML11AN",-3.953375,55.79625,808.471,11636.78,"81B3333F-1BB9-33F1-E053-A03BA40A2BEA","B3CDBEA3-659E-4572-8DF2-0E43C1436181","ML1","1AN",55.80329,-3.956654
"ML11AP",-3.956058,55.79791,599.079,11636.78,"81B3333F-1BB9-33F1-E053-A03BA40A2BEA","B3CDBEA3-659E-4572-8DF2-0E43C1436181","ML1","1AP",55.80329,-3.956654
"ML11AQ",-3.954615,55.79809,592.2275,11636.78,"81B3333F-1BB9-33F1-E053-A03BA40A2BEA","B3CDBEA3-659E-4572-8DF2-0E43C1436181","ML1","1AQ",55.80329,-3.956654
"ML11AT",-3.967669,55.78088,402.2851,49809.66,"81B33382-3BEB-33F1-E053-A03BA40A2BEA","8D9CA8D8-B2DD-48C9-878A-DB669C3FB730","ML1","1AT",55.77727,-3.968077
"ML11AX",-3.988308,55.79036,479.1209,12845.09,"81B3333F-1CE9-33F1-E053-A03BA40A2BEA","929D0E3E-6112-461A-8072-C256409669F7","ML1","1AX",55.79428,-3.991484
"ML11AZ",-3.990851,55.79298,150.133,12845.09,"81B3333F-1CE9-33F1-E053-A03BA40A2BEA","929D0E3E-6112-461A-8072-C256409669F7","ML1","1AZ",55.79428,-3.991484
"ML11BA",-3.991668,55.78898,361.6819,70660.56,"81B333AB-8584-33F1-E053-A03BA40A2BEA","57092FBD-887D-491B-B498-109FCBD2FFCE","ML1","1BA",55.78644,-3.995272
"ML11BB",-3.993362,55.79031,446.9508,70660.56,"81B333AB-8584-33F1-E053-A03BA40A2BEA","57092FBD-887D-491B-B498-109FCBD2FFCE","ML1","1BB",55.78644,-3.995272
"ML11BD",-3.990708,55.78893,397.3865,70660.56,"81B333AB-8584-33F1-E053-A03BA40A2BEA","57092FBD-887D-491B-B498-109FCBD2FFCE","ML1","1BD",55.78644,-3.995272
"ML11BE",-3.988308,55.79036,479.1209,12845.09,"81B3333F-1CE9-33F1-E053-A03BA40A2BEA","929D0E3E-6112-461A-8072-C256409669F7","ML1","1BE",55.79428,-3.991484
"ML11BG",-3.993676,55.7902,429.88,70660.56,"81B333AB-8584-33F1-E053-A03BA40A2BEA","57092FBD-887D-491B-B498-109FCBD2FFCE","ML1","1BG",55.78644,-3.995272
"ML11BH",-3.993391,55.79056,428.2326,12845.09,"81B3333F-1CE9-33F1-E053-A03BA40A2BEA","D4251635-B1C1-4968-AD20-9F5A614BE089","ML1","1BH",55.79434,-3.99207
"ML11BJ",-3.991141,55.79179,278.0813,12845.09,"81B3333F-1CE9-33F1-E053-A03BA40A2BEA","929D0E3E-6112-461A-8072-C256409669F7","ML1","1BJ",55.79428,-3.991484
"ML11BL",-3.994068,55.79163,326.2923,12845.09,"81B3333F-1CE9-33F1-E053-A03BA40A2BEA","D4251635-B1C1-4968-AD20-9F5A614BE089","ML1","1BL",55.79434,-3.99207
"ML11BN",-3.993525,55.79131,349.5092,12845.09,"81B3333F-1CE9-33F1-E053-A03BA40A2BEA","D4251635-B1C1-4968-AD20-9F5A614BE089","ML1","1BN",55.79434,-3.99207
"ML11BP",-3.996414,55.79478,275.7716,12845.09,"81B3333F-1CE9-33F1-E053-A03BA40A2BEA","D4251635-B1C1-4968-AD20-9F5A614BE089","ML1","1BP",55.79434,-3.99207
"ML11BQ",-3.993363,55.79032,447.8986,70660.56,"81B333AB-8584-33F1-E053-A03BA40A2BEA","57092FBD-887D-491B-B498-109FCBD2FFCE","ML1","1BQ",55.78644,-3.995272
"ML11BS",-3.992643,55.79278,177.6578,12845.09,"81B3333F-1CE9-33F1-E053-A03BA40A2BEA","D4251635-B1C1-4968-AD20-9F5A614BE089","ML1","1BS",55.79434,-3.99207
"ML11BT",-3.993447,55.79259,212.5691,12845.09,"81B3333F-1CE9-33F1-E053-A03BA40A2BEA","D4251635-B1C1-4968-AD20-9F5A614BE089","ML1","1BT",55.79434,-3.99207
