"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
3189,"ML41PG","S01011522","9E891067-BF62-2C71-E053-A03BA40A7146","Playing Field",92796.9977000099,168.66832,6,3958619,30.6428571428571,"Less than or equal to 300m",175.260720416667,62957.9179437541,5.83333333333333,2387158.875,3075.41389101095,"ML4 1PG","ML4","1PG","ML41PG"
8790,"ML42QP","S01011508","9E891067-DD22-2C71-E053-A03BA40A7146","Playing Field",50087.0681999992,456.0844,6,3955777,42.6190476190476,"300-600m",332.543834736842,32875.7253710546,5.52631578947368,1777534.47368421,1246.04879434291,"ML4 2QP","ML4","2QP","ML42QP"
8791,"ML43DT","S01011524","9E891067-BF62-2C71-E053-A03BA40A7146","Playing Field",92796.9977000099,764.33044,4,595873,36.5,"600-900m",560.721874166667,370223.014550009,3.08333333333333,560106.25,3075.41389101095,"ML4 3DT","ML4","3DT","ML43DT"
13592,"ML42UU","S01011516","9E891067-DA7A-2C71-E053-A03BA40A7146","Playing Field",15366.9724499887,352.67264,6,4285714,43.8947368421053,"300-600m",191.945902,15366.9724499887,5.38461538461538,4265037.07692308,1714.62001261515,"ML4 2UU","ML4","2UU","ML42UU"
21261,"ML41QT","S01011527","9E891067-B0D6-2C71-E053-A03BA40A7146","Playing Field",34216.9044999987,295.66534,3,48002,40.25,"Less than or equal to 300m",316.533249375,34216.9044999987,2.5625,45155.0625,3066.73895751576,"ML4 1QT","ML4","1QT","ML41QT"
21262,"ML41RZ","S01011525","9E8911BD-7718-2C71-E053-A03BA40A7146","Playing Field",9592.32949999903,419.6868,6,182312,42.55,"300-600m",230.930973882353,13790.8968117624,4.52941176470588,116587.352941176,882.287044534413,"ML4 1RZ","ML4","1RZ","ML41RZ"
21263,"ML42DL","S01011518","9E891067-DAEA-2C71-E053-A03BA40A7146","Public Park Or Garden",3256.59674999787,104.40307,6,3932299,29.6521739130435,"Less than or equal to 300m",224.850558857143,8619.24508928038,5.28571428571429,2065598.14285714,625.785166240409,"ML4 2DL","ML4","2DL","ML42DL"
26951,"ML41NZ","S01011526","9E891037-6DF2-2C71-E053-A03BA40A7146","Playing Field",4193.7143499949,128.22246,3,48002,50.4736842105263,"Less than or equal to 300m",274.659675526316,14811.2723236812,3.21052631578947,59162.4210526316,775.44649122807,"ML4 1NZ","ML4","1NZ","ML41NZ"
33084,"ML41JG","S01011497","9E891067-BEE6-2C71-E053-A03BA40A7146","Playing Field",28286.0339500028,386.15152,3,53673,48.5,"300-600m",348.29578875,22239.2948875016,3,61887.5,1286.00238095238,"ML4 1JG","ML4","1JG","ML41JG"
35988,"ML41LD","S01011527","9E891067-B0D6-2C71-E053-A03BA40A7146","Playing Field",34216.9044999987,310.92282,3,48002,40.25,"300-600m",316.533249375,34216.9044999987,2.5625,45155.0625,3066.73895751576,"ML4 1LD","ML4","1LD","ML41LD"
39129,"ML41JE","S01011497","9E891067-BEE6-2C71-E053-A03BA40A7146","Playing Field",28286.0339500028,330.89273,3,53673,48.5,"300-600m",348.29578875,22239.2948875016,3,61887.5,1286.00238095238,"ML4 1JE","ML4","1JE","ML41JE"
49440,"ML42DY","S01011521","9E891067-BF62-2C71-E053-A03BA40A7146","Playing Field",92796.9977000099,323.2785,7,3945526,43.9545454545455,"300-600m",260.79606635,84133.4615700087,6.4,3980942,3075.41389101095,"ML4 2DY","ML4","2DY","ML42DY"
49441,"ML42JY","S01011513","9E8910EE-13DF-2C71-E053-A03BA40A7146","Public Park Or Garden",3764630.67334999,265.8007,8,3952276,42.9411764705882,"Less than or equal to 300m",231.433809,3764630.67334999,7.30769230769231,3943338.46153846,2112.24786096257,"ML4 2JY","ML4","2JY","ML42JY"
49442,"ML43AR","S01011520","9E891067-BCC9-2C71-E053-A03BA40A7146","Playing Field",6161.63639999807,578.70544,5,580280,41.8571428571429,"300-600m",505.690783636364,89168.3122363638,5,580280,1436.83556971801,"ML4 3AR","ML4","3AR","ML43AR"
49443,"ML43BU","S01011519","9E891067-DA7A-2C71-E053-A03BA40A7146","Playing Field",15366.9724499887,332.86633,5,4252114,44.3125,"300-600m",381.154816428571,366184.10498572,4.42857142857143,1314074.71428571,1714.62001261515,"ML4 3BU","ML4","3BU","ML43BU"
54989,"ML42HJ","S01011514","9E891067-DAEA-2C71-E053-A03BA40A7146","Public Park Or Garden",3256.59674999787,383.0013,6,3932299,56.3529411764706,"300-600m",304.657674615385,293263.457946151,6.23076923076923,3947607.53846154,625.785166240409,"ML4 2HJ","ML4","2HJ","ML42HJ"
54990,"ML42TG","S01011512","9E891067-BCC9-2C71-E053-A03BA40A7146","Playing Field",6161.63639999807,223.06277,6,3932299,41.45,"Less than or equal to 300m",293.732272941177,237440.445785293,6.35294117647059,3936586.35294118,1436.83556971801,"ML4 2TG","ML4","2TG","ML42TG"
59658,"ML41NH","S01011526","9E891067-B0D6-2C71-E053-A03BA40A7146","Playing Field",34216.9044999987,300.8538,3,48002,50.4736842105263,"300-600m",274.659675526316,14811.2723236812,3.21052631578947,59162.4210526316,3066.73895751576,"ML4 1NH","ML4","1NH","ML41NH"
59659,"ML41QA","S01011522","9E891067-BEC1-2C71-E053-A03BA40A7146","Playing Field",13226.1183499946,73.00685,6,198182,30.6428571428571,"Less than or equal to 300m",175.260720416667,62957.9179437541,5.83333333333333,2387158.875,877.860073260073,"ML4 1QA","ML4","1QA","ML41QA"
59660,"ML42HT","S01011521","9E891067-BF62-2C71-E053-A03BA40A7146","Playing Field",92796.9977000099,25.612497,5,3926902,43.9545454545455,"Less than or equal to 300m",260.79606635,84133.4615700087,6.4,3980942,3075.41389101095,"ML4 2HT","ML4","2HT","ML42HT"
59661,"ML42JT","S01011513","9E8910EE-13DF-2C71-E053-A03BA40A7146","Public Park Or Garden",3764630.67334999,344.08865,6,3932299,42.9411764705882,"300-600m",231.433809,3764630.67334999,7.30769230769231,3943338.46153846,2112.24786096257,"ML4 2JT","ML4","2JT","ML42JT"
59662,"ML42NZ","S01011510","9E891067-BF62-2C71-E053-A03BA40A7146","Playing Field",92796.9977000099,168.57639,6,3955777,63.4705882352941,"Less than or equal to 300m",141.3102668,573832.835220005,6.66666666666667,3951402.86666667,3075.41389101095,"ML4 2NZ","ML4","2NZ","ML42NZ"
63745,"ML43LJ","S01011532","9E8911C4-2D65-2C71-E053-A03BA40A7146","Public Park Or Garden",64053.2677000069,810.2802,3,560968,14.8913043478261,"600-900m",421.762308133333,79976.7035900045,3.93333333333333,388369.4,1022.03550724638,"ML4 3LJ","ML4","3LJ","ML43LJ"
70298,"ML42HA","S01011514","9E891067-DAEA-2C71-E053-A03BA40A7146","Public Park Or Garden",3256.59674999787,291.49615,6,3932299,56.3529411764706,"Less than or equal to 300m",304.657674615385,293263.457946151,6.23076923076923,3947607.53846154,625.785166240409,"ML4 2HA","ML4","2HA","ML42HA"
70299,"ML43AE","S01011520","9E891067-BCC9-2C71-E053-A03BA40A7146","Playing Field",6161.63639999807,505.22272,5,580280,41.8571428571429,"300-600m",505.690783636364,89168.3122363638,5,580280,1436.83556971801,"ML4 3AE","ML4","3AE","ML43AE"
75152,"ML42ES","S01011512","9E891067-BCC9-2C71-E053-A03BA40A7146","Playing Field",6161.63639999807,327.98325,7,3945526,41.45,"300-600m",293.732272941177,237440.445785293,6.35294117647059,3936586.35294118,1436.83556971801,"ML4 2ES","ML4","2ES","ML42ES"
81872,"ML41LF","S01011527","9E891067-B0D6-2C71-E053-A03BA40A7146","Playing Field",34216.9044999987,415.0193,3,48002,40.25,"300-600m",316.533249375,34216.9044999987,2.5625,45155.0625,3066.73895751576,"ML4 1LF","ML4","1LF","ML41LF"
89551,"ML41NF","S01011530","9E8911BD-7718-2C71-E053-A03BA40A7146","Playing Field",9592.32949999903,429.43918,4,140799,35.4,"300-600m",439.422154444444,45535.4105666692,4.27777777777778,141869.388888889,882.287044534413,"ML4 1NF","ML4","1NF","ML41NF"
95727,"ML42HU","S01011521","9E891067-BF62-2C71-E053-A03BA40A7146","Playing Field",92796.9977000099,169.44615,5,3926902,43.9545454545455,"Less than or equal to 300m",260.79606635,84133.4615700087,6.4,3980942,3075.41389101095,"ML4 2HU","ML4","2HU","ML42HU"
95728,"ML42JW","S01011513","9E8910EE-13DF-2C71-E053-A03BA40A7146","Public Park Or Garden",3764630.67334999,291.66077,7,3939050,42.9411764705882,"Less than or equal to 300m",231.433809,3764630.67334999,7.30769230769231,3943338.46153846,2112.24786096257,"ML4 2JW","ML4","2JW","ML42JW"
101376,"ML42HD","S01011514","9E891067-DAEA-2C71-E053-A03BA40A7146","Public Park Or Garden",3256.59674999787,319.82025,6,3932299,56.3529411764706,"300-600m",304.657674615385,293263.457946151,6.23076923076923,3947607.53846154,625.785166240409,"ML4 2HD","ML4","2HD","ML42HD"
101377,"ML43DA","S01011531","9E891067-B0D6-2C71-E053-A03BA40A7146","Playing Field",34216.9044999987,742.8735,3,589712,32.3333333333333,"600-900m",449.2098208,51356.1624599991,2.48,244860.36,3066.73895751576,"ML4 3DA","ML4","3DA","ML43DA"
106242,"ML42EN","S01011512","9E891067-BCC9-2C71-E053-A03BA40A7146","Playing Field",6161.63639999807,297.51303,6,3932299,41.45,"Less than or equal to 300m",293.732272941177,237440.445785293,6.35294117647059,3936586.35294118,1436.83556971801,"ML4 2EN","ML4","2EN","ML42EN"
110323,"ML43NF","S01011532","9E8911C4-2D65-2C71-E053-A03BA40A7146","Public Park Or Garden",64053.2677000069,90.21086,7,653972,14.8913043478261,"Less than or equal to 300m",421.762308133333,79976.7035900045,3.93333333333333,388369.4,1022.03550724638,"ML4 3NF","ML4","3NF","ML43NF"
113880,"ML41JT","S01011528","9E891067-B0D6-2C71-E053-A03BA40A7146","Playing Field",34216.9044999987,193.2149,3,48002,53.8235294117647,"Less than or equal to 300m",189.97728,34216.9044999987,3.07692307692308,68771.6153846154,3066.73895751576,"ML4 1JT","ML4","1JT","ML41JT"
113881,"ML41QB","S01011522","9E891067-BEC1-2C71-E053-A03BA40A7146","Playing Field",13226.1183499946,132.65369,6,198182,30.6428571428571,"Less than or equal to 300m",175.260720416667,62957.9179437541,5.83333333333333,2387158.875,877.860073260073,"ML4 1QB","ML4","1QB","ML41QB"
125602,"ML42JG","S01011510","9E891067-BF62-2C71-E053-A03BA40A7146","Playing Field",92796.9977000099,172.35138,8,3952276,63.4705882352941,"Less than or equal to 300m",141.3102668,573832.835220005,6.66666666666667,3951402.86666667,3075.41389101095,"ML4 2JG","ML4","2JG","ML42JG"
127151,"ML41JF","S01011497","9E891067-BEE6-2C71-E053-A03BA40A7146","Playing Field",28286.0339500028,476.73053,3,49587,48.5,"300-600m",348.29578875,22239.2948875016,3,61887.5,1286.00238095238,"ML4 1JF","ML4","1JF","ML41JF"
128481,"ML41QZ","S01011531","9E891067-B0D6-2C71-E053-A03BA40A7146","Playing Field",34216.9044999987,406.32007,3,136606,32.3333333333333,"300-600m",449.2098208,51356.1624599991,2.48,244860.36,3066.73895751576,"ML4 1QZ","ML4","1QZ","ML41QZ"
132707,"ML41AQ","S01011523","9E891067-BF62-2C71-E053-A03BA40A7146","Playing Field",92796.9977000099,503.33786,4,595873,30.28,"300-600m",398.339059090909,189741.214677282,4.22727272727273,520198.772727273,3075.41389101095,"ML4 1AQ","ML4","1AQ","ML41AQ"
136098,"ML41JP","S01011529","9E891067-B0D6-2C71-E053-A03BA40A7146","Playing Field",34216.9044999987,204.1568,3,48002,42.5384615384615,"Less than or equal to 300m",262.961966666667,23956.6649166655,3.25,71201.25,3066.73895751576,"ML4 1JP","ML4","1JP","ML41JP"
136099,"ML41QP","S01011527","9E891067-B0D6-2C71-E053-A03BA40A7146","Playing Field",34216.9044999987,405.24683,1,34216,40.25,"300-600m",316.533249375,34216.9044999987,2.5625,45155.0625,3066.73895751576,"ML4 1QP","ML4","1QP","ML41QP"
147780,"ML41LG","S01011526","9E8911BD-7718-2C71-E053-A03BA40A7146","Playing Field",9592.32949999903,237.4721,5,154026,50.4736842105263,"Less than or equal to 300m",274.659675526316,14811.2723236812,3.21052631578947,59162.4210526316,882.287044534413,"ML4 1LG","ML4","1LG","ML41LG"
147781,"ML42QN","S01011508","9E891067-BEE6-2C71-E053-A03BA40A7146","Playing Field",28286.0339500028,331.93073,6,3955777,42.6190476190476,"300-600m",332.543834736842,32875.7253710546,5.52631578947368,1777534.47368421,1286.00238095238,"ML4 2QN","ML4","2QN","ML42QN"
147782,"ML43PQ","S01011531","9E891067-B0D6-2C71-E053-A03BA40A7146","Playing Field",34216.9044999987,45.39824,2,43809,32.3333333333333,"Less than or equal to 300m",449.2098208,51356.1624599991,2.48,244860.36,3066.73895751576,"ML4 3PQ","ML4","3PQ","ML43PQ"
152521,"ML42PG","S01011510","9E891067-DD22-2C71-E053-A03BA40A7146","Playing Field",50087.0681999992,237.73935,6,3955777,63.4705882352941,"Less than or equal to 300m",141.3102668,573832.835220005,6.66666666666667,3951402.86666667,1246.04879434291,"ML4 2PG","ML4","2PG","ML42PG"
160170,"ML42JJ","S01011513","9E8910EE-13DF-2C71-E053-A03BA40A7146","Public Park Or Garden",3764630.67334999,35.510563,9,3953975,42.9411764705882,"Less than or equal to 300m",231.433809,3764630.67334999,7.30769230769231,3943338.46153846,2112.24786096257,"ML4 2JJ","ML4","2JJ","ML42JJ"
168035,"ML42QT","S01011508","9E891067-BEE6-2C71-E053-A03BA40A7146","Playing Field",28286.0339500028,325.59177,6,3955777,42.6190476190476,"300-600m",332.543834736842,32875.7253710546,5.52631578947368,1777534.47368421,1286.00238095238,"ML4 2QT","ML4","2QT","ML42QT"
170086,"ML43BA","S01011519","9E8911BE-8AD2-2C71-E053-A03BA40A7146","Public Park Or Garden",462698.353500009,344.71002,4,487483,44.3125,"300-600m",381.154816428571,366184.10498572,4.42857142857143,1314074.71428571,1393.85934390489,"ML4 3BA","ML4","3BA","ML43BA"
171866,"ML43BB","S01011519","9E8911BE-8AD2-2C71-E053-A03BA40A7146","Public Park Or Garden",462698.353500009,295.43527,4,487483,44.3125,"Less than or equal to 300m",381.154816428571,366184.10498572,4.42857142857143,1314074.71428571,1393.85934390489,"ML4 3BB","ML4","3BB","ML43BB"
182366,"ML41DR","S01011505","9E891067-BEC1-2C71-E053-A03BA40A7146","Playing Field",13226.1183499946,123.01626,4,184396,51.6666666666667,"Less than or equal to 300m",103.906827583333,22011.069116666,4.5,188956.25,877.860073260073,"ML4 1DR","ML4","1DR","ML41DR"
188413,"ML41BF","S01011523","9E891067-BCC9-2C71-E053-A03BA40A7146","Playing Field",6161.63639999807,588.16406,5,580280,30.28,"300-600m",398.339059090909,189741.214677282,4.22727272727273,520198.772727273,1436.83556971801,"ML4 1BF","ML4","1BF","ML41BF"
188414,"ML41LH","S01011528","9E891067-B0D6-2C71-E053-A03BA40A7146","Playing Field",34216.9044999987,296.32584,3,48002,53.8235294117647,"Less than or equal to 300m",189.97728,34216.9044999987,3.07692307692308,68771.6153846154,3066.73895751576,"ML4 1LH","ML4","1LH","ML41LH"
193944,"ML41LL","S01011526","9E891067-B0D6-2C71-E053-A03BA40A7146","Playing Field",34216.9044999987,338.20853,3,48002,50.4736842105263,"300-600m",274.659675526316,14811.2723236812,3.21052631578947,59162.4210526316,3066.73895751576,"ML4 1LL","ML4","1LL","ML41LL"
193945,"ML42PA","S01011510","9E891067-BF62-2C71-E053-A03BA40A7146","Playing Field",92796.9977000099,97.16481,7,3961939,63.4705882352941,"Less than or equal to 300m",141.3102668,573832.835220005,6.66666666666667,3951402.86666667,3075.41389101095,"ML4 2PA","ML4","2PA","ML42PA"
198613,"ML42AH","S01011517","9E891067-DA7A-2C71-E053-A03BA40A7146","Playing Field",15366.9724499887,100.08996,4,487483,39.2307692307692,"Less than or equal to 300m",149.91600375,15366.9724499887,4.5,2369798.5,1714.62001261515,"ML4 2AH","ML4","2AH","ML42AH"
198614,"ML42NH","S01011510","9E8910EE-13DF-2C71-E053-A03BA40A7146","Public Park Or Garden",3764630.67334999,108.078674,7,3936910,63.4705882352941,"Less than or equal to 300m",141.3102668,573832.835220005,6.66666666666667,3951402.86666667,2112.24786096257,"ML4 2NH","ML4","2NH","ML42NH"
202724,"ML43BW","S01011519","9E8911BE-8AD2-2C71-E053-A03BA40A7146","Public Park Or Garden",462698.353500009,398.53857,4,487483,44.3125,"300-600m",381.154816428571,366184.10498572,4.42857142857143,1314074.71428571,1393.85934390489,"ML4 3BW","ML4","3BW","ML43BW"
209257,"ML41HE","S01011530","9E891067-B0D6-2C71-E053-A03BA40A7146","Playing Field",34216.9044999987,395.31506,4,140799,35.4,"300-600m",439.422154444444,45535.4105666692,4.27777777777778,141869.388888889,3066.73895751576,"ML4 1HE","ML4","1HE","ML41HE"
216121,"ML42RS","S01011463","9E891081-C31C-2C71-E053-A03BA40A7146","Playing Field",12161.3964499996,587.66315,4,99757,43.1071428571428,"300-600m",333.003438148148,10259.7462166711,4.03703703703704,93364.7037037037,1296.92116402116,"ML4 2RS","ML4","2RS","ML42RS"
219340,"ML43DS","S01011524","9E8911BE-8AD2-2C71-E053-A03BA40A7146","Public Park Or Garden",462698.353500009,770.6238,4,595873,36.5,"600-900m",560.721874166667,370223.014550009,3.08333333333333,560106.25,1393.85934390489,"ML4 3DS","ML4","3DS","ML43DS"
224005,"ML41NR","S01011526","9E891037-6DF2-2C71-E053-A03BA40A7146","Playing Field",4193.7143499949,248.80916,3,48002,50.4736842105263,"Less than or equal to 300m",274.659675526316,14811.2723236812,3.21052631578947,59162.4210526316,775.44649122807,"ML4 1NR","ML4","1NR","ML41NR"
224866,"ML43GD","S01011531","9E891067-B0D6-2C71-E053-A03BA40A7146","Playing Field",34216.9044999987,76.57676,3,48002,32.3333333333333,"Less than or equal to 300m",449.2098208,51356.1624599991,2.48,244860.36,3066.73895751576,"ML4 3GD","ML4","3GD","ML43GD"
