"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"N134AA",-0.107524,51.62096,1032.95,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4AA",51.62841,-0.1164739
"N134AB",-0.108991,51.62146,928.9652,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4AB",51.62841,-0.1164739
"N134AD",-0.1114,51.62642,414.0889,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4AD",51.62841,-0.1164739
"N134AE",-0.107087,51.62139,999.6792,15604.09,"81B33481-059B-33F1-E053-A03BA40A2BEA","15D90A4B-3A46-4453-A4E8-BFFE0482AEDF","N13","4AE",51.62646,-0.09513097
"N134AF",-0.112864,51.61621,835.8403,169220.2,"81B33342-8A24-33F1-E053-A03BA40A2BEA","A180488A-ACD2-4D19-AAB4-C4C0DEA5AC70","N13","4AF",51.61656,-0.124957
"N134AG",-0.106352,51.62135,958.8777,15604.09,"81B33481-059B-33F1-E053-A03BA40A2BEA","99559589-2639-4866-AA14-593909295D79","N13","4AG",51.62599,-0.09464987
"N134AH",-0.109302,51.62198,869.3599,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4AH",51.62841,-0.1164739
"N134AJ",-0.111566,51.62278,711.4054,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4AJ",51.62841,-0.1164739
"N134AL",-0.111094,51.62301,705.9934,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4AL",51.62841,-0.1164739
"N134AN",-0.099455,51.6329,646.2082,15604.09,"81B33481-059B-33F1-E053-A03BA40A2BEA","5DC455D4-7A47-4A86-B688-4D851BEE8914","N13","4AN",51.62803,-0.09435638
"N134AP",-0.113192,51.62431,508.8597,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4AP",51.62841,-0.1164739
"N134AQ",-0.104517,51.62553,656.1548,15604.09,"81B33481-059B-33F1-E053-A03BA40A2BEA","15D90A4B-3A46-4453-A4E8-BFFE0482AEDF","N13","4AQ",51.62646,-0.09513097
"N134AR",-0.11176,51.62367,618.7321,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4AR",51.62841,-0.1164739
"N134AS",-0.112424,51.62646,353.9059,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4AS",51.62841,-0.1164739
"N134AT",-0.113273,51.62584,361.0276,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4AT",51.62841,-0.1164739
"N134AU",-0.115707,51.62604,268.4412,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4AU",51.62841,-0.1164739
"N134AW",-0.113315,51.62483,453.3745,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4AW",51.62841,-0.1164739
"N134AX",-0.11463,51.62519,380.0761,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4AX",51.62841,-0.1164739
"N134AY",-0.099554,51.63296,642.5513,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","AF8DFFE3-9665-47A8-9257-0927A57E4E7D","N13","4AY",51.6337,-0.1087854
"N134AZ",-0.114768,51.62568,325.8856,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4AZ",51.62841,-0.1164739
"N134BA",-0.115636,51.6267,198.9309,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4BA",51.62841,-0.1164739
"N134BB",-0.116628,51.62787,60.51336,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4BB",51.62841,-0.1164739
"N134BD",-0.116926,51.62869,43.94376,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4BD",51.62841,-0.1164739
"N134BE",-0.115017,51.62769,128.1788,369155,"81B33341-78F6-33F1-E053-A03BA40A2BEA","E1063C00-7E1A-4BA7-AF2B-99F5DF6A9BDD","N13","4BE",51.62841,-0.1164739
"N134BF",-0.106075,51.62315,840.2953,15604.09,"81B33481-059B-33F1-E053-A03BA40A2BEA","15D90A4B-3A46-4453-A4E8-BFFE0482AEDF","N13","4BF",51.62646,-0.09513097
