"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
3250,"N165EU","E01001804","9E891045-7680-2C71-E053-A03BA40A7146","Playing Field",194.213000000466,131.8484,6,738568,74,"Less than or equal to 300m",164.167466545455,31476.5229000011,5.45454545454545,708043.045454545,3054.43812865497,"N16 5EU","N16","5EU","N165EU"
3251,"N165JE","E01001807","9E8911BB-FC20-2C71-E053-A03BA40A7146","Public Park Or Garden",18747.6143499944,266.7902,5,103451,111.888888888889,"Less than or equal to 300m",281.851550555555,18747.6143499944,4.94444444444445,156672.888888889,14409.8715632009,"N16 5JE","N16","5JE","N165JE"
3252,"N168JB","E01033699","9E891041-F809-2C71-E053-A03BA40A7146","Public Park Or Garden",1588.76470000152,319.26477,9,197515,47.4137931034483,"300-600m",276.556755517241,1527.83463620806,8.62068965517241,185793.24137931,12532.7521017988,"N16 8JB","N16","8JB","N168JB"
3253,"N168LR","E01002778","9E89103E-4449-2C71-E053-A03BA40A7146","Public Park Or Garden",6331.18414999934,462.77423,8,34818,73.1481481481482,"300-600m",388.359265555556,2308.05701481657,9.62962962962963,75510.1111111111,8491.2113638642,"N16 8LR","N16","8LR","N168LR"
3254,"N168NE","E01002782","9E89103E-4449-2C71-E053-A03BA40A7146","Public Park Or Garden",6331.18414999934,242.42525,10,265432,64.9615384615385,"Less than or equal to 300m",255.391284923077,6518.50857499981,9.19230769230769,220551.538461538,8491.2113638642,"N16 8NE","N16","8NE","N168NE"
3255,"N168QL","E01001739","9E89103E-4449-2C71-E053-A03BA40A7146","Public Park Or Garden",6331.18414999934,125.1599,10,362857,47.3863636363636,"Less than or equal to 300m",245.592762045454,16902.3116079556,7.79545454545455,316882.25,8491.2113638642,"N16 8QL","N16","8QL","N168QL"
3256,"N168TW","E01001739","9E89103E-4449-2C71-E053-A03BA40A7146","Public Park Or Garden",6331.18414999934,248.42906,9,261538,47.3863636363636,"Less than or equal to 300m",245.592762045454,16902.3116079556,7.79545454545455,316882.25,8491.2113638642,"N16 8TW","N16","8TW","N168TW"
3257,"N169DX","E01001738","9E8910B4-7B6D-2C71-E053-A03BA40A7146","Public Park Or Garden",226719.900600006,194.99744,5,344213,64.1935483870968,"Less than or equal to 300m",291.627064193548,162736.079695165,5.7741935483871,347383.193548387,20235.9321485963,"N16 9DX","N16","9DX","N169DX"
3258,"N169PU","E01002782","9E89103E-4449-2C71-E053-A03BA40A7146","Public Park Or Garden",6331.18414999934,67.62396,9,357327,64.9615384615385,"Less than or equal to 300m",255.391284923077,6518.50857499981,9.19230769230769,220551.538461538,8491.2113638642,"N16 9PU","N16","9PU","N169PU"
8844,"N165DU","E01001812","9E8910B4-7B70-2C71-E053-A03BA40A7146","Public Park Or Garden",8827.96799999876,402.15918,6,285041,82.68,"300-600m",354.8718336,9827.28232399798,5.28,364102.04,9284.25287502316,"N16 5DU","N16","5DU","N165DU"
8845,"N165RT","E01001809","9E8911BB-FC20-2C71-E053-A03BA40A7146","Public Park Or Garden",18747.6143499944,325.33212,5,186779,89.2,"300-600m",357.261306,15573.3275179958,4.92,190408.96,14409.8715632009,"N16 5RT","N16","5RT","N165RT"
13629,"N165NR","E01001802","9E891045-7680-2C71-E053-A03BA40A7146","Playing Field",194.213000000466,283.5842,4,236239,75.3684210526316,"Less than or equal to 300m",206.663960526316,7010.33536842017,5.57894736842105,286440.842105263,3054.43812865497,"N16 5NR","N16","5NR","N165NR"
13630,"N167XA","E01001833","9E8910B4-7B9E-2C71-E053-A03BA40A7146","Public Park Or Garden",5529.98200000268,193.84789,10,420974,83.1612903225806,"Less than or equal to 300m",164.702518064516,49401.8616419346,7.87096774193548,203313.35483871,4267.23503408346,"N16 7XA","N16","7XA","N167XA"
13631,"N168SH","E01001736","9E89103E-44B7-2C71-E053-A03BA40A7146","Public Park Or Garden",7954.66250000342,97.98979,8,411767,53.3666666666667,"Less than or equal to 300m",218.909160633333,22539.0117066703,7.96666666666667,333880.733333333,6114.88098568098,"N16 8SH","N16","8SH","N168SH"
17735,"N160TD","E01001742","9E8910B4-7B6D-2C71-E053-A03BA40A7146","Public Park Or Garden",226719.900600006,180.27756,8,258417,57.1142857142857,"Less than or equal to 300m",212.255605285714,201718.159102863,7.05714285714286,252991.742857143,20235.9321485963,"N16 0TD","N16","0TD","N160TD"
17736,"N165PY","E01001799","9E8910B4-7B70-2C71-E053-A03BA40A7146","Public Park Or Garden",8827.96799999876,223.48602,8,421615,73.7391304347826,"Less than or equal to 300m",216.114569782609,8827.96799999876,6.04347826086957,303208.391304348,9284.25287502316,"N16 5PY","N16","5PY","N165PY"
17737,"N165RN","E01001809","9E8911BB-FC20-2C71-E053-A03BA40A7146","Public Park Or Garden",18747.6143499944,449.0668,5,186779,89.2,"300-600m",357.261306,15573.3275179958,4.92,190408.96,14409.8715632009,"N16 5RN","N16","5RN","N165RN"
17738,"N166RX","E01001726","9E8910B4-7B70-2C71-E053-A03BA40A7146","Public Park Or Garden",8827.96799999876,416.20306,6,194701,93.2,"300-600m",420.994399333333,17031.941519995,5.73333333333333,190897.933333333,9284.25287502316,"N16 6RX","N16","6RX","N166RX"
17739,"N169LR","E01001739","9E89103E-44B7-2C71-E053-A03BA40A7146","Public Park Or Garden",7954.66250000342,383.5101,7,350818,47.3863636363636,"300-600m",245.592762045454,16902.3116079556,7.79545454545455,316882.25,6114.88098568098,"N16 9LR","N16","9LR","N169LR"
17740,"N169PT","E01002782","9E89103E-4449-2C71-E053-A03BA40A7146","Public Park Or Garden",6331.18414999934,25.495098,9,357327,64.9615384615385,"Less than or equal to 300m",255.391284923077,6518.50857499981,9.19230769230769,220551.538461538,8491.2113638642,"N16 9PT","N16","9PT","N169PT"
21292,"N165RR","E01001808","9E89103E-44B6-2C71-E053-A03BA40A7146","Public Park Or Garden",24210.4183499917,361.04987,5,262534,64.9411764705882,"300-600m",319.942318529412,22079.3768970515,4.94117647058824,235085.941176471,12564.7119491572,"N16 5RR","N16","5RR","N165RR"
