"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"NE21AA",-1.598116,54.97754,287.0469,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","AFDD5846-0D19-4B7E-9A72-FDEF9F20299B","NE2","1AA",54.97624,-1.602002
"NE21AB",-1.59855,54.97637,220.7786,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","AFDD5846-0D19-4B7E-9A72-FDEF9F20299B","NE2","1AB",54.97624,-1.602002
"NE21AD",-1.599759,54.97735,188.8734,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","AFDD5846-0D19-4B7E-9A72-FDEF9F20299B","NE2","1AD",54.97624,-1.602002
"NE21AE",-1.598432,54.97572,228.9911,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","8957349C-7EF2-4383-8BBF-0AD070111C55","NE2","1AE",54.97596,-1.601996
"NE21AF",-1.599104,54.97718,212.6549,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","AFDD5846-0D19-4B7E-9A72-FDEF9F20299B","NE2","1AF",54.97624,-1.602002
"NE21AG",-1.595835,54.98377,276.3646,22787.45,"81B33392-340D-33F1-E053-A03BA40A2BEA","F0C54039-F694-496D-83EB-BB9335C4BAA5","NE2","1AG",54.9818,-1.593197
"NE21AH",-1.598434,54.97526,240.2541,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","8957349C-7EF2-4383-8BBF-0AD070111C55","NE2","1AH",54.97596,-1.601996
"NE21AJ",-1.598337,54.97581,234.0898,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","8957349C-7EF2-4383-8BBF-0AD070111C55","NE2","1AJ",54.97596,-1.601996
"NE21AL",-1.599283,54.97804,264.8282,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","AFDD5846-0D19-4B7E-9A72-FDEF9F20299B","NE2","1AL",54.97624,-1.602002
"NE21AN",-1.597019,54.9761,317.9904,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","8957349C-7EF2-4383-8BBF-0AD070111C55","NE2","1AN",54.97596,-1.601996
"NE21AP",-1.596189,54.97651,290.7951,371.5714,"81B3347A-D08C-33F1-E053-A03BA40A2BEA","A6D36AC6-BF34-4EEA-A3A0-A708D18A88D5","NE2","1AP",54.97528,-1.592165
"NE21AQ",-1.597323,54.9772,316.947,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","AFDD5846-0D19-4B7E-9A72-FDEF9F20299B","NE2","1AQ",54.97624,-1.602002
"NE21AR",-1.599597,54.97949,202.733,331.4789,"81B33478-CF7F-33F1-E053-A03BA40A2BEA","DBE4DA62-72FC-4E06-AE4B-8874A5E00DCA","NE2","1AR",54.98128,-1.599038
"NE21AS",-1.59984,54.97865,296.8625,331.4789,"81B33478-CF7F-33F1-E053-A03BA40A2BEA","DBE4DA62-72FC-4E06-AE4B-8874A5E00DCA","NE2","1AS",54.98128,-1.599038
"NE21AT",-1.602962,54.98048,265.8752,331.4789,"81B33478-CF7F-33F1-E053-A03BA40A2BEA","DBE4DA62-72FC-4E06-AE4B-8874A5E00DCA","NE2","1AT",54.98128,-1.599038
"NE21AU",-1.603049,54.97961,316.0116,331.4789,"81B33478-CF7F-33F1-E053-A03BA40A2BEA","DBE4DA62-72FC-4E06-AE4B-8874A5E00DCA","NE2","1AU",54.98128,-1.599038
"NE21AW",-1.597514,54.97687,294.9182,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","AFDD5846-0D19-4B7E-9A72-FDEF9F20299B","NE2","1AW",54.97624,-1.602002
"NE21AX",-1.603109,54.97986,304.2236,331.4789,"81B33478-CF7F-33F1-E053-A03BA40A2BEA","DBE4DA62-72FC-4E06-AE4B-8874A5E00DCA","NE2","1AX",54.98128,-1.599038
"NE21AY",-1.60347,54.97967,334.765,331.4789,"81B33478-CF7F-33F1-E053-A03BA40A2BEA","DBE4DA62-72FC-4E06-AE4B-8874A5E00DCA","NE2","1AY",54.98128,-1.599038
"NE21AZ",-1.59767,54.97687,285.2884,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","AFDD5846-0D19-4B7E-9A72-FDEF9F20299B","NE2","1AZ",54.97624,-1.602002
"NE21BA",-1.596083,54.97936,189.2586,22787.45,"81B33392-340D-33F1-E053-A03BA40A2BEA","08C05699-0BF2-42EF-8650-11FCE0F7F646","NE2","1BA",54.98091,-1.594854
"NE21BB",-1.595971,54.9794,182.1039,22787.45,"81B33392-340D-33F1-E053-A03BA40A2BEA","08C05699-0BF2-42EF-8650-11FCE0F7F646","NE2","1BB",54.98091,-1.594854
"NE21BD",-1.598264,54.97994,157.0475,331.4789,"81B33478-CF7F-33F1-E053-A03BA40A2BEA","DBE4DA62-72FC-4E06-AE4B-8874A5E00DCA","NE2","1BD",54.98128,-1.599038
"NE21BE",-1.598794,54.98006,136.7401,331.4789,"81B33478-CF7F-33F1-E053-A03BA40A2BEA","DBE4DA62-72FC-4E06-AE4B-8874A5E00DCA","NE2","1BE",54.98128,-1.599038
"NE21BF",-1.604925,54.98109,376.2318,331.4789,"81B33478-CF7F-33F1-E053-A03BA40A2BEA","DBE4DA62-72FC-4E06-AE4B-8874A5E00DCA","NE2","1BF",54.98128,-1.599038
"NE21BG",-1.599609,54.97829,274.4934,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","AFDD5846-0D19-4B7E-9A72-FDEF9F20299B","NE2","1BG",54.97624,-1.602002
"NE21BH",-1.600465,54.97864,284.7759,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","AFDD5846-0D19-4B7E-9A72-FDEF9F20299B","NE2","1BH",54.97624,-1.602002
"NE21BJ",-1.596904,54.97534,302.5085,371.5714,"81B3347A-D08C-33F1-E053-A03BA40A2BEA","A6D36AC6-BF34-4EEA-A3A0-A708D18A88D5","NE2","1BJ",54.97528,-1.592165
"NE21BL",-1.598457,54.97625,226.2092,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","AFDD5846-0D19-4B7E-9A72-FDEF9F20299B","NE2","1BL",54.97624,-1.602002
"NE21BN",-1.600896,54.98221,157.3492,331.4789,"81B33478-CF7F-33F1-E053-A03BA40A2BEA","DBE4DA62-72FC-4E06-AE4B-8874A5E00DCA","NE2","1BN",54.98128,-1.599038
"NE21BP",-1.596212,54.97585,265.9598,371.5714,"81B3347A-D08C-33F1-E053-A03BA40A2BEA","A6D36AC6-BF34-4EEA-A3A0-A708D18A88D5","NE2","1BP",54.97528,-1.592165
"NE21BQ",-1.599609,54.97829,274.4934,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","AFDD5846-0D19-4B7E-9A72-FDEF9F20299B","NE2","1BQ",54.97624,-1.602002
"NE21BS",-1.596886,54.9756,303.3902,371.5714,"81B3347A-D08C-33F1-E053-A03BA40A2BEA","A6D36AC6-BF34-4EEA-A3A0-A708D18A88D5","NE2","1BS",54.97528,-1.592165
"NE21BT",-1.596886,54.9756,303.3902,371.5714,"81B3347A-D08C-33F1-E053-A03BA40A2BEA","A6D36AC6-BF34-4EEA-A3A0-A708D18A88D5","NE2","1BT",54.97528,-1.592165
"NE21BU",-1.597347,54.97776,341.7809,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","AFDD5846-0D19-4B7E-9A72-FDEF9F20299B","NE2","1BU",54.97624,-1.602002
"NE21BW",-1.599058,54.97552,193.6157,5083.526,"81B3347D-676F-33F1-E053-A03BA40A2BEA","8957349C-7EF2-4383-8BBF-0AD070111C55","NE2","1BW",54.97596,-1.601996
