"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
89560,"NE697BS","E01027374","9E8910B9-C09C-2C71-E053-A03BA40A7146","Playing Field",28908.332849987,338.87018,1,28908,14.1156462585034,"300-600m",498.375328717647,17498.7533676396,1,17497.9294117647,1902.43657142857,"NE69 7BS","NE69","7BS","NE697BS"
184131,"NE697DD","E01027374","9E8910B9-C09C-2C71-E053-A03BA40A7146","Playing Field",28908.332849987,242.24988,1,28908,14.1156462585034,"Less than or equal to 300m",498.375328717647,17498.7533676396,1,17497.9294117647,1902.43657142857,"NE69 7DD","NE69","7DD","NE697DD"
228391,"NE697AA","E01027374","9E8910B9-C09C-2C71-E053-A03BA40A7146","Playing Field",28908.332849987,241.01868,1,28908,14.1156462585034,"Less than or equal to 300m",498.375328717647,17498.7533676396,1,17497.9294117647,1902.43657142857,"NE69 7AA","NE69","7AA","NE697AA"
244928,"NE697BW","E01027374","9E8910B9-C09C-2C71-E053-A03BA40A7146","Playing Field",28908.332849987,173.83325,1,28908,14.1156462585034,"Less than or equal to 300m",498.375328717647,17498.7533676396,1,17497.9294117647,1902.43657142857,"NE69 7BW","NE69","7BW","NE697BW"
276112,"NE697BB","E01027374","9E8910B9-C09C-2C71-E053-A03BA40A7146","Playing Field",28908.332849987,168.34488,1,28908,14.1156462585034,"Less than or equal to 300m",498.375328717647,17498.7533676396,1,17497.9294117647,1902.43657142857,"NE69 7BB","NE69","7BB","NE697BB"
280977,"NE697BQ","E01027374","9E8910B9-C09C-2C71-E053-A03BA40A7146","Playing Field",28908.332849987,384.98053,1,28908,14.1156462585034,"300-600m",498.375328717647,17498.7533676396,1,17497.9294117647,1902.43657142857,"NE69 7BQ","NE69","7BQ","NE697BQ"
322165,"NE697DF","E01027374","9E8910B9-C09C-2C71-E053-A03BA40A7146","Playing Field",28908.332849987,58.872746,1,28908,14.1156462585034,"Less than or equal to 300m",498.375328717647,17498.7533676396,1,17497.9294117647,1902.43657142857,"NE69 7DF","NE69","7DF","NE697DF"
370472,"NE697BJ","E01027374","9E8910B9-C09C-2C71-E053-A03BA40A7146","Playing Field",28908.332849987,38.910152,1,28908,14.1156462585034,"Less than or equal to 300m",498.375328717647,17498.7533676396,1,17497.9294117647,1902.43657142857,"NE69 7BJ","NE69","7BJ","NE697BJ"
438736,"NE697BU","E01027374","9E8910B9-C09C-2C71-E053-A03BA40A7146","Playing Field",28908.332849987,245.6013,1,28908,14.1156462585034,"Less than or equal to 300m",498.375328717647,17498.7533676396,1,17497.9294117647,1902.43657142857,"NE69 7BU","NE69","7BU","NE697BU"
460427,"NE697AN","E01027374","9E8910B9-C09C-2C71-E053-A03BA40A7146","Playing Field",28908.332849987,415.03012,1,28908,14.1156462585034,"300-600m",498.375328717647,17498.7533676396,1,17497.9294117647,1902.43657142857,"NE69 7AN","NE69","7AN","NE697AN"
