"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"NG200AA",-1.153327,53.2046,1802.127,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AA",53.20583,-1.180309
"NG200AB",-1.154434,53.20385,1737.279,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AB",53.20583,-1.180309
"NG200AD",-1.154264,53.20339,1755.673,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AD",53.20583,-1.180309
"NG200AE",-1.154868,53.2039,1707.93,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AE",53.20583,-1.180309
"NG200AF",-1.151751,53.20629,1902.626,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AF",53.20583,-1.180309
"NG200AG",-1.153608,53.20476,1782.241,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AG",53.20583,-1.180309
"NG200AH",-1.15264,53.20592,1842.755,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AH",53.20583,-1.180309
"NG200AJ",-1.152464,53.20658,1856.301,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AJ",53.20583,-1.180309
"NG200AL",-1.153278,53.20629,1800.975,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AL",53.20583,-1.180309
"NG200AN",-1.153094,53.20576,1812.506,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AN",53.20583,-1.180309
"NG200AP",-1.157023,53.20699,1556.147,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AP",53.20583,-1.180309
"NG200AQ",-1.152887,53.20563,1826.405,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AQ",53.20583,-1.180309
"NG200AR",-1.151366,53.20754,1936.925,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AR",53.20583,-1.180309
"NG200AS",-1.150328,53.20779,2008.603,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AS",53.20583,-1.180309
"NG200AT",-1.154952,53.21024,1758.609,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AT",53.20583,-1.180309
"NG200AU",-1.152728,53.2068,1840.055,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AU",53.20583,-1.180309
"NG200AW",-1.152379,53.20628,1860.781,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AW",53.20583,-1.180309
"NG200AX",-1.154377,53.20676,1730.139,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AX",53.20583,-1.180309
"NG200AY",-1.155709,53.20755,1649.492,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AY",53.20583,-1.180309
"NG200AZ",-1.155977,53.20688,1624.69,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0AZ",53.20583,-1.180309
"NG200BA",-1.157411,53.20702,1530.768,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0BA",53.20583,-1.180309
"NG200BB",-1.157111,53.20709,1551.349,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0BB",53.20583,-1.180309
"NG200BD",-1.155927,53.20639,1625.028,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0BD",53.20583,-1.180309
"NG200BE",-1.154967,53.20719,1694.575,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0BE",53.20583,-1.180309
"NG200BF",-1.152896,53.2052,1827.004,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0BF",53.20583,-1.180309
"NG200BG",-1.155055,53.20657,1683.887,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0BG",53.20583,-1.180309
"NG200BH",-1.155521,53.2057,1650.917,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0BH",53.20583,-1.180309
"NG200BJ",-1.154551,53.20548,1715.903,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0BJ",53.20583,-1.180309
"NG200BL",-1.154954,53.2056,1688.815,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0BL",53.20583,-1.180309
"NG200BN",-1.156066,53.20461,1620.194,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0BN",53.20583,-1.180309
"NG200BP",-1.152629,53.20724,1850.151,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0BP",53.20583,-1.180309
"NG200BQ",-1.155543,53.20608,1649.633,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0BQ",53.20583,-1.180309
"NG200BS",-1.153124,53.20806,1827.455,9906.332,"81B332F8-2A09-33F1-E053-A03BA40A2BEA","9AAD81E4-F875-4BCF-9C9F-91A5F6704C3C","NG20","0BS",53.20583,-1.180309
