"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
3546,"NG310TF","E01026323","9E891074-1D70-2C71-E053-A03BA40A7146","Public Park Or Garden",525.82164999981,52.17279,11,247837,16.1404958677686,"Less than or equal to 300m",173.341964644628,3931.00349628011,9.38842975206612,209281.537190083,936.148760330578,"NG31 0TF","NG31","0TF","NG310TF"
3547,"NG316JX","E01026343","9E891074-20E9-2C71-E053-A03BA40A7146","Public Park Or Garden",37090.9142000061,99.368004,7,78251,39.0416666666667,"Less than or equal to 300m",211.850626770833,22939.0567885453,7.6875,116527.104166667,3437.96108922038,"NG31 6JX","NG31","6JX","NG316JX"
3548,"NG319JX","E01026345","9E891074-15B4-2C71-E053-A03BA40A7146","Playing Field",20440.9954000016,293.06824,8,212443,44.1,"Less than or equal to 300m",245.790321825,17985.822511251,8.475,199019.05,1562.5,"NG31 9JX","NG31","9JX","NG319JX"
9048,"NG316BD","E01026317","9E891047-32C4-2C71-E053-A03BA40A7146","Public Park Or Garden",2074.10890000071,180.7678,10,141301,43.4444444444444,"Less than or equal to 300m",278.43290237037,4058.91883333311,6.66666666666667,74197.7962962963,1631.97968319559,"NG31 6BD","NG31","6BD","NG316BD"
9049,"NG319BB","E01026345","9E89103D-BD05-2C71-E053-A03BA40A7146","Playing Field",19182.156549997,26.683329,9,214518,44.1,"Less than or equal to 300m",245.790321825,17985.822511251,8.475,199019.05,570.728571428572,"NG31 9BB","NG31","9BB","NG319BB"
9050,"NG319ST","E01026294","9E891074-186B-2C71-E053-A03BA40A7146","Playing Field",26174.5203999978,525.90875,2,38897,52.7741935483871,"300-600m",464.013227096774,32193.520235482,2.74193548387097,123124.483870968,4461.78978795819,"NG31 9ST","NG31","9ST","NG319ST"
13820,"NG316JZ","E01026317","9E891047-32C4-2C71-E053-A03BA40A7146","Public Park Or Garden",2074.10890000071,316.29102,9,104210,43.4444444444444,"300-600m",278.43290237037,4058.91883333311,6.66666666666667,74197.7962962963,1631.97968319559,"NG31 6JZ","NG31","6JZ","NG316JZ"
13821,"NG317BH","E01026318","9E891074-20E9-2C71-E053-A03BA40A7146","Public Park Or Garden",37090.9142000061,597.48553,2,42142,72.8484848484848,"300-600m",490.811921212121,17565.1247136382,5.27272727272727,77870.6363636364,3437.96108922038,"NG31 7BH","NG31","7BH","NG317BH"
13822,"NG318BX","E01026353","9E891074-150D-2C71-E053-A03BA40A7146","Public Park Or Garden",28528.9970000028,110.4355,9,205695,33.2857142857143,"Less than or equal to 300m",259.547301183674,26234.4574183692,9.3265306122449,207887.734693878,1338.65714285714,"NG31 8BX","NG31","8BX","NG318BX"
17900,"NG319FT","E01026293","9E891074-186B-2C71-E053-A03BA40A7146","Playing Field",26174.5203999978,180.51039,2,38897,31.4117647058824,"Less than or equal to 300m",349.19512131579,18642.151928947,1.84210526315789,35395.3421052632,4461.78978795819,"NG31 9FT","NG31","9FT","NG319FT"
17901,"NG319RJ","E01026327","9E891074-16AD-2C71-E053-A03BA40A7146","Playing Field",12723.460049998,198.56737,3,145433,42.1875,"Less than or equal to 300m",153.40412765625,47903.0547187485,5.625,201478.125,3448.90773169483,"NG31 9RJ","NG31","9RJ","NG319RJ"
21407,"NG316SN","E01026323","9E891046-B038-2C71-E053-A03BA40A7146","Public Park Or Garden",17075.0415499982,148.86235,10,210746,16.1404958677686,"Less than or equal to 300m",173.341964644628,3931.00349628011,9.38842975206612,209281.537190083,537.357378984652,"NG31 6SN","NG31","6SN","NG316SN"
21408,"NG317SP","E01026311","9E891074-1CC0-2C71-E053-A03BA40A7146","Playing Field",5051.32379999931,724.2389,1,5051,52.3939393939394,"600-900m",682.053128181818,4667.69703333224,1.78787878787879,7800.15151515152,6613.71206684065,"NG31 7SP","NG31","7SP","NG317SP"
21409,"NG317WN","E01026317","9E891074-1CC0-2C71-E053-A03BA40A7146","Playing Field",5051.32379999931,433.56775,5,52173,43.4444444444444,"300-600m",278.43290237037,4058.91883333311,6.66666666666667,74197.7962962963,6613.71206684065,"NG31 7WN","NG31","7WN","NG317WN"
21410,"NG319LE","E01026326","9E891074-15B4-2C71-E053-A03BA40A7146","Playing Field",20440.9954000016,442.6658,8,238092,40.5142857142857,"300-600m",297.091671142857,29965.6460971416,7.2,218981.428571429,1562.5,"NG31 9LE","NG31","9LE","NG319LE"
27049,"NG319NU","E01026328","9E891074-16AD-2C71-E053-A03BA40A7146","Playing Field",12723.460049998,356.3664,5,185056,57.1111111111111,"300-600m",266.965816851852,22687.2084574053,2.81481481481481,71469.3703703704,3448.90773169483,"NG31 9NU","NG31","9NU","NG319NU"
29408,"NG316PD","E01026323","9E891074-1432-2C71-E053-A03BA40A7146","Playing Field",3900.4434999981,280.94482,10,210746,16.1404958677686,"Less than or equal to 300m",173.341964644628,3931.00349628011,9.38842975206612,209281.537190083,5906.56236550755,"NG31 6PD","NG31","6PD","NG316PD"
29409,"NG317HP","E01026293","9E891074-2248-2C71-E053-A03BA40A7146","Playing Field",5637.00110000132,159.76233,2,42727,31.4117647058824,"Less than or equal to 300m",349.19512131579,18642.151928947,1.84210526315789,35395.3421052632,810.146167557932,"NG31 7HP","NG31","7HP","NG317HP"
29410,"NG319TL","E01026293","9E891074-186B-2C71-E053-A03BA40A7146","Playing Field",26174.5203999978,30,2,38897,31.4117647058824,"Less than or equal to 300m",349.19512131579,18642.151928947,1.84210526315789,35395.3421052632,4461.78978795819,"NG31 9TL","NG31","9TL","NG319TL"
31423,"NG318HA","E01026324","9E8911BD-6173-2C71-E053-A03BA40A7146","Public Park Or Garden",7593.58119999549,596.82495,2,21445,48.8863636363636,"300-600m",408.703744545454,7593.58119999548,1.22727272727273,25486.3636363636,3895.67522582074,"NG31 8HA","NG31","8HA","NG318HA"
31424,"NG319QH","E01026294","9E891074-130D-2C71-E053-A03BA40A7146","Public Park Or Garden",106535.712499999,535.0757,3,145433,52.7741935483871,"300-600m",464.013227096774,32193.520235482,2.74193548387097,123124.483870968,3159.15326587858,"NG31 9QH","NG31","9QH","NG319QH"
33150,"NG319LP","E01026292","9E891074-186B-2C71-E053-A03BA40A7146","Playing Field",26174.5203999978,331.69867,1,26174,50.8888888888889,"300-600m",421.624851111111,26174.5203999978,1.18518518518519,28530.1111111111,4461.78978795819,"NG31 9LP","NG31","9LP","NG319LP"
36038,"NG318GU","E01026323","9E8911BD-6173-2C71-E053-A03BA40A7146","Public Park Or Garden",7593.58119999549,409.2933,2,114129,16.1404958677686,"300-600m",173.341964644628,3931.00349628011,9.38842975206612,209281.537190083,3895.67522582074,"NG31 8GU","NG31","8GU","NG318GU"
37241,"NG317QP","E01026312","9E891074-1CC0-2C71-E053-A03BA40A7146","Playing Field",5051.32379999931,856.7765,1,5051,71.15,"600-900m",942.14145,5051.32379999931,1,5051,6613.71206684065,"NG31 7QP","NG31","7QP","NG317QP"
38255,"NG317RN","E01026312","9E891074-1CC0-2C71-E053-A03BA40A7146","Playing Field",5051.32379999931,767.44055,1,5051,71.15,"600-900m",942.14145,5051.32379999931,1,5051,6613.71206684065,"NG31 7RN","NG31","7RN","NG317RN"
38256,"NG319QL","E01026294","9E891074-16AD-2C71-E053-A03BA40A7146","Playing Field",12723.460049998,560.4159,3,145433,52.7741935483871,"300-600m",464.013227096774,32193.520235482,2.74193548387097,123124.483870968,3448.90773169483,"NG31 9QL","NG31","9QL","NG319QL"
39991,"NG318DT","E01026352","9E891074-130D-2C71-E053-A03BA40A7146","Public Park Or Garden",106535.712499999,233.0708,5,174563,55.2608695652174,"Less than or equal to 300m",257.446272782609,102233.880704347,4.47826086956522,170373.260869565,3159.15326587858,"NG31 8DT","NG31","8DT","NG318DT"
