"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"NP223AA",-3.280181,51.78502,403.4972,1136589,"81B33305-8843-33F1-E053-A03BA40A2BEA","2275419D-3FFA-479B-8642-122A32DBF3EC","NP22","3AA",51.78252,-3.275932
"NP223AB",-3.284698,51.78154,612.938,1136589,"81B33305-8843-33F1-E053-A03BA40A2BEA","2275419D-3FFA-479B-8642-122A32DBF3EC","NP22","3AB",51.78252,-3.275932
"NP223AD",-3.277728,51.78421,224.5848,1136589,"81B33305-8843-33F1-E053-A03BA40A2BEA","2275419D-3FFA-479B-8642-122A32DBF3EC","NP22","3AD",51.78252,-3.275932
"NP223AE",-3.285275,51.78197,645.6534,1136589,"81B33305-8843-33F1-E053-A03BA40A2BEA","2275419D-3FFA-479B-8642-122A32DBF3EC","NP22","3AE",51.78252,-3.275932
"NP223AF",-3.291713,51.78201,1034.902,5617.796,"81B3334E-12BF-33F1-E053-A03BA40A2BEA","A03AF75F-3810-4727-8035-7E954E004D54","NP22","3AF",51.77284,-3.289075
"NP223AG",-3.278218,51.78411,236.754,1136589,"81B33305-8843-33F1-E053-A03BA40A2BEA","2275419D-3FFA-479B-8642-122A32DBF3EC","NP22","3AG",51.78252,-3.275932
"NP223AH",-3.237311,51.7668,299.1578,90847.76,"81B3334E-458C-33F1-E053-A03BA40A2BEA","0CA77000-A091-4426-A74D-EC4CE5F67A05","NP22","3AH",51.76755,-3.241486
"NP223AJ",-3.275777,51.78547,232.0943,1136589,"81B33305-8843-33F1-E053-A03BA40A2BEA","2A74E05F-F304-4489-AE3C-B3CB0A26B7C9","NP22","3AJ",51.78402,-3.273347
"NP223AP",-3.275374,51.78452,150.1292,1136589,"81B33305-8843-33F1-E053-A03BA40A2BEA","2A74E05F-F304-4489-AE3C-B3CB0A26B7C9","NP22","3AP",51.78402,-3.273347
"NP223AQ",-3.277175,51.78414,199.4666,1136589,"81B33305-8843-33F1-E053-A03BA40A2BEA","2275419D-3FFA-479B-8642-122A32DBF3EC","NP22","3AQ",51.78252,-3.275932
"NP223AR",-3.275665,51.78507,197.3095,1136589,"81B33305-8843-33F1-E053-A03BA40A2BEA","2A74E05F-F304-4489-AE3C-B3CB0A26B7C9","NP22","3AR",51.78402,-3.273347
"NP223AS",-3.26249,51.78573,255.318,1136589,"81B33305-8843-33F1-E053-A03BA40A2BEA","91C79EB5-99F7-4B57-B081-0B3860E23096","NP22","3AS",51.78344,-3.262409
"NP223AU",-3.276313,51.78545,258.3375,1136589,"81B33305-8843-33F1-E053-A03BA40A2BEA","2A74E05F-F304-4489-AE3C-B3CB0A26B7C9","NP22","3AU",51.78402,-3.273347
"NP223AW",-3.275743,51.78446,171.8843,1136589,"81B33305-8843-33F1-E053-A03BA40A2BEA","2A74E05F-F304-4489-AE3C-B3CB0A26B7C9","NP22","3AW",51.78402,-3.273347
"NP223AX",-3.281049,51.7873,637.462,1136589,"81B33305-8843-33F1-E053-A03BA40A2BEA","2275419D-3FFA-479B-8642-122A32DBF3EC","NP22","3AX",51.78252,-3.275932
"NP223AY",-3.270002,51.78529,116.8551,1136589,"81B33305-8843-33F1-E053-A03BA40A2BEA","B6E71FA6-616A-4FB5-93C4-10AC27F542CA","NP22","3AY",51.78535,-3.268305
