"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"NPT0AD",-2.991587,51.58846,458.7048,2881.218,"81B3331C-1DFD-33F1-E053-A03BA40A2BEA","97E27FA4-22CB-4E1B-9BD2-8B5C65F550FC","NPT","0AD",51.58507,-2.995379
"NPT0AE",-2.991626,51.59026,632.0786,2881.218,"81B3331C-1DFD-33F1-E053-A03BA40A2BEA","97E27FA4-22CB-4E1B-9BD2-8B5C65F550FC","NPT","0AE",51.58507,-2.995379
"NPT0AG",-2.991626,51.59026,632.0786,2881.218,"81B3331C-1DFD-33F1-E053-A03BA40A2BEA","97E27FA4-22CB-4E1B-9BD2-8B5C65F550FC","NPT","0AG",51.58507,-2.995379
"NPT0AH",-2.991626,51.59026,632.0786,2881.218,"81B3331C-1DFD-33F1-E053-A03BA40A2BEA","97E27FA4-22CB-4E1B-9BD2-8B5C65F550FC","NPT","0AH",51.58507,-2.995379
"NPT0AJ",-2.990183,51.59027,680.225,2881.218,"81B3331C-1DFD-33F1-E053-A03BA40A2BEA","97E27FA4-22CB-4E1B-9BD2-8B5C65F550FC","NPT","0AJ",51.58507,-2.995379
"NPT0AL",-2.991626,51.59026,632.0786,2881.218,"81B3331C-1DFD-33F1-E053-A03BA40A2BEA","97E27FA4-22CB-4E1B-9BD2-8B5C65F550FC","NPT","0AL",51.58507,-2.995379
"NPT0AN",-2.990183,51.59027,680.225,2881.218,"81B3331C-1DFD-33F1-E053-A03BA40A2BEA","97E27FA4-22CB-4E1B-9BD2-8B5C65F550FC","NPT","0AN",51.58507,-2.995379
"NPT0AP",-2.991587,51.58846,458.7048,2881.218,"81B3331C-1DFD-33F1-E053-A03BA40A2BEA","97E27FA4-22CB-4E1B-9BD2-8B5C65F550FC","NPT","0AP",51.58507,-2.995379
"NPT0AQ",-2.990124,51.58757,457.2247,2881.218,"81B3331C-1DFD-33F1-E053-A03BA40A2BEA","97E27FA4-22CB-4E1B-9BD2-8B5C65F550FC","NPT","0AQ",51.58507,-2.995379
"NPT0AR",-2.991587,51.58846,458.7048,2881.218,"81B3331C-1DFD-33F1-E053-A03BA40A2BEA","97E27FA4-22CB-4E1B-9BD2-8B5C65F550FC","NPT","0AR",51.58507,-2.995379
