"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
9166,"NR146HZ","E01026879","9E89103D-D9E0-2C71-E053-A03BA40A7146","Playing Field",2732.51905000081,358.02234,3,39017,29.780487804878,"300-600m",375.648832173913,5678.60219565256,2.82608695652174,36843.8260869565,870.050434063662,"NR14 6HZ","NR14","6HZ","NR146HZ"
9167,"NR147NN","E01026929","9E8910E9-AA37-2C71-E053-A03BA40A7146","Playing Field",14386.598850009,248.129,2,19088,20.7076923076923,"Less than or equal to 300m",418.480376206896,9043.38704310864,1.86206896551724,17771.5862068966,439.413811105838,"NR14 7NN","NR14","7NN","NR147NN"
9168,"NR148RW","E01026937","9E89103E-446C-2C71-E053-A03BA40A7146","Public Park Or Garden",12778.676700001,433.70612,2,951930,17.9024390243902,"300-600m",308.871825480769,120767.735825959,1.96153846153846,539469.5,927.666851441241,"NR14 8RW","NR14","8RW","NR148RW"
13914,"NR147UU","E01026926","9E8910E9-A852-2C71-E053-A03BA40A7146","Playing Field",23897.0087500072,889.2109,1,23897,27.7325581395349,"600-900m",743.096996554054,23254.4134864938,1.01351351351351,23317.9054054054,5866.1805385557,"NR14 7UU","NR14","7UU","NR147UU"
17974,"NR147TG","E01026927","9E8910E9-A852-2C71-E053-A03BA40A7146","Playing Field",23897.0087500072,227.66862,1,23897,44.1860465116279,"Less than or equal to 300m",308.10745727907,23897.0087500072,1,23897,5866.1805385557,"NR14 7TG","NR14","7TG","NR147TG"
17975,"NR148FN","E01026914","9E89103E-3FC8-2C71-E053-A03BA40A7146","Public Park Or Garden",163780.260699984,744.0974,3,346080,24.0384615384615,"600-900m",430.701677553192,144262.642287233,2.46808510638298,267171.340425532,2454.61263033642,"NR14 8FN","NR14","8FN","NR148FN"
21482,"NR148JG","E01026915","9E89103E-3FC8-2C71-E053-A03BA40A7146","Public Park Or Garden",163780.260699984,52.03845,3,346080,44.5869565217391,"Less than or equal to 300m",335.625914384615,159611.153379472,3,346080,2454.61263033642,"NR14 8JG","NR14","8JG","NR148JG"
31479,"NR146HU","E01026880","9E89103D-D9E0-2C71-E053-A03BA40A7146","Playing Field",2732.51905000081,411.6807,1,2732,24.9491525423729,"300-600m",454.639115911111,15042.4375677781,1.37777777777778,24623.9777777778,870.050434063662,"NR14 6HU","NR14","6HU","NR146HU"
31480,"NR146RW","E01026944","9E8910CD-1A1B-2C71-E053-A03BA40A7146","Playing Field",10633.0985000045,330.40884,1,10633,26.5681818181818,"300-600m",531.142003583333,11087.0798069478,1.13888888888889,12495.8611111111,1019.93181818182,"NR14 6RW","NR14","6RW","NR146RW"
36074,"NR146JT","E01026912","9E8910CD-0BC8-2C71-E053-A03BA40A7146","Playing Field",25319.1564999975,319.925,2,36284,29.4736842105263,"300-600m",542.402249565217,24970.7846619543,2.02173913043478,35458.152173913,1976.68356867779,"NR14 6JT","NR14","6JT","NR146JT"
39185,"NR146FS","E01026911","9E8910CD-0A59-2C71-E053-A03BA40A7146","Playing Field",10965.8241000009,170.35551,3,39017,31.078947368421,"Less than or equal to 300m",178.608079815789,18142.4902999992,2.65789473684211,38082.0263157895,590.5,"NR14 6FS","NR14","6FS","NR146FS"
43502,"NR147NA","E01026928","9E8910E9-A852-2C71-E053-A03BA40A7146","Playing Field",23897.0087500072,768.0677,1,23897,31.7894736842105,"600-900m",702.491984035088,23189.0406824627,1,23188.9649122807,5866.1805385557,"NR14 7NA","NR14","7NA","NR147NA"
44267,"NR146LZ","E01026911","9E8910CD-0BC8-2C71-E053-A03BA40A7146","Playing Field",25319.1564999975,123.90723,3,39017,31.078947368421,"Less than or equal to 300m",178.608079815789,18142.4902999992,2.65789473684211,38082.0263157895,1976.68356867779,"NR14 6LZ","NR14","6LZ","NR146LZ"
