"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"NR180AA",1.110615,52.57164,23.81644,2629.316,"81B33330-0F99-33F1-E053-A03BA40A2BEA","56F3E41B-7566-4880-8542-4542C55A2953","NR18","0AA",52.57169,1.110272
"NR180AB",1.109967,52.57166,20.89997,2629.316,"81B33330-0F99-33F1-E053-A03BA40A2BEA","56F3E41B-7566-4880-8542-4542C55A2953","NR18","0AB",52.57169,1.110272
"NR180AD",1.11057,52.57142,35.58056,2629.316,"81B33330-0F99-33F1-E053-A03BA40A2BEA","56F3E41B-7566-4880-8542-4542C55A2953","NR18","0AD",52.57169,1.110272
"NR180AE",1.110216,52.57205,39.90653,2629.316,"81B33330-0F99-33F1-E053-A03BA40A2BEA","56F3E41B-7566-4880-8542-4542C55A2953","NR18","0AE",52.57169,1.110272
"NR180AF",1.113879,52.56792,474.0603,2629.316,"81B33330-0F99-33F1-E053-A03BA40A2BEA","9C7BC14F-CDB7-4953-A9DE-2F8C801C5381","NR18","0AF",52.57191,1.11141
"NR180AG",1.113364,52.57044,210.7033,2629.316,"81B33330-0F99-33F1-E053-A03BA40A2BEA","9C7BC14F-CDB7-4953-A9DE-2F8C801C5381","NR18","0AG",52.57191,1.11141
"NR180AH",1.110528,52.57125,52.07881,2629.316,"81B33330-0F99-33F1-E053-A03BA40A2BEA","56F3E41B-7566-4880-8542-4542C55A2953","NR18","0AH",52.57169,1.110272
"NR180AJ",1.111651,52.57064,142.0922,2629.316,"81B33330-0F99-33F1-E053-A03BA40A2BEA","9C7BC14F-CDB7-4953-A9DE-2F8C801C5381","NR18","0AJ",52.57191,1.11141
"NR180AL",1.112631,52.57051,176.5366,2629.316,"81B33330-0F99-33F1-E053-A03BA40A2BEA","9C7BC14F-CDB7-4953-A9DE-2F8C801C5381","NR18","0AL",52.57191,1.11141
"NR180AN",1.113541,52.5696,294.3369,2629.316,"81B33330-0F99-33F1-E053-A03BA40A2BEA","9C7BC14F-CDB7-4953-A9DE-2F8C801C5381","NR18","0AN",52.57191,1.11141
