"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"OL161AA",-2.148783,53.61153,655.5173,8693.673,"81B3334D-F526-33F1-E053-A03BA40A2BEA","D209C6B8-762B-46F9-8BDB-CAC51261F487","OL16","1AA",53.61511,-2.156686
"OL161AB",-2.148783,53.61153,655.5173,8693.673,"81B3334D-F526-33F1-E053-A03BA40A2BEA","D209C6B8-762B-46F9-8BDB-CAC51261F487","OL16","1AB",53.61511,-2.156686
"OL161AD",-2.159321,53.61656,24.87689,10753.09,"81B3334D-F518-33F1-E053-A03BA40A2BEA","019EDCCF-395D-42D1-ADE0-4FC129FDB222","OL16","1AD",53.61634,-2.15926
"OL161AE",-2.158897,53.61662,38.71259,10753.09,"81B3334D-F518-33F1-E053-A03BA40A2BEA","019EDCCF-395D-42D1-ADE0-4FC129FDB222","OL16","1AE",53.61634,-2.15926
"OL161AF",-2.161339,53.61439,36.05396,58697.76,"81B3334D-F523-33F1-E053-A03BA40A2BEA","55BB7596-5C54-4F62-BC01-2CC1DDB25D32","OL16","1AF",53.61422,-2.161802
"OL161AG",-2.161345,53.61593,67.47159,10753.09,"81B3334D-F518-33F1-E053-A03BA40A2BEA","91711AC3-D3AA-494D-97C8-70F7B10B51A9","OL16","1AG",53.61578,-2.160354
"OL161AH",-2.159272,53.61556,50.27644,58697.76,"81B3334D-F523-33F1-E053-A03BA40A2BEA","25E5957C-C727-4C57-9BD8-DEB29BBA3587","OL16","1AH",53.61544,-2.160006
"OL161AJ",-2.158688,53.61704,80.17185,10753.09,"81B3334D-F518-33F1-E053-A03BA40A2BEA","13A8698F-DA65-4A83-8D9F-1B4FDADE3316","OL16","1AJ",53.61667,-2.159728
"OL161AL",-2.157475,53.61609,59.87887,8693.673,"81B3334D-F526-33F1-E053-A03BA40A2BEA","9A1B9953-0EE2-4E4C-9991-D812AF99EF01","OL16","1AL",53.6156,-2.157102
"OL161AN",-2.159321,53.61656,24.87689,10753.09,"81B3334D-F518-33F1-E053-A03BA40A2BEA","019EDCCF-395D-42D1-ADE0-4FC129FDB222","OL16","1AN",53.61634,-2.15926
"OL161AP",-2.159119,53.61892,234.9467,10753.09,"81B3334D-F518-33F1-E053-A03BA40A2BEA","63167277-9BBA-4E01-A595-41ADBF488359","OL16","1AP",53.61701,-2.160667
"OL161AQ",-2.161916,53.61512,95.17141,58697.76,"81B3334D-F523-33F1-E053-A03BA40A2BEA","EF39D7B7-B1FD-458E-A349-E12D8BF5AA04","OL16","1AQ",53.61526,-2.160493
"OL161AR",-2.148783,53.61153,655.5173,8693.673,"81B3334D-F526-33F1-E053-A03BA40A2BEA","D209C6B8-762B-46F9-8BDB-CAC51261F487","OL16","1AR",53.61511,-2.156686
