"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"OX20AA",-1.271587,51.75239,1099.423,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AA",51.74908,-1.256542
"OX20AB",-1.271484,51.7527,1104.776,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AB",51.74908,-1.256542
"OX20AD",-1.271933,51.75433,1173.701,286500.4,"81B33378-9528-33F1-E053-A03BA40A2BEA","358969E0-79C9-4FCF-A530-06EDAF022567","OX2","0AD",51.75992,-1.257465
"OX20AE",-1.271831,51.75365,1168.853,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AE",51.74908,-1.256542
"OX20AF",-1.267367,51.75023,756.1751,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AF",51.74908,-1.256542
"OX20AG",-1.271359,51.75507,1097.382,286500.4,"81B33378-9528-33F1-E053-A03BA40A2BEA","358969E0-79C9-4FCF-A530-06EDAF022567","OX2","0AG",51.75992,-1.257465
"OX20AH",-1.271295,51.75367,1136.89,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AH",51.74908,-1.256542
"OX20AJ",-1.270837,51.75156,1021.959,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AJ",51.74908,-1.256542
"OX20AL",-1.271115,51.75136,1034.838,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AL",51.74908,-1.256542
"OX20AN",-1.271478,51.74951,1029.334,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AN",51.74908,-1.256542
"OX20AP",-1.27683,51.74818,1400.236,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AP",51.74908,-1.256542
"OX20AQ",-1.27126,51.75403,1153.081,286500.4,"81B33378-9528-33F1-E053-A03BA40A2BEA","358969E0-79C9-4FCF-A530-06EDAF022567","OX2","0AQ",51.75992,-1.257465
"OX20AR",-1.2719,51.75187,1101.77,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AR",51.74908,-1.256542
"OX20AS",-1.271465,51.75118,1053.664,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AS",51.74908,-1.256542
"OX20AT",-1.271506,51.75045,1041.321,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AT",51.74908,-1.256542
"OX20AU",-1.272682,51.75118,1135.452,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AU",51.74908,-1.256542
"OX20AW",-1.271297,51.74996,1020.471,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AW",51.74908,-1.256542
"OX20AX",-1.272467,51.74926,1096.473,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AX",51.74908,-1.256542
"OX20AY",-1.273347,51.75219,1207.603,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AY",51.74908,-1.256542
"OX20AZ",-1.273012,51.74867,1134.693,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0AZ",51.74908,-1.256542
"OX20BA",-1.273451,51.75112,1186.049,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0BA",51.74908,-1.256542
"OX20BB",-1.273196,51.74985,1149.652,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0BB",51.74908,-1.256542
"OX20BD",-1.273711,51.75115,1204.234,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0BD",51.74908,-1.256542
"OX20BE",-1.27354,51.75011,1175.758,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0BE",51.74908,-1.256542
"OX20BF",-1.278924,51.75133,1560.978,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0BF",51.74908,-1.256542
"OX20BG",-1.273878,51.7498,1196.16,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0BG",51.74908,-1.256542
"OX20BH",-1.274729,51.75093,1268.898,2637.752,"81B333A4-AF32-33F1-E053-A03BA40A2BEA","3F9CED06-4107-48CB-94A4-36571FE0862F","OX2","0BH",51.74908,-1.256542
