"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
3862,"OX201PP","E01028825","9E891092-DCE0-2C71-E053-A03BA40A7146","Public Park Or Garden",320512.098800008,218.5246,6,502071,18.2272727272727,"Less than or equal to 300m",538.739106484849,60153.7403166669,2.07575757575758,116121.363636364,670.476843910806,"OX20 1PP","OX20","1PP","OX201PP"
3863,"OX201US","E01028825","9E891088-805E-2C71-E053-A03BA40A7146","Playing Field",20946.8010999993,175.4195,3,93099,18.2272727272727,"Less than or equal to 300m",538.739106484849,60153.7403166669,2.07575757575758,116121.363636364,1461.28779710855,"OX20 1US","OX20","1US","OX201US"
14066,"OX201UD","E01028823","9E891092-DCE0-2C71-E053-A03BA40A7146","Public Park Or Garden",320512.098800008,419.44846,8,574224,24.3962264150943,"300-600m",289.95918035,193196.847277504,5.425,443380.7,670.476843910806,"OX20 1UD","OX20","1UD","OX201UD"
21597,"OX201LT","E01028824","9E891088-8408-2C71-E053-A03BA40A7146","Playing Field",40993.5991000016,284.80344,2,61940,32.2142857142857,"Less than or equal to 300m",182.132255181818,30058.9820090913,2.77272727272727,209643.590909091,717.194805194805,"OX20 1LT","OX20","1LT","OX201LT"
31523,"OX201PG","E01028824","9E891088-8408-2C71-E053-A03BA40A7146","Playing Field",40993.5991000016,86.764046,2,61940,32.2142857142857,"Less than or equal to 300m",182.132255181818,30058.9820090913,2.77272727272727,209643.590909091,717.194805194805,"OX20 1PG","OX20","1PG","OX201PG"
33246,"OX201NX","E01028825","9E891088-805E-2C71-E053-A03BA40A7146","Playing Field",20946.8010999993,126.43575,2,61940,18.2272727272727,"Less than or equal to 300m",538.739106484849,60153.7403166669,2.07575757575758,116121.363636364,1461.28779710855,"OX20 1NX","OX20","1NX","OX201NX"
43516,"OX201GE","E01028825","9E891088-8408-2C71-E053-A03BA40A7146","Playing Field",40993.5991000016,559.8589,3,93099,18.2272727272727,"300-600m",538.739106484849,60153.7403166669,2.07575757575758,116121.363636364,717.194805194805,"OX20 1GE","OX20","1GE","OX201GE"
64125,"OX201SZ","E01028823","9E891092-DCE0-2C71-E053-A03BA40A7146","Public Park Or Garden",320512.098800008,296.29883,7,543065,24.3962264150943,"Less than or equal to 300m",289.95918035,193196.847277504,5.425,443380.7,670.476843910806,"OX20 1SZ","OX20","1SZ","OX201SZ"
70559,"OX201ND","E01028825","9E891088-8408-2C71-E053-A03BA40A7146","Playing Field",40993.5991000016,108.90822,2,61940,18.2272727272727,"Less than or equal to 300m",538.739106484849,60153.7403166669,2.07575757575758,116121.363636364,717.194805194805,"OX20 1ND","OX20","1ND","OX201ND"
82001,"OX201NS","E01028824","9E891088-805E-2C71-E053-A03BA40A7146","Playing Field",20946.8010999993,27.658634,2,61940,32.2142857142857,"Less than or equal to 300m",182.132255181818,30058.9820090913,2.77272727272727,209643.590909091,1461.28779710855,"OX20 1NS","OX20","1NS","OX201NS"
