"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"PA223AA",-5.215195,56.0097,8833.698,54276.36,"81B333A3-EA44-33F1-E053-A03BA40A2BEA","83360A8D-F332-4E00-83C3-ACFF74E6963B","PA22","3AA",55.93057,-5.202427
"PA223AB",-5.213119,56.03425,10942.12,116959.4,"81B33397-9ABA-33F1-E053-A03BA40A2BEA","44B1CD7C-E485-4CC6-8E37-5802D7FF1F94","PA22","3AB",55.96458,-5.088847
"PA223AD",-5.14934,56.07263,10988.03,438207,"81B332FD-A93A-33F1-E053-A03BA40A2BEA","34DF4A2B-25DC-4EF9-9532-6B598FFC076F","PA22","3AD",56.02617,-4.993178
"PA223AE",-5.188613,56.04064,10488.57,116959.4,"81B33397-9ABA-33F1-E053-A03BA40A2BEA","44B1CD7C-E485-4CC6-8E37-5802D7FF1F94","PA22","3AE",55.96458,-5.088847
"PA223AF",-5.203003,55.98697,6271.317,54276.36,"81B333A3-EA44-33F1-E053-A03BA40A2BEA","83360A8D-F332-4E00-83C3-ACFF74E6963B","PA22","3AF",55.93057,-5.202427
"PA223AG",-5.189956,56.04056,10531.03,116959.4,"81B33397-9ABA-33F1-E053-A03BA40A2BEA","44B1CD7C-E485-4CC6-8E37-5802D7FF1F94","PA22","3AG",55.96458,-5.088847
"PA223AH",-5.185226,55.9594,3379.781,54276.36,"81B333A3-EA44-33F1-E053-A03BA40A2BEA","83360A8D-F332-4E00-83C3-ACFF74E6963B","PA22","3AH",55.93057,-5.202427
"PA223AJ",-5.191392,55.99164,6825.145,54276.36,"81B333A3-EA44-33F1-E053-A03BA40A2BEA","83360A8D-F332-4E00-83C3-ACFF74E6963B","PA22","3AJ",55.93057,-5.202427
"PA223AP",-5.15252,55.92378,3199.484,54276.36,"81B333A3-EA44-33F1-E053-A03BA40A2BEA","83360A8D-F332-4E00-83C3-ACFF74E6963B","PA22","3AP",55.93057,-5.202427
"PA223AR",-5.162024,55.92939,2520.244,54276.36,"81B333A3-EA44-33F1-E053-A03BA40A2BEA","83360A8D-F332-4E00-83C3-ACFF74E6963B","PA22","3AR",55.93057,-5.202427
"PA223AS",-5.138072,55.91777,4254.766,54276.36,"81B333A3-EA44-33F1-E053-A03BA40A2BEA","83360A8D-F332-4E00-83C3-ACFF74E6963B","PA22","3AS",55.93057,-5.202427
"PA223AT",-5.124683,55.91033,5341.412,54276.36,"81B333A3-EA44-33F1-E053-A03BA40A2BEA","83360A8D-F332-4E00-83C3-ACFF74E6963B","PA22","3AT",55.93057,-5.202427
"PA223AU",-5.103904,55.90227,6743.102,116959.4,"81B33397-9ABA-33F1-E053-A03BA40A2BEA","7D6050B2-6A6A-45F9-815A-78E426B373CC","PA22","3AU",55.96153,-5.080875
"PA223AX",-5.078317,55.92165,4436.989,116959.4,"81B33397-9ABA-33F1-E053-A03BA40A2BEA","7D6050B2-6A6A-45F9-815A-78E426B373CC","PA22","3AX",55.96153,-5.080875
"PA223WA",-4.928184,55.95115,471.2989,24126.67,"81B33397-9AFD-33F1-E053-A03BA40A2BEA","CAB88824-F3D1-47E0-A456-41273B07C2F4","PA22","3WA",55.94739,-4.9247
"PA223YD",-4.928184,55.95115,471.2989,24126.67,"81B33397-9AFD-33F1-E053-A03BA40A2BEA","CAB88824-F3D1-47E0-A456-41273B07C2F4","PA22","3YD",55.94739,-4.9247
"PA223YE",-4.928184,55.95115,471.2989,24126.67,"81B33397-9AFD-33F1-E053-A03BA40A2BEA","CAB88824-F3D1-47E0-A456-41273B07C2F4","PA22","3YE",55.94739,-4.9247
