"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
1489931,"PA726JS","S01007285","9E8910D4-CD78-2C71-E053-A03BA40A7146","Public Park Or Garden",1481300.85665001,4492.0977,1,1481300,21.375,"Greater than 1800m",9050.696694,1073966.39280876,1,1073965.6,2059.49135649297,"PA72 6JS","PA72","6JS","PA726JS"
1501438,"PA726JZ","S01007285","9E8910D4-CD78-2C71-E053-A03BA40A7146","Public Park Or Garden",1481300.85665001,12441.468,1,1481300,21.375,"Greater than 1800m",9050.696694,1073966.39280876,1,1073965.6,2059.49135649297,"PA72 6JZ","PA72","6JZ","PA726JZ"
1501442,"PA726JR","S01007285","9E8910D4-CD78-2C71-E053-A03BA40A7146","Public Park Or Garden",1481300.85665001,4958.472,1,1481300,21.375,"Greater than 1800m",9050.696694,1073966.39280876,1,1073965.6,2059.49135649297,"PA72 6JR","PA72","6JR","PA726JR"
1566543,"PA726JD","S01007288","9E891046-85F2-2C71-E053-A03BA40A7146","Public Park Or Garden",84.6245000008816,4746.5127,1,84,18.4838709677419,"Greater than 1800m",14051.304537037,170891.858088889,1,170891.333333333,632.814642496094,"PA72 6JD","PA72","6JD","PA726JD"
1566545,"PA726JU","S01007285","9E891046-85F2-2C71-E053-A03BA40A7146","Public Park Or Garden",84.6245000008816,8629.395,1,84,21.375,"Greater than 1800m",9050.696694,1073966.39280876,1,1073965.6,632.814642496094,"PA72 6JU","PA72","6JU","PA726JU"
1566548,"PA726JN","S01007288","9E891046-85F2-2C71-E053-A03BA40A7146","Public Park Or Garden",84.6245000008816,3966.1074,1,84,18.4838709677419,"Greater than 1800m",14051.304537037,170891.858088889,1,170891.333333333,632.814642496094,"PA72 6JN","PA72","6JN","PA726JN"
1566549,"PA726JH","S01007285","9E891046-85F2-2C71-E053-A03BA40A7146","Public Park Or Garden",84.6245000008816,4488.9277,1,84,21.375,"Greater than 1800m",9050.696694,1073966.39280876,1,1073965.6,632.814642496094,"PA72 6JH","PA72","6JH","PA726JH"
1566551,"PA726JX","S01007285","9E891046-85F2-2C71-E053-A03BA40A7146","Public Park Or Garden",84.6245000008816,5060.052,1,84,21.375,"Greater than 1800m",9050.696694,1073966.39280876,1,1073965.6,632.814642496094,"PA72 6JX","PA72","6JX","PA726JX"
1566553,"PA726JB","S01007288","9E891046-85F2-2C71-E053-A03BA40A7146","Public Park Or Garden",84.6245000008816,4577.7954,1,84,18.4838709677419,"Greater than 1800m",14051.304537037,170891.858088889,1,170891.333333333,632.814642496094,"PA72 6JB","PA72","6JB","PA726JB"
1566554,"PA726JG","S01007285","9E891046-85F2-2C71-E053-A03BA40A7146","Public Park Or Garden",84.6245000008816,4908.077,1,84,21.375,"Greater than 1800m",9050.696694,1073966.39280876,1,1073965.6,632.814642496094,"PA72 6JG","PA72","6JG","PA726JG"
1566555,"PA726JP","S01007285","9E891046-85F2-2C71-E053-A03BA40A7146","Public Park Or Garden",84.6245000008816,5335.3057,1,84,21.375,"Greater than 1800m",9050.696694,1073966.39280876,1,1073965.6,632.814642496094,"PA72 6JP","PA72","6JP","PA726JP"
1566556,"PA726JL","S01007285","9E891046-85F2-2C71-E053-A03BA40A7146","Public Park Or Garden",84.6245000008816,4384.772,1,84,21.375,"Greater than 1800m",9050.696694,1073966.39280876,1,1073965.6,632.814642496094,"PA72 6JL","PA72","6JL","PA726JL"
1566559,"PA726LA","S01007285","9E891046-85F2-2C71-E053-A03BA40A7146","Public Park Or Garden",84.6245000008816,5016.8325,1,84,21.375,"Greater than 1800m",9050.696694,1073966.39280876,1,1073965.6,632.814642496094,"PA72 6LA","PA72","6LA","PA726LA"
1566562,"PA726JJ","S01007285","9E891046-85F2-2C71-E053-A03BA40A7146","Public Park Or Garden",84.6245000008816,4267.292,1,84,21.375,"Greater than 1800m",9050.696694,1073966.39280876,1,1073965.6,632.814642496094,"PA72 6JJ","PA72","6JJ","PA726JJ"
1566566,"PA726JF","S01007285","9E891046-85F2-2C71-E053-A03BA40A7146","Public Park Or Garden",84.6245000008816,5016.503,1,84,21.375,"Greater than 1800m",9050.696694,1073966.39280876,1,1073965.6,632.814642496094,"PA72 6JF","PA72","6JF","PA726JF"
1566567,"PA726JY","S01007285","9E891046-85F2-2C71-E053-A03BA40A7146","Public Park Or Garden",84.6245000008816,10547.531,1,84,21.375,"Greater than 1800m",9050.696694,1073966.39280876,1,1073965.6,632.814642496094,"PA72 6JY","PA72","6JY","PA726JY"
1566568,"PA726LB","S01007285","9E891046-85F2-2C71-E053-A03BA40A7146","Public Park Or Garden",84.6245000008816,5019.5225,1,84,21.375,"Greater than 1800m",9050.696694,1073966.39280876,1,1073965.6,632.814642496094,"PA72 6LB","PA72","6LB","PA726LB"
