"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
24640,"PE245LG","E01026046","9E8910B3-5F52-2C71-E053-A03BA40A7146","Playing Field",12911.536599999,140.42792,2,54665,20.6065573770492,"Less than or equal to 300m",192.042835028571,14559.656582856,2.11428571428571,56224.0857142857,1372.23861566485,"PE24 5LG","PE24","5LG","PE245LG"
39234,"PE245FQ","E01026047","9E8910B3-5F52-2C71-E053-A03BA40A7146","Playing Field",12911.536599999,792.18304,3,68307,34.6111111111111,"600-900m",365.176833805556,22606.7913222204,2.33333333333333,53786.8611111111,1372.23861566485,"PE24 5FQ","PE24","5FQ","PE245FQ"
42634,"PE245EE","E01026047","9E8910B3-5F52-2C71-E053-A03BA40A7146","Playing Field",12911.536599999,366.29633,3,68307,34.6111111111111,"300-600m",365.176833805556,22606.7913222204,2.33333333333333,53786.8611111111,1372.23861566485,"PE24 5EE","PE24","5EE","PE245EE"
43082,"PE245LA","E01026046","9E8910B3-5F52-2C71-E053-A03BA40A7146","Playing Field",12911.536599999,31.241,2,54665,20.6065573770492,"Less than or equal to 300m",192.042835028571,14559.656582856,2.11428571428571,56224.0857142857,1372.23861566485,"PE24 5LA","PE24","5LA","PE245LA"
60134,"PE245AH","E01026047","9E89103C-76B1-2C71-E053-A03BA40A7146","Playing Field",41753.6362999963,766.0842,2,54665,34.6111111111111,"600-900m",365.176833805556,22606.7913222204,2.33333333333333,53786.8611111111,1523.47197728237,"PE24 5AH","PE24","5AH","PE245AH"
73187,"PE245YZ","E01026048","9E8910B3-59CD-2C71-E053-A03BA40A7146","Playing Field",13635.5836000067,642.62744,1,13635,28.1481481481481,"600-900m",590.266378888889,13635.5836000067,1,13635,3380.3924050633,"PE24 5YZ","PE24","5YZ","PE245YZ"
101986,"PE245QD","E01026049","9E8911BD-0343-2C71-E053-A03BA40A7146","Playing Field",12834.5932500024,296.2786,1,12834,19.6329113924051,"Less than or equal to 300m",711.795363114754,13306.2020008232,1,13305.606557377,1065.08227848101,"PE24 5QD","PE24","5QD","PE245QD"
119940,"PE245NW","E01026049","9E8911BD-0343-2C71-E053-A03BA40A7146","Playing Field",12834.5932500024,386.99872,1,12834,19.6329113924051,"300-600m",711.795363114754,13306.2020008232,1,13305.606557377,1065.08227848101,"PE24 5NW","PE24","5NW","PE245NW"
122087,"PE245PS","E01026049","9E8911BD-0343-2C71-E053-A03BA40A7146","Playing Field",12834.5932500024,136.88316,1,12834,19.6329113924051,"Less than or equal to 300m",711.795363114754,13306.2020008232,1,13305.606557377,1065.08227848101,"PE24 5PS","PE24","5PS","PE245PS"
122088,"PE245XA","E01026049","9E8910B3-59CD-2C71-E053-A03BA40A7146","Playing Field",13635.5836000067,974.4993,1,13635,19.6329113924051,"900-1800m",711.795363114754,13306.2020008232,1,13305.606557377,3380.3924050633,"PE24 5XA","PE24","5XA","PE245XA"
