"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"PE380AA",0.401603,52.58258,2119.045,123776.6,"81B332FC-B5E3-33F1-E053-A03BA40A2BEA","563D5CB0-5CCB-43AA-A75D-3A29289016BB","PE38","0AA",52.58603,0.3707577
"PE380AB",0.406327,52.58178,2449.178,123776.6,"81B332FC-B5E3-33F1-E053-A03BA40A2BEA","563D5CB0-5CCB-43AA-A75D-3A29289016BB","PE38","0AB",52.58603,0.3707577
"PE380AD",0.397347,52.59899,2302.803,123776.6,"81B332FC-B5E3-33F1-E053-A03BA40A2BEA","563D5CB0-5CCB-43AA-A75D-3A29289016BB","PE38","0AD",52.58603,0.3707577
"PE380AE",0.359855,52.60255,1979.262,123776.6,"81B332FC-B5E3-33F1-E053-A03BA40A2BEA","563D5CB0-5CCB-43AA-A75D-3A29289016BB","PE38","0AE",52.58603,0.3707577
"PE380AF",0.354066,52.59957,1731.539,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","98535787-8F91-4137-9913-0EC63D4B781E","PE38","0AF",52.58505,0.3448258
"PE380AG",0.336911,52.60328,2096.203,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","98535787-8F91-4137-9913-0EC63D4B781E","PE38","0AG",52.58505,0.3448258
"PE380AH",0.321253,52.61018,3212.508,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","3721593C-EF72-49BA-9DC7-8FE25E097208","PE38","0AH",52.58458,0.3433013
"PE380AJ",0.327487,52.6121,3228.39,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","98535787-8F91-4137-9913-0EC63D4B781E","PE38","0AJ",52.58505,0.3448258
"PE380AL",0.318356,52.60621,2935.716,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","3721593C-EF72-49BA-9DC7-8FE25E097208","PE38","0AL",52.58458,0.3433013
"PE380AN",0.30442,52.59708,2971.286,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","D3C0E193-4D91-46A3-A46C-BA8B1BD2D1E1","PE38","0AN",52.58458,0.3433009
"PE380AP",0.299695,52.60752,3895.996,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","3721593C-EF72-49BA-9DC7-8FE25E097208","PE38","0AP",52.58458,0.3433013
"PE380AQ",0.326313,52.60784,2825.653,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","98535787-8F91-4137-9913-0EC63D4B781E","PE38","0AQ",52.58505,0.3448258
"PE380AR",0.312883,52.60356,2944.991,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","3721593C-EF72-49BA-9DC7-8FE25E097208","PE38","0AR",52.58458,0.3433013
"PE380AS",0.392431,52.52772,4078.778,14764.67,"81B33313-2896-33F1-E053-A03BA40A2BEA","8C6E2B82-B980-4C47-BCFA-1A815DB4BA55","PE38","0AS",52.49621,0.3615756
"PE380AT",0.392461,52.52774,4081.536,14764.67,"81B33313-2896-33F1-E053-A03BA40A2BEA","8C6E2B82-B980-4C47-BCFA-1A815DB4BA55","PE38","0AT",52.49621,0.3615756
"PE380AU",0.357227,52.60455,2250.575,123776.6,"81B332FC-B5E3-33F1-E053-A03BA40A2BEA","1D97D79E-BFF0-422B-A188-86E359E3D76A","PE38","0AU",52.5858,0.36981
"PE380AW",0.29941,52.59362,3130.465,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","D3C0E193-4D91-46A3-A46C-BA8B1BD2D1E1","PE38","0AW",52.58458,0.3433009
"PE380AX",0.363921,52.61339,3076.577,123776.6,"81B332FC-B5E3-33F1-E053-A03BA40A2BEA","563D5CB0-5CCB-43AA-A75D-3A29289016BB","PE38","0AX",52.58603,0.3707577
"PE380AY",0.343708,52.59393,990.9815,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","98535787-8F91-4137-9913-0EC63D4B781E","PE38","0AY",52.58505,0.3448258
"PE380AZ",0.339791,52.58747,399.3164,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","3721593C-EF72-49BA-9DC7-8FE25E097208","PE38","0AZ",52.58458,0.3433013
"PE380BA",0.337323,52.58932,663.8569,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","3721593C-EF72-49BA-9DC7-8FE25E097208","PE38","0BA",52.58458,0.3433013
"PE380BB",0.337996,52.59092,790.1794,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","3721593C-EF72-49BA-9DC7-8FE25E097208","PE38","0BB",52.58458,0.3433013
"PE380BD",0.338767,52.58926,603.2079,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","3721593C-EF72-49BA-9DC7-8FE25E097208","PE38","0BD",52.58458,0.3433013
"PE380BE",0.322439,52.58682,1431.129,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","D3C0E193-4D91-46A3-A46C-BA8B1BD2D1E1","PE38","0BE",52.58458,0.3433009
"PE380BF",0.291523,52.58758,3513.895,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","D3C0E193-4D91-46A3-A46C-BA8B1BD2D1E1","PE38","0BF",52.58458,0.3433009
"PE380BG",0.29493,52.58474,3268.017,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","D3C0E193-4D91-46A3-A46C-BA8B1BD2D1E1","PE38","0BG",52.58458,0.3433009
"PE380BH",0.292476,52.58637,3439.426,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","D3C0E193-4D91-46A3-A46C-BA8B1BD2D1E1","PE38","0BH",52.58458,0.3433009
"PE380BJ",0.292132,52.58827,3481.103,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","D3C0E193-4D91-46A3-A46C-BA8B1BD2D1E1","PE38","0BJ",52.58458,0.3433009
"PE380BL",0.298012,52.58407,3060.312,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","D3C0E193-4D91-46A3-A46C-BA8B1BD2D1E1","PE38","0BL",52.58458,0.3433009
"PE380BN",0.292028,52.58373,3465.366,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","D3C0E193-4D91-46A3-A46C-BA8B1BD2D1E1","PE38","0BN",52.58458,0.3433009
"PE380BP",0.306773,52.58369,2469.886,9169.831,"81B332FF-B2A8-33F1-E053-A03BA40A2BEA","D3C0E193-4D91-46A3-A46C-BA8B1BD2D1E1","PE38","0BP",52.58458,0.3433009
