"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
40825,"PH404PB","S01010506","9E8910ED-77DF-2C71-E053-A03BA40A7146","Playing Field",13498.0833000028,768.05273,1,13498,29.7333333333333,"600-900m",2673.66912819231,8011.96987884846,1,8011.53846153846,327.066666666667,"PH40 4PB","PH40","4PB","PH404PB"
102011,"PH404PH","S01010506","9E8910ED-77DF-2C71-E053-A03BA40A7146","Playing Field",13498.0833000028,46.400433,1,13498,29.7333333333333,"Less than or equal to 300m",2673.66912819231,8011.96987884846,1,8011.53846153846,327.066666666667,"PH40 4PH","PH40","4PH","PH404PH"
286966,"PH404PJ","S01010506","9E8910ED-77DF-2C71-E053-A03BA40A7146","Playing Field",13498.0833000028,199.2511,1,13498,29.7333333333333,"Less than or equal to 300m",2673.66912819231,8011.96987884846,1,8011.53846153846,327.066666666667,"PH40 4PJ","PH40","4PJ","PH404PJ"
537376,"PH404PA","S01010506","9E8910ED-77DF-2C71-E053-A03BA40A7146","Playing Field",13498.0833000028,83.630135,1,13498,29.7333333333333,"Less than or equal to 300m",2673.66912819231,8011.96987884846,1,8011.53846153846,327.066666666667,"PH40 4PA","PH40","4PA","PH404PA"
1494454,"PH404PG","S01010509","9E8910ED-7A5E-2C71-E053-A03BA40A7146","Public Park Or Garden",5725.74390000204,13039.853,1,5725,30.6363636363636,"Greater than 1800m",4553.95494036842,17562.3190447369,1.73684210526316,55857.1578947368,153.181818181818,"PH40 4PG","PH40","4PG","PH404PG"
1522700,"PH404PE","S01010506","9E8910ED-77DF-2C71-E053-A03BA40A7146","Playing Field",13498.0833000028,3743.6685,1,13498,29.7333333333333,"Greater than 1800m",2673.66912819231,8011.96987884846,1,8011.53846153846,327.066666666667,"PH40 4PE","PH40","4PE","PH404PE"
1543472,"PH404PN","S01010506","9E8910ED-77DF-2C71-E053-A03BA40A7146","Playing Field",13498.0833000028,1948.5228,1,13498,29.7333333333333,"Greater than 1800m",2673.66912819231,8011.96987884846,1,8011.53846153846,327.066666666667,"PH40 4PN","PH40","4PN","PH404PN"
1543473,"PH404PD","S01010506","9E8910ED-77DF-2C71-E053-A03BA40A7146","Playing Field",13498.0833000028,1623.6887,1,13498,29.7333333333333,"900-1800m",2673.66912819231,8011.96987884846,1,8011.53846153846,327.066666666667,"PH40 4PD","PH40","4PD","PH404PD"
1543474,"PH404PL","S01010506","9E8910ED-77DF-2C71-E053-A03BA40A7146","Playing Field",13498.0833000028,1788.2572,1,13498,29.7333333333333,"900-1800m",2673.66912819231,8011.96987884846,1,8011.53846153846,327.066666666667,"PH40 4PL","PH40","4PL","PH404PL"
1567422,"PH404PF","S01010506","9E8910ED-77DF-2C71-E053-A03BA40A7146","Playing Field",13498.0833000028,1116.1362,1,13498,29.7333333333333,"900-1800m",2673.66912819231,8011.96987884846,1,8011.53846153846,327.066666666667,"PH40 4PF","PH40","4PF","PH404PF"
