"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"PH90LA",-3.681612,56.64776,8695.994,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0LA",56.71126,-3.764708
"PH90LB",-3.679804,56.64818,8722.493,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0LB",56.71126,-3.764708
"PH90LD",-3.671895,56.65926,8096.727,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0LD",56.71126,-3.764708
"PH90LG",-3.668849,56.65421,8632.369,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0LG",56.71126,-3.764708
"PH90LH",-3.68572,56.65026,8323.371,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0LH",56.71126,-3.764708
"PH90LJ",-3.682251,56.64745,8700.914,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0LJ",56.71126,-3.764708
"PH90LL",-3.688038,56.6514,8138.348,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0LL",56.71126,-3.764708
"PH90LN",-3.719758,56.65526,6805.277,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0LN",56.71126,-3.764708
"PH90LP",-3.802494,56.65612,6551.022,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0LP",56.71126,-3.764708
"PH90LQ",-3.665434,56.64815,9273.96,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0LQ",56.71126,-3.764708
"PH90LR",-3.814675,56.64919,6012.952,7393.042,"81B3347B-F5D3-33F1-E053-A03BA40A2BEA","C08CF786-DC38-4E6C-BE0D-B5C7E680ED32","PH9","0LR",56.59538,-3.824275
"PH90LU",-3.805869,56.65196,6392.052,7393.042,"81B3347B-F5D3-33F1-E053-A03BA40A2BEA","C08CF786-DC38-4E6C-BE0D-B5C7E680ED32","PH9","0LU",56.59538,-3.824275
"PH90LW",-3.749551,56.6613,5632.129,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0LW",56.71126,-3.764708
"PH90LX",-3.773287,56.66746,4898.556,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0LX",56.71126,-3.764708
"PH90NA",-3.669518,56.66049,8103.313,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0NA",56.71126,-3.764708
"PH90NB",-3.683418,56.67365,6490.715,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0NB",56.71126,-3.764708
"PH90ND",-3.668229,56.67563,7099.168,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0ND",56.71126,-3.764708
"PH90NE",-3.6618,56.6649,8127.649,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0NE",56.71126,-3.764708
"PH90NF",-3.66352,56.65845,8524.907,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0NF",56.71126,-3.764708
"PH90NG",-3.667175,56.65588,8567.284,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0NG",56.71126,-3.764708
"PH90NH",-3.670831,56.65697,8325.614,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0NH",56.71126,-3.764708
"PH90NJ",-3.671282,56.65612,8375.653,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0NJ",56.71126,-3.764708
"PH90NL",-3.661732,56.64668,9545.699,6031.591,"81B33392-239D-33F1-E053-A03BA40A2BEA","A31D7C6E-AEA1-4FB3-A21B-F6BA731EB6BE","PH9","0NL",56.71126,-3.764708
"PH90NN",-3.648689,56.64156,9205.8,1205.013,"81B33382-0A46-33F1-E053-A03BA40A2BEA","E7463437-299B-4E56-B87C-42350223B01D","PH9","0NN",56.56615,-3.586648
