"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"PL12NX",-4.134297,50.36541,53.15465,212.5576,"81B33302-9CC4-33F1-E053-A03BA40A2BEA","80691BF4-3516-4C1E-BAD8-15D96381562B","PL1","2NX",50.36589,-4.134398
"PL12NY",-4.136344,50.36311,331.5006,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","8CF93E91-0794-4419-ADC8-A4FDA4D8CF51","PL1","2NY",50.36591,-4.137981
"PL12NZ",-4.142278,50.36375,27.84659,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","802036FE-9F4C-4A0E-A14D-0D3AC7550CEE","PL1","2NZ",50.36383,-4.142652
"PL12PA",-4.140201,50.36541,28.79315,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","62F78DA1-8E34-4345-9F07-087B273C01DF","PL1","2PA",50.36515,-4.140131
"PL12PB",-4.139127,50.36434,106.5385,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","94296E58-4DDD-4444-BBD9-97BB06D35133","PL1","2PB",50.36505,-4.140129
"PL12PD",-4.137937,50.36539,57.72376,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","8CF93E91-0794-4419-ADC8-A4FDA4D8CF51","PL1","2PD",50.36591,-4.137981
"PL12PE",-4.14663,50.36546,65.17068,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","64047B73-424E-483F-93F1-9B5224AFB009","PL1","2PE",50.36529,-4.14575
"PL12PH",-4.144158,50.36522,43.28894,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","9B45E9EA-C427-4451-98D6-5ABCD59AB78D","PL1","2PH",50.36544,-4.14366
"PL12PJ",-4.144204,50.3656,42.55293,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","9B45E9EA-C427-4451-98D6-5ABCD59AB78D","PL1","2PJ",50.36544,-4.14366
"PL12PL",-4.145414,50.36559,41.37991,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","64047B73-424E-483F-93F1-9B5224AFB009","PL1","2PL",50.36529,-4.14575
"PL12PN",-4.145563,50.36519,17.24486,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","64047B73-424E-483F-93F1-9B5224AFB009","PL1","2PN",50.36529,-4.14575
"PL12PP",-4.145928,50.36674,161.7356,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","64047B73-424E-483F-93F1-9B5224AFB009","PL1","2PP",50.36529,-4.14575
"PL12PQ",-4.146598,50.36599,98.36527,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","64047B73-424E-483F-93F1-9B5224AFB009","PL1","2PQ",50.36529,-4.14575
"PL12PR",-4.145367,50.36613,97.28991,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","64047B73-424E-483F-93F1-9B5224AFB009","PL1","2PR",50.36529,-4.14575
"PL12PS",-4.146001,50.36617,99.68402,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","64047B73-424E-483F-93F1-9B5224AFB009","PL1","2PS",50.36529,-4.14575
"PL12PT",-4.146202,50.36563,49.48106,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","64047B73-424E-483F-93F1-9B5224AFB009","PL1","2PT",50.36529,-4.14575
"PL12PU",-4.143875,50.36611,40.55708,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","7F8647BB-F7F5-435B-A572-EF583584F78C","PL1","2PU",50.36639,-4.143502
"PL12PW",-4.145402,50.36567,49.05065,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","64047B73-424E-483F-93F1-9B5224AFB009","PL1","2PW",50.36529,-4.14575
"PL12PX",-4.143845,50.36637,24.41696,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","7F8647BB-F7F5-435B-A572-EF583584F78C","PL1","2PX",50.36639,-4.143502
"PL12PY",-4.145177,50.3666,121.1412,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","FACAE989-7829-4B9E-AF0E-8612576C52A5","PL1","2PY",50.36639,-4.143502
"PL12PZ",-4.144433,50.36664,70.94474,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","0AE43511-FB7A-4D5E-B2A4-13D44832D623","PL1","2PZ",50.36656,-4.14344
"PL12QA",-4.145349,50.367,143.5921,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","0AE43511-FB7A-4D5E-B2A4-13D44832D623","PL1","2QA",50.36656,-4.14344
"PL12QB",-4.144507,50.36609,78.59912,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","7F8647BB-F7F5-435B-A572-EF583584F78C","PL1","2QB",50.36639,-4.143502
"PL12QD",-4.143395,50.36762,107.9478,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2QD",50.36666,-4.143284
"PL12QE",-4.143338,50.36792,140.7385,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2QE",50.36666,-4.143284
"PL12QG",-4.143907,50.36712,67.84792,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2QG",50.36666,-4.143284
"PL12QH",-4.143962,50.36805,161.7792,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2QH",50.36666,-4.143284
"PL12QJ",-4.143929,50.36792,147.8242,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2QJ",50.36666,-4.143284
"PL12QL",-4.144936,50.36562,68.19526,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","64047B73-424E-483F-93F1-9B5224AFB009","PL1","2QL",50.36529,-4.14575
"PL12QP",-4.14432,50.36881,250.7609,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2QP",50.36666,-4.143284
"PL12QQ",-4.144231,50.36772,136.1539,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2QQ",50.36666,-4.143284
"PL12QR",-4.142915,50.36884,239.4899,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","1664B647-DBD7-4B0E-9FD9-ED742D4E62F1","PL1","2QR",50.36669,-4.14278
"PL12QS",-4.140024,50.36709,27.49943,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","F3612486-AE0D-40DE-BF6A-3F884CCBB716","PL1","2QS",50.36686,-4.1399
"PL12QW",-4.143735,50.36863,221.2886,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2QW",50.36666,-4.143284
"PL12QY",-4.144195,50.36853,217.7588,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2QY",50.36666,-4.143284
"PL12QZ",-4.144073,50.36864,227.1848,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2QZ",50.36666,-4.143284
"PL12RA",-4.141155,50.36878,228.3002,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","49C241FA-1B39-4D37-A089-B0B09D78D8F0","PL1","2RA",50.36675,-4.141638
"PL12RB",-4.14318,50.36817,167.1092,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","1664B647-DBD7-4B0E-9FD9-ED742D4E62F1","PL1","2RB",50.36669,-4.14278
"PL12RD",-4.143181,50.36818,168.1075,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","1664B647-DBD7-4B0E-9FD9-ED742D4E62F1","PL1","2RD",50.36669,-4.14278
"PL12RE",-4.143181,50.36818,168.1075,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","1664B647-DBD7-4B0E-9FD9-ED742D4E62F1","PL1","2RE",50.36669,-4.14278
"PL12RG",-4.144423,50.36859,230.1551,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2RG",50.36666,-4.143284
"PL12RH",-4.145512,50.36779,200.556,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","0AE43511-FB7A-4D5E-B2A4-13D44832D623","PL1","2RH",50.36656,-4.14344
"PL12RJ",-4.145481,50.36805,219.2099,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","0AE43511-FB7A-4D5E-B2A4-13D44832D623","PL1","2RJ",50.36656,-4.14344
"PL12RL",-4.145519,50.36607,88.60816,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","64047B73-424E-483F-93F1-9B5224AFB009","PL1","2RL",50.36529,-4.14575
"PL12RN",-4.144519,50.36698,89.55109,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","0AE43511-FB7A-4D5E-B2A4-13D44832D623","PL1","2RN",50.36656,-4.14344
"PL12RP",-4.144699,50.36755,140.9468,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2RP",50.36666,-4.143284
"PL12RQ",-4.145487,50.36724,163.6535,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","0AE43511-FB7A-4D5E-B2A4-13D44832D623","PL1","2RQ",50.36656,-4.14344
"PL12RS",-4.145685,50.36789,216.8117,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","0AE43511-FB7A-4D5E-B2A4-13D44832D623","PL1","2RS",50.36656,-4.14344
"PL12RT",-4.14318,50.36817,167.1092,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","1664B647-DBD7-4B0E-9FD9-ED742D4E62F1","PL1","2RT",50.36669,-4.14278
"PL12RU",-4.14428,50.36791,156.6207,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2RU",50.36666,-4.143284
"PL12RW",-4.144239,50.3679,154.0315,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2RW",50.36666,-4.143284
"PL12SA",-4.146278,50.37076,502.738,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2SA",50.36666,-4.143284
"PL12SD",-4.146361,50.37071,500.644,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2SD",50.36666,-4.143284
"PL12SE",-4.145725,50.36879,293.3819,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2SE",50.36666,-4.143284
"PL12SF",-4.145725,50.36879,293.3819,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2SF",50.36666,-4.143284
"PL12SG",-4.146536,50.37053,489.0337,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2SG",50.36666,-4.143284
"PL12SH",-4.146585,50.37038,475.7029,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2SH",50.36666,-4.143284
"PL12SJ",-4.145725,50.36879,293.3819,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2SJ",50.36666,-4.143284
"PL12SL",-4.145725,50.36879,293.3819,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2SL",50.36666,-4.143284
"PL12SN",-4.1463,50.37062,489.8517,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2SN",50.36666,-4.143284
"PL12SP",-4.14709,50.36786,296.3541,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","0AE43511-FB7A-4D5E-B2A4-13D44832D623","PL1","2SP",50.36656,-4.14344
"PL12SQ",-4.145766,50.36969,380.0495,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2SQ",50.36666,-4.143284
"PL12SR",-4.147588,50.37014,493.3117,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2SR",50.36666,-4.143284
"PL12SS",-4.147131,50.36876,358.0199,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","0AE43511-FB7A-4D5E-B2A4-13D44832D623","PL1","2SS",50.36656,-4.14344
"PL12ST",-4.141265,50.36811,153.8398,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","49C241FA-1B39-4D37-A089-B0B09D78D8F0","PL1","2ST",50.36675,-4.141638
"PL12SU",-4.147453,50.36966,446.2713,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2SU",50.36666,-4.143284
"PL12SW",-4.146138,50.36948,373.985,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2SW",50.36666,-4.143284
"PL12SX",-4.147131,50.36876,358.0199,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","0AE43511-FB7A-4D5E-B2A4-13D44832D623","PL1","2SX",50.36656,-4.14344
"PL12SY",-4.147131,50.36876,358.0199,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","0AE43511-FB7A-4D5E-B2A4-13D44832D623","PL1","2SY",50.36656,-4.14344
"PL12SZ",-4.147131,50.36876,358.0199,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","0AE43511-FB7A-4D5E-B2A4-13D44832D623","PL1","2SZ",50.36656,-4.14344
"PL12TA",-4.147131,50.36876,358.0199,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","0AE43511-FB7A-4D5E-B2A4-13D44832D623","PL1","2TA",50.36656,-4.14344
"PL12TB",-4.147131,50.36876,358.0199,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","0AE43511-FB7A-4D5E-B2A4-13D44832D623","PL1","2TB",50.36656,-4.14344
"PL12TD",-4.145725,50.36879,293.3819,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2TD",50.36666,-4.143284
"PL12TE",-4.146579,50.37026,463.3429,114489.1,"81B3337C-FA5D-33F1-E053-A03BA40A2BEA","E43B0A8D-90EC-4772-865E-6E2361694C20","PL1","2TE",50.36666,-4.143284
