"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
4024,"PL329UF","E01033291","9E8910B4-6AC3-2C71-E053-A03BA40A7146","Public Park Or Garden",4993.69404999962,166.60432,5,75473,24.8985507246377,"Less than or equal to 300m",263.394477675,13665.2469837493,4.425,67762.75,373.478260869565,"PL32 9UF","PL32","9UF","PL329UF"
50256,"PL329UE","E01033291","9E891043-D118-2C71-E053-A03BA40A7146","Playing Field",6702.89810000014,120,3,33761,24.8985507246377,"Less than or equal to 300m",263.394477675,13665.2469837493,4.425,67762.75,1049.89855072464,"PL32 9UE","PL32","9UE","PL329UE"
60188,"PL329SD","E01033292","9E8911BB-7998-2C71-E053-A03BA40A7146","Playing Field",22064.7540000012,379.05145,5,75473,51.25,"300-600m",510.5205,12463.5940625006,3.125,40357.8125,764.391304347826,"PL32 9SD","PL32","9SD","PL329SD"
77425,"PL329RB","E01033292","9E891043-D118-2C71-E053-A03BA40A7146","Playing Field",6702.89810000014,576.753,3,33761,51.25,"300-600m",510.5205,12463.5940625006,3.125,40357.8125,1049.89855072464,"PL32 9RB","PL32","9RB","PL329RB"
102042,"PL329UH","E01033291","9E8911BB-7998-2C71-E053-A03BA40A7146","Playing Field",22064.7540000012,65.36819,5,75473,24.8985507246377,"Less than or equal to 300m",263.394477675,13665.2469837493,4.425,67762.75,764.391304347826,"PL32 9UH","PL32","9UH","PL329UH"
106866,"PL329NB","E01033291","9E891038-E5C7-2C71-E053-A03BA40A7146","Playing Field",17289.7107499983,204.1666,5,75473,24.8985507246377,"Less than or equal to 300m",263.394477675,13665.2469837493,4.425,67762.75,373.478260869565,"PL32 9NB","PL32","9NB","PL329NB"
128662,"PL329QU","E01033292","9E891043-D118-2C71-E053-A03BA40A7146","Playing Field",6702.89810000014,272.94687,3,33761,51.25,"Less than or equal to 300m",510.5205,12463.5940625006,3.125,40357.8125,1049.89855072464,"PL32 9QU","PL32","9QU","PL329QU"
157079,"PL329XL","E01033291","9E891038-E5C7-2C71-E053-A03BA40A7146","Playing Field",17289.7107499983,78.025635,5,75473,24.8985507246377,"Less than or equal to 300m",263.394477675,13665.2469837493,4.425,67762.75,373.478260869565,"PL32 9XL","PL32","9XL","PL329XL"
168318,"PL329QZ","E01033292","9E891043-D118-2C71-E053-A03BA40A7146","Playing Field",6702.89810000014,407.17688,3,33761,51.25,"300-600m",510.5205,12463.5940625006,3.125,40357.8125,1049.89855072464,"PL32 9QZ","PL32","9QZ","PL329QZ"
178915,"PL329UW","E01033292","9E8911BB-7998-2C71-E053-A03BA40A7146","Playing Field",22064.7540000012,166.71533,4,51051,51.25,"Less than or equal to 300m",510.5205,12463.5940625006,3.125,40357.8125,764.391304347826,"PL32 9UW","PL32","9UW","PL329UW"
199249,"PL329XB","E01033291","9E891038-E5C7-2C71-E053-A03BA40A7146","Playing Field",17289.7107499983,99.14131,4,68770,24.8985507246377,"Less than or equal to 300m",263.394477675,13665.2469837493,4.425,67762.75,373.478260869565,"PL32 9XB","PL32","9XB","PL329XB"
214393,"PL329QD","E01033292","9E891043-D118-2C71-E053-A03BA40A7146","Playing Field",6702.89810000014,927.7036,2,28767,51.25,"900-1800m",510.5205,12463.5940625006,3.125,40357.8125,1049.89855072464,"PL32 9QD","PL32","9QD","PL329QD"
226373,"PL329TE","E01033292","9E891043-D118-2C71-E053-A03BA40A7146","Playing Field",6702.89810000014,721.30786,2,28767,51.25,"600-900m",510.5205,12463.5940625006,3.125,40357.8125,1049.89855072464,"PL32 9TE","PL32","9TE","PL329TE"
