"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"PO317AA",-1.300354,50.7612,116.6607,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","0BA28F38-6E93-475C-A19C-6251F0E065E3","PO31","7AA",50.76193,-1.301538
"PO317AB",-1.309195,50.75101,1250.704,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","6BD00E05-E2B4-4DFB-A7DA-11E722FA5846","PO31","7AB",50.7615,-1.30278
"PO317AD",-1.311071,50.75095,1309.513,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","6BD00E05-E2B4-4DFB-A7DA-11E722FA5846","PO31","7AD",50.7615,-1.30278
"PO317AE",-1.312046,50.74925,1509.786,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","6BD00E05-E2B4-4DFB-A7DA-11E722FA5846","PO31","7AE",50.7615,-1.30278
"PO317AF",-1.313354,50.74867,1609.026,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","6BD00E05-E2B4-4DFB-A7DA-11E722FA5846","PO31","7AF",50.7615,-1.30278
"PO317AG",-1.295135,50.75087,1298.4,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","6BD00E05-E2B4-4DFB-A7DA-11E722FA5846","PO31","7AG",50.7615,-1.30278
"PO317AH",-1.302073,50.75841,347.079,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","6BD00E05-E2B4-4DFB-A7DA-11E722FA5846","PO31","7AH",50.7615,-1.30278
"PO317AJ",-1.298044,50.76397,231.2222,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","53287D24-DC5E-4129-98B6-7BAD88919A51","PO31","7AJ",50.76311,-1.301036
"PO317AL",-1.297932,50.76389,234.9,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","53287D24-DC5E-4129-98B6-7BAD88919A51","PO31","7AL",50.76311,-1.301036
"PO317AN",-1.297612,50.76346,244.0401,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","53287D24-DC5E-4129-98B6-7BAD88919A51","PO31","7AN",50.76311,-1.301036
"PO317AP",-1.300271,50.76583,112.374,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","3E341AAE-4131-4C87-9E4C-136C31EED5EB","PO31","7AP",50.76556,-1.301812
"PO317AQ",-1.294717,50.707,268.8892,4176.541,"81B33386-8A6A-33F1-E053-A03BA40A2BEA","0A77D580-C25F-4124-821C-4CD657E76278","PO31","7AQ",50.70883,-1.292228
"PO317AR",-1.297282,50.7628,266.3292,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","53287D24-DC5E-4129-98B6-7BAD88919A51","PO31","7AR",50.76311,-1.301036
"PO317AS",-1.297372,50.76243,260.4804,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7AS",50.76229,-1.301069
"PO317AT",-1.297861,50.76226,225.6947,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7AT",50.76229,-1.301069
"PO317AU",-1.297658,50.76229,239.9391,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7AU",50.76229,-1.301069
"PO317AW",-1.29752,50.76297,247.8044,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","53287D24-DC5E-4129-98B6-7BAD88919A51","PO31","7AW",50.76311,-1.301036
"PO317AX",-1.297807,50.76182,235.4552,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7AX",50.76229,-1.301069
"PO317AY",-1.297561,50.76146,263.7633,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7AY",50.76229,-1.301069
"PO317AZ",-1.299917,50.76101,153.0145,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","0BA28F38-6E93-475C-A19C-6251F0E065E3","PO31","7AZ",50.76193,-1.301538
"PO317BA",-1.298137,50.76058,280.8141,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7BA",50.76229,-1.301069
"PO317BB",-1.312293,50.75076,1368.481,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","6BD00E05-E2B4-4DFB-A7DA-11E722FA5846","PO31","7BB",50.7615,-1.30278
"PO317BD",-1.296285,50.76118,358.5803,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7BD",50.76229,-1.301069
"PO317BE",-1.297414,50.76087,301.9413,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7BE",50.76229,-1.301069
"PO317BF",-1.297467,50.76079,303.4589,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7BF",50.76229,-1.301069
"PO317BG",-1.297596,50.76074,299.3547,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7BG",50.76229,-1.301069
"PO317BH",-1.296895,50.76021,373.8221,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7BH",50.76229,-1.301069
"PO317BJ",-1.29706,50.76056,341.9213,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7BJ",50.76229,-1.301069
"PO317BL",-1.296891,50.76049,355.7506,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7BL",50.76229,-1.301069
"PO317BN",-1.298137,50.76058,280.8141,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7BN",50.76229,-1.301069
"PO317BP",-1.292637,50.75863,719.4917,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7BP",50.76229,-1.301069
"PO317BQ",-1.297604,50.76113,276.2256,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7BQ",50.76229,-1.301069
"PO317BS",-1.295521,50.75853,567.5508,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","0BA28F38-6E93-475C-A19C-6251F0E065E3","PO31","7BS",50.76193,-1.301538
"PO317BT",-1.295859,50.75935,491.2384,67755.83,"81B33359-9037-33F1-E053-A03BA40A2BEA","E8058D87-F7CE-4256-918F-C73AA110E230","PO31","7BT",50.76229,-1.301069
