"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
4116,"PO75LD","E01022948","9E8910E2-15DB-2C71-E053-A03BA40A7146","Public Park Or Garden",24328.3567500019,121.93851,4,98618,34.7291666666667,"Less than or equal to 300m",135.110948625,19700.0888750025,4.54166666666667,112815.625,2206.14534688995,"PO7 5LD","PO7","5LD","PO75LD"
4117,"PO76LB","E01023231","9E8910E1-DF40-2C71-E053-A03BA40A7146","Playing Field",56355.0396000012,333.65402,2,68778,28,"300-600m",694.484138478261,53489.9621478271,1.41304347826087,58621.1086956522,4870.04003909165,"PO7 6LB","PO7","6LB","PO76LB"
9556,"PO75ER","E01022948","9E8910E2-186C-2C71-E053-A03BA40A7146","Public Park Or Garden",14535.6698000027,257.1303,5,124829,34.7291666666667,"Less than or equal to 300m",135.110948625,19700.0888750025,4.54166666666667,112815.625,1688.89785714286,"PO7 5ER","PO7","5ER","PO75ER"
9557,"PO76QE","E01023232","9E8910E1-DF40-2C71-E053-A03BA40A7146","Playing Field",56355.0396000012,634.5274,2,68778,28.0978260869565,"600-900m",725.133745666667,30112.6285611105,1.64444444444444,51785.7777777778,4870.04003909165,"PO7 6QE","PO7","6QE","PO76QE"
9558,"PO77RF","E01022976","9E8910E1-FC93-2C71-E053-A03BA40A7146","Playing Field",78866.0100499978,114.75626,1,78866,45.5,"Less than or equal to 300m",159.59475690625,78866.0100499978,1.03125,80461.65625,11824.5490984405,"PO7 7RF","PO7","7RF","PO77RF"
18276,"PO75TB","E01022962","9E8910E2-15DB-2C71-E053-A03BA40A7146","Public Park Or Garden",24328.3567500019,133.37541,4,98618,34.94,"Less than or equal to 300m",229.54583224,21636.7780310018,3.94,94666.96,2206.14534688995,"PO7 5TB","PO7","5TB","PO75TB"
18277,"PO77AE","E01022973","9E8910E2-15DB-2C71-E053-A03BA40A7146","Public Park Or Garden",24328.3567500019,871.1418,3,114745,28.921052631579,"600-900m",656.785270131579,62709.8080835513,1.44736842105263,75377.1578947368,2206.14534688995,"PO7 7AE","PO7","7AE","PO77AE"
21738,"PO76TJ","E01023231","9E8910E1-DF40-2C71-E053-A03BA40A7146","Playing Field",56355.0396000012,394.41095,1,56355,28,"300-600m",694.484138478261,53489.9621478271,1.41304347826087,58621.1086956522,4870.04003909165,"PO7 6TJ","PO7","6TJ","PO76TJ"
21739,"PO77XG","E01022976","9E8910E1-FC93-2C71-E053-A03BA40A7146","Playing Field",78866.0100499978,178.16003,1,78866,45.5,"Less than or equal to 300m",159.59475690625,78866.0100499978,1.03125,80461.65625,11824.5490984405,"PO7 7XG","PO7","7XG","PO77XG"
24721,"PO75DX","E01022947","9E8910E2-2D14-2C71-E053-A03BA40A7146","Playing Field",26211.5532999995,623.3434,3,88950,59.1071428571428,"600-900m",719.126557142857,39867.8365660736,2.57142857142857,76335.3571428571,4875.72619047619,"PO7 5DX","PO7","5DX","PO75DX"
