"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
24753,"RG205QX","E01022521","9E8910D8-425F-2C71-E053-A03BA40A7146","Playing Field",15156.8464500022,309.61267,2,45619,15.122641509434,"300-600m",295.014366103774,23820.6911858507,2,45619,1819.02047830195,"RG20 5QX","RG20","5QX","RG205QX"
31656,"RG205PD","E01022521","9E8910D8-425F-2C71-E053-A03BA40A7146","Playing Field",15156.8464500022,115.62439,2,45619,15.122641509434,"Less than or equal to 300m",295.014366103774,23820.6911858507,2,45619,1819.02047830195,"RG20 5PD","RG20","5PD","RG205PD"
33360,"RG205NW","E01022520","9E8910D8-425F-2C71-E053-A03BA40A7146","Playing Field",15156.8464500022,77.491936,2,45619,15.2336448598131,"Less than or equal to 300m",701.157178747664,18572.1576028043,1.60747663551402,35074.2429906542,1819.02047830195,"RG20 5NW","RG20","5NW","RG205NW"
36213,"RG206PA","E01016286","9E8910A1-9C1C-2C71-E053-A03BA40A7146","Playing Field",13967.7608000003,53,2,42845,15.2035398230088,"Less than or equal to 300m",305.823931920354,21620.9215203559,1.84070796460177,40092.3451327434,836.194690265487,"RG20 6PA","RG20","6PA","RG206PA"
36214,"RG209UX","E01022499","9E8910E2-383C-2C71-E053-A03BA40A7146","Playing Field",7189.3192000008,170.01176,2,28733,23.2361111111111,"Less than or equal to 300m",712.859914583334,7588.05743750076,1.36111111111111,14968.7777777778,1919.39619883041,"RG20 9UX","RG20","9UX","RG209UX"
38386,"RG209BG","E01022489","9E8910E2-1358-2C71-E053-A03BA40A7146","Playing Field",37700.574450001,974.3973,1,37700,9.07909604519774,"900-1800m",730.210311623656,21040.8996037621,1,21040.6344086022,217.898305084746,"RG20 9BG","RG20","9BG","RG209BG"
40104,"RG209AH","E01022489","9E891093-862B-2C71-E053-A03BA40A7146","Playing Field",15918.0968999977,572.45087,1,15918,9.07909604519774,"300-600m",730.210311623656,21040.8996037621,1,21040.6344086022,581.062146892655,"RG20 9AH","RG20","9AH","RG209AH"
45700,"RG208TJ","E01016277","9E8910E1-B599-2C71-E053-A03BA40A7146","Playing Field",33306.7812999959,449.64096,1,33306,13.5175438596491,"300-600m",501.657263514706,32999.6224220548,1,32998.8382352941,987.520060689513,"RG20 8TJ","RG20","8TJ","RG208TJ"
45910,"RG208TA","E01016277","9E8910E1-B599-2C71-E053-A03BA40A7146","Playing Field",33306.7812999959,24.207438,1,33306,13.5175438596491,"Less than or equal to 300m",501.657263514706,32999.6224220548,1,32998.8382352941,987.520060689513,"RG20 8TA","RG20","8TA","RG208TA"
67762,"RG209QU","E01022513","9E89103E-3FA8-2C71-E053-A03BA40A7146","Public Park Or Garden",21543.8957499996,236.29219,2,36738,12.3984375,"Less than or equal to 300m",475.680409425,21226.4438724997,1.6125,28831.425,1017.09557748538,"RG20 9QU","RG20","9QU","RG209QU"
77487,"RG209HH","E01022489","9E891093-862B-2C71-E053-A03BA40A7146","Playing Field",15918.0968999977,599.1636,1,15918,9.07909604519774,"300-600m",730.210311623656,21040.8996037621,1,21040.6344086022,581.062146892655,"RG20 9HH","RG20","9HH","RG209HH"
83277,"RG209TG","E01022499","9E8910E2-383C-2C71-E053-A03BA40A7146","Playing Field",7189.3192000008,923.8187,1,7189,23.2361111111111,"900-1800m",712.859914583334,7588.05743750076,1.36111111111111,14968.7777777778,1919.39619883041,"RG20 9TG","RG20","9TG","RG209TG"
84328,"RG209RX","E01022513","9E89103E-3FA8-2C71-E053-A03BA40A7146","Public Park Or Garden",21543.8957499996,477.6463,2,36738,12.3984375,"300-600m",475.680409425,21226.4438724997,1.6125,28831.425,1017.09557748538,"RG20 9RX","RG20","9RX","RG209RX"
86098,"RG205TL","E01022520","9E8910D8-425F-2C71-E053-A03BA40A7146","Playing Field",15156.8464500022,600.5206,2,45619,15.2336448598131,"600-900m",701.157178747664,18572.1576028043,1.60747663551402,35074.2429906542,1819.02047830195,"RG20 5TL","RG20","5TL","RG205TL"
88147,"RG207LY","E01016288","9E8910E0-DF9B-2C71-E053-A03BA40A7146","Playing Field",10272.7812999992,580.07587,2,22988,10.85625,"300-600m",518.051483123596,11475.818578651,1.51685393258427,18019.8202247191,531.95625,"RG20 7LY","RG20","7LY","RG207LY"
88703,"RG206PU","E01016286","9E8910A1-9D91-2C71-E053-A03BA40A7146","Playing Field",28878.2291000035,464.20792,2,42845,15.2035398230088,"300-600m",305.823931920354,21620.9215203559,1.84070796460177,40092.3451327434,881.805309734514,"RG20 6PU","RG20","6PU","RG206PU"
88704,"RG207PE","E01016286","9E8910A1-9C1C-2C71-E053-A03BA40A7146","Playing Field",13967.7608000003,48.76474,2,42845,15.2035398230088,"Less than or equal to 300m",305.823931920354,21620.9215203559,1.84070796460177,40092.3451327434,836.194690265487,"RG20 7PE","RG20","7PE","RG207PE"
102186,"RG209EX","E01022513","9E89103E-3FA8-2C71-E053-A03BA40A7146","Public Park Or Garden",21543.8957499996,839.59814,1,21543,12.3984375,"600-900m",475.680409425,21226.4438724997,1.6125,28831.425,1017.09557748538,"RG20 9EX","RG20","9EX","RG209EX"
110948,"RG209NY","E01022513","9E89103E-3FA8-2C71-E053-A03BA40A7146","Public Park Or Garden",21543.8957499996,23.323807,2,28733,12.3984375,"Less than or equal to 300m",475.680409425,21226.4438724997,1.6125,28831.425,1017.09557748538,"RG20 9NY","RG20","9NY","RG209NY"
114423,"RG205QY","E01022521","9E891083-AB52-2C71-E053-A03BA40A7146","Playing Field",30462.9721500013,316.80908,2,45619,15.122641509434,"300-600m",295.014366103774,23820.6911858507,2,45619,1370.25283976453,"RG20 5QY","RG20","5QY","RG205QY"
122193,"RG205QB","E01022522","9E891083-AB52-2C71-E053-A03BA40A7146","Playing Field",30462.9721500013,608.0403,2,45619,11.0993377483444,"600-900m",796.532756666667,16722.5472532264,1.21505376344086,21298.0752688172,1370.25283976453,"RG20 5QB","RG20","5QB","RG205QB"
127395,"RG205TD","E01022521","9E891083-AB52-2C71-E053-A03BA40A7146","Playing Field",30462.9721500013,445.28644,2,45619,15.122641509434,"300-600m",295.014366103774,23820.6911858507,2,45619,1370.25283976453,"RG20 5TD","RG20","5TD","RG205TD"
131960,"RG207LE","E01016288","9E8910E0-DF9B-2C71-E053-A03BA40A7146","Playing Field",10272.7812999992,253.78928,2,22988,10.85625,"Less than or equal to 300m",518.051483123596,11475.818578651,1.51685393258427,18019.8202247191,531.95625,"RG20 7LE","RG20","7LE","RG207LE"
136908,"RG205LY","E01022521","9E8910D8-425F-2C71-E053-A03BA40A7146","Playing Field",15156.8464500022,575.56323,2,45619,15.122641509434,"300-600m",295.014366103774,23820.6911858507,2,45619,1819.02047830195,"RG20 5LY","RG20","5LY","RG205LY"
137555,"RG209HE","E01022489","9E891093-862B-2C71-E053-A03BA40A7146","Playing Field",15918.0968999977,69.2026,1,15918,9.07909604519774,"Less than or equal to 300m",730.210311623656,21040.8996037621,1,21040.6344086022,581.062146892655,"RG20 9HE","RG20","9HE","RG209HE"
143156,"RG209UZ","E01022499","9E8910E2-383C-2C71-E053-A03BA40A7146","Playing Field",7189.3192000008,367.78934,2,28733,23.2361111111111,"300-600m",712.859914583334,7588.05743750076,1.36111111111111,14968.7777777778,1919.39619883041,"RG20 9UZ","RG20","9UZ","RG209UZ"
153220,"RG205SF","E01022522","9E891083-AB52-2C71-E053-A03BA40A7146","Playing Field",30462.9721500013,718.22144,2,45619,11.0993377483444,"600-900m",796.532756666667,16722.5472532264,1.21505376344086,21298.0752688172,1370.25283976453,"RG20 5SF","RG20","5SF","RG205SF"
157188,"RG209PG","E01022513","9E89103E-3FA8-2C71-E053-A03BA40A7146","Public Park Or Garden",21543.8957499996,112.05802,2,28733,12.3984375,"Less than or equal to 300m",475.680409425,21226.4438724997,1.6125,28831.425,1017.09557748538,"RG20 9PG","RG20","9PG","RG209PG"
