"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"RH76AA",-0.017114,51.17432,581.5079,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AA",51.17951,-0.01613172
"RH76AB",-0.015383,51.17468,539.5178,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AB",51.17951,-0.01613172
"RH76AD",-0.016728,51.17364,654.5073,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AD",51.17951,-0.01613172
"RH76AE",-0.014429,51.17452,567.1166,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AE",51.17951,-0.01613172
"RH76AF",-0.013409,51.17364,679.4561,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AF",51.17951,-0.01613172
"RH76AG",-0.011734,51.17399,685.9217,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AG",51.17951,-0.01613172
"RH76AH",-0.014234,51.1754,475.6916,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AH",51.17951,-0.01613172
"RH76AJ",-0.01803,51.17467,554.1315,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AJ",51.17951,-0.01613172
"RH76AL",-0.018595,51.1748,551.0797,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AL",51.17951,-0.01613172
"RH76AN",-0.08103,51.15167,2773.025,4132.835,"81B33479-920D-33F1-E053-A03BA40A2BEA","59D907BD-6651-4D3A-A76E-E85559C91130","RH7","6AN",51.13953,-0.04631016
"RH76AP",-0.020461,51.174,683.4038,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AP",51.17951,-0.01613172
"RH76AQ",-0.017397,51.17471,541.2206,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AQ",51.17951,-0.01613172
"RH76AR",-0.019761,51.17398,665.4602,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AR",51.17951,-0.01613172
"RH76AS",-0.016266,51.17508,493.1542,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AS",51.17951,-0.01613172
"RH76AT",-0.053787,51.20033,3224.229,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","274CC3EC-315A-46E4-B73D-22E61FC5A9A6","RH7","6AT",51.18218,-0.01770365
"RH76AU",-0.019531,51.17468,587.1506,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AU",51.17951,-0.01613172
"RH76AW",0.004955,51.16231,2412.057,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AW",51.17951,-0.01613172
"RH76AX",-0.018112,51.17739,273.104,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AX",51.17951,-0.01613172
"RH76AY",-0.016713,51.17398,616.6014,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6AY",51.17951,-0.01613172
"RH76AZ",-0.023795,51.18438,490.1516,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","274CC3EC-315A-46E4-B73D-22E61FC5A9A6","RH7","6AZ",51.18218,-0.01770365
"RH76BA",-0.02027,51.17477,601.2602,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6BA",51.17951,-0.01613172
"RH76BB",-0.020103,51.17504,569.0569,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6BB",51.17951,-0.01613172
"RH76BD",-0.020802,51.1747,625.8804,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6BD",51.17951,-0.01613172
"RH76BE",-0.021341,51.17516,604.6839,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6BE",51.17951,-0.01613172
"RH76BF",-0.0214,51.17548,579.8287,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6BF",51.17951,-0.01613172
"RH76BG",-0.022747,51.17474,703.1954,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6BG",51.17951,-0.01613172
"RH76BH",-0.023354,51.17526,690.6039,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6BH",51.17951,-0.01613172
"RH76BJ",-0.030974,51.17304,1260.224,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6BJ",51.17951,-0.01613172
"RH76BL",-0.041267,51.16848,2138.699,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6BL",51.17951,-0.01613172
"RH76BN",-0.021121,51.17494,615.6252,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6BN",51.17951,-0.01613172
"RH76BP",-0.019121,51.17654,390.8934,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6BP",51.17951,-0.01613172
"RH76BQ",-0.024848,51.18281,502.8868,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","274CC3EC-315A-46E4-B73D-22E61FC5A9A6","RH7","6BQ",51.18218,-0.01770365
"RH76BS",-0.022366,51.17595,587.6406,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6BS",51.17951,-0.01613172
"RH76BT",-0.024386,51.17823,592.8381,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6BT",51.17951,-0.01613172
"RH76BU",-0.024947,51.18351,525.9182,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","274CC3EC-315A-46E4-B73D-22E61FC5A9A6","RH7","6BU",51.18218,-0.01770365
"RH76BW",-0.020818,51.17568,537.2012,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6BW",51.17951,-0.01613172
"RH76BX",-0.025168,51.18303,528.845,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","274CC3EC-315A-46E4-B73D-22E61FC5A9A6","RH7","6BX",51.18218,-0.01770365
"RH76BY",-0.024364,51.18476,545.9338,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","274CC3EC-315A-46E4-B73D-22E61FC5A9A6","RH7","6BY",51.18218,-0.01770365
"RH76BZ",-0.018893,51.18454,274.7438,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","274CC3EC-315A-46E4-B73D-22E61FC5A9A6","RH7","6BZ",51.18218,-0.01770365
"RH76DA",-0.012126,51.18317,335.3171,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","CC1B590A-B948-4235-BEEC-F38ADA581EC2","RH7","6DA",51.18055,-0.01450122
"RH76DB",-0.013124,51.18326,316.4054,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","CC1B590A-B948-4235-BEEC-F38ADA581EC2","RH7","6DB",51.18055,-0.01450122
"RH76DD",-0.008082,51.18703,848.5675,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","CC1B590A-B948-4235-BEEC-F38ADA581EC2","RH7","6DD",51.18055,-0.01450122
"RH76DE",0.005393,51.18921,1688.441,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","CC1B590A-B948-4235-BEEC-F38ADA581EC2","RH7","6DE",51.18055,-0.01450122
"RH76DF",-0.0101,51.19139,1153.062,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","274CC3EC-315A-46E4-B73D-22E61FC5A9A6","RH7","6DF",51.18218,-0.01770365
"RH76DG",-0.018234,51.1929,1192.324,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","274CC3EC-315A-46E4-B73D-22E61FC5A9A6","RH7","6DG",51.18218,-0.01770365
"RH76DH",-0.019716,51.17669,400.9613,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6DH",51.17951,-0.01613172
"RH76DJ",-0.008189,51.17791,529.1013,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","CC1B590A-B948-4235-BEEC-F38ADA581EC2","RH7","6DJ",51.18055,-0.01450122
"RH76DL",-0.014081,51.17864,172.8712,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6DL",51.17951,-0.01613172
"RH76DN",-0.013511,51.17825,230.3069,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","833E609C-89F7-4540-8D14-39F2C5095C8D","RH7","6DN",51.17951,-0.01613172
"RH76DP",-0.013508,51.18098,84.41543,58182.35,"81B332FC-B3A0-33F1-E053-A03BA40A2BEA","CC1B590A-B948-4235-BEEC-F38ADA581EC2","RH7","6DP",51.18055,-0.01450122
