"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"RM12AG",0.170637,51.57025,318.5732,9423.366,"81B33481-51FC-33F1-E053-A03BA40A2BEA","17C34BF7-520A-43EE-A7A2-4E18AC78DA9C","RM1","2AG",51.5681,0.1736834
"RM12AH",0.18577,51.57376,584.3871,11212.43,"81B332FF-3360-33F1-E053-A03BA40A2BEA","4FEBF584-473B-4123-AF73-A0BB85ADBB09","RM1","2AH",51.57164,0.1780324
"RM12AJ",0.186563,51.56928,420.7309,17743.53,"81B332F7-F3A0-33F1-E053-A03BA40A2BEA","E04090D0-8D46-4F85-BEC7-C89742927E52","RM1","2AJ",51.56551,0.1861112
"RM12AL",0.185902,51.5669,155.3787,17743.53,"81B332F7-F3A0-33F1-E053-A03BA40A2BEA","E04090D0-8D46-4F85-BEC7-C89742927E52","RM1","2AL",51.56551,0.1861112
"RM12AN",0.19828,51.57641,523.1257,48707.71,"81B3334D-6826-33F1-E053-A03BA40A2BEA","A5F62719-4D97-449C-B951-035476377A39","RM1","2AN",51.57836,0.1913919
"RM12AP",0.186992,51.5677,251.2583,17743.53,"81B332F7-F3A0-33F1-E053-A03BA40A2BEA","E04090D0-8D46-4F85-BEC7-C89742927E52","RM1","2AP",51.56551,0.1861112
"RM12AR",0.187228,51.5663,117.2159,17743.53,"81B332F7-F3A0-33F1-E053-A03BA40A2BEA","E04090D0-8D46-4F85-BEC7-C89742927E52","RM1","2AR",51.56551,0.1861112
"RM12AS",0.188216,51.56824,336.2499,17743.53,"81B332F7-F3A0-33F1-E053-A03BA40A2BEA","E04090D0-8D46-4F85-BEC7-C89742927E52","RM1","2AS",51.56551,0.1861112
"RM12AT",0.189331,51.56982,528.9332,17743.53,"81B332F7-F3A0-33F1-E053-A03BA40A2BEA","E04090D0-8D46-4F85-BEC7-C89742927E52","RM1","2AT",51.56551,0.1861112
"RM12AU",0.185945,51.5678,254.8164,17743.53,"81B332F7-F3A0-33F1-E053-A03BA40A2BEA","E04090D0-8D46-4F85-BEC7-C89742927E52","RM1","2AU",51.56551,0.1861112
"RM12AW",0.185833,51.57001,500.4453,17743.53,"81B332F7-F3A0-33F1-E053-A03BA40A2BEA","E04090D0-8D46-4F85-BEC7-C89742927E52","RM1","2AW",51.56551,0.1861112
"RM12AX",0.188872,51.56864,397.3371,17743.53,"81B332F7-F3A0-33F1-E053-A03BA40A2BEA","E04090D0-8D46-4F85-BEC7-C89742927E52","RM1","2AX",51.56551,0.1861112
"RM12AY",0.190569,51.57362,523.2022,48707.71,"81B3334D-6826-33F1-E053-A03BA40A2BEA","84D59C8F-7C39-4755-9430-316E5BF275DC","RM1","2AY",51.57831,0.1912539
