"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
4324,"RM64TA","E01033592","9E891093-62B4-2C71-E053-A03BA40A7146","Public Park Or Garden",196622.436999996,548.4824,6,464359,90.952380952381,"300-600m",486.20281952381,78103.7920119039,4.85714285714286,414060.142857143,10239.5660022253,"RM6 4TA","RM6","4TA","RM64TA"
9755,"RM66JH","E01000113","9E891093-6D76-2C71-E053-A03BA40A7146","Public Park Or Garden",141261.22505,224.34126,4,253921,71.44,"Less than or equal to 300m",246.2367756,141261.22505,2.48,168611,17184.6561371468,"RM6 6JH","RM6","6JH","RM66JH"
14392,"RM64DY","E01003770","9E8910C9-41B1-2C71-E053-A03BA40A7146","Playing Field",20124.8189999973,664.8308,5,430694,88.9705882352941,"600-900m",409.995601764706,62446.0773676451,4.55882352941176,386278.029411765,9394.4938176556,"RM6 4DY","RM6","4DY","RM64DY"
14393,"RM66DT","E01000111","9E891039-8EBC-2C71-E053-A03BA40A7146","Playing Field",8284.51279999832,274.87634,5,260356,78.3846153846154,"Less than or equal to 300m",369.49532,33741.8487923039,4.92307692307692,397303.692307692,1991.49883449884,"RM6 6DT","RM6","6DT","RM66DT"
14394,"RM66LU","E01000112","9E891093-6D76-2C71-E053-A03BA40A7146","Public Park Or Garden",141261.22505,461.0694,4,253921,63.5,"300-600m",438.702968529412,83774.5314176451,3.76470588235294,266779.941176471,17184.6561371468,"RM6 6LU","RM6","6LU","RM66LU"
18413,"RM64DA","E01003770","9E8910C9-41B1-2C71-E053-A03BA40A7146","Playing Field",20124.8189999973,620.4853,4,363177,88.9705882352941,"600-900m",409.995601764706,62446.0773676451,4.55882352941176,386278.029411765,9394.4938176556,"RM6 4DA","RM6","4DA","RM64DA"
18414,"RM65UQ","E01000027","9E891093-6683-2C71-E053-A03BA40A7146","Playing Field",14467.689299998,120.60265,3,161687,53.4285714285714,"Less than or equal to 300m",299.081314142857,12259.3648628551,2.91428571428571,69227.8,4757.55587484036,"RM6 5UQ","RM6","5UQ","RM65UQ"
21852,"RM65TH","E01000029","9E891093-6D76-2C71-E053-A03BA40A7146","Public Park Or Garden",141261.22505,173.62604,2,155728,70,"Less than or equal to 300m",260.631719,115902.517899999,2.92,172844.64,17184.6561371468,"RM6 5TH","RM6","5TH","RM65TH"
27406,"RM64QA","E01003770","9E8910C9-41B1-2C71-E053-A03BA40A7146","Playing Field",20124.8189999973,427.55234,4,317928,88.9705882352941,"300-600m",409.995601764706,62446.0773676451,4.55882352941176,386278.029411765,9394.4938176556,"RM6 4QA","RM6","4QA","RM64QA"
31714,"RM64AG","E01003666","9E8910C9-41B1-2C71-E053-A03BA40A7146","Playing Field",20124.8189999973,299.234,5,688172,67.9302325581395,"Less than or equal to 300m",478.193710930232,55217.797710463,3.7906976744186,450966.790697674,9394.4938176556,"RM6 4AG","RM6","4AG","RM64AG"
