"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
4418,"S613AG","E01007805","9E891040-8AA6-2C71-E053-A03BA40A7146","Playing Field",66112.6961500079,278.0018,4,329310,29.7450980392157,"Less than or equal to 300m",241.133966647059,94631.706715691,4.01960784313725,328748.254901961,4061.48757171834,"S61 3AG","S61","3AG","S613AG"
4419,"S613RD","E01007740","9E891080-F906-2C71-E053-A03BA40A7146","Playing Field",24650.8697500023,335.4102,5,386082,30.12,"300-600m",299.98899066,36073.3622010037,4.84,373043.1,3770.7915437173,"S61 3RD","S61","3RD","S613RD"
4420,"S614JF","E01007733","9E891080-FD51-2C71-E053-A03BA40A7146","Playing Field",77152.4680500005,363.37308,3,152753,33.8974358974359,"300-600m",225.303053,77152.4680500004,3.84615384615385,171137.384615385,3636.98025974026,"S61 4JF","S61","4JF","S614JF"
9827,"S611QF","E01007741","9E891081-89DF-2C71-E053-A03BA40A7146","Public Park Or Garden",56771.7490999981,87.23531,4,164146,38.0263157894737,"Less than or equal to 300m",200.635774605263,38175.4505289479,5.55263157894737,369968.02631579,2641.8742309622,"S61 1QF","S61","1QF","S611QF"
9828,"S613PF","E01007742","9E891080-F906-2C71-E053-A03BA40A7146","Playing Field",24650.8697500023,84.05355,5,386082,46.8666666666667,"Less than or equal to 300m",198.365311233333,122888.474898334,4.7,356332.633333333,3770.7915437173,"S61 3PF","S61","3PF","S613PF"
9829,"S613SF","E01007740","9E891080-F906-2C71-E053-A03BA40A7146","Playing Field",24650.8697500023,278.6575,5,386082,30.12,"Less than or equal to 300m",299.98899066,36073.3622010037,4.84,373043.1,3770.7915437173,"S61 3SF","S61","3SF","S613SF"
9830,"S614EF","E01007731","9E891080-FD51-2C71-E053-A03BA40A7146","Playing Field",77152.4680500005,110.88733,3,108367,27.2727272727273,"Less than or equal to 300m",120.58599825,45529.6275613651,3.11363636363636,111543.477272727,3636.98025974026,"S61 4EF","S61","4EF","S614EF"
18473,"S612SX","E01007801","9E891080-EC23-2C71-E053-A03BA40A7146","Playing Field",13990.5400499993,626.4264,3,191708,40.8571428571429,"600-900m",439.492838862069,75991.2295224133,2.48275862068966,144216.75862069,163.428571428571,"S61 2SX","S61","2SX","S612SX"
18474,"S613RG","E01007740","9E891080-F906-2C71-E053-A03BA40A7146","Playing Field",24650.8697500023,505.05643,5,386082,30.12,"300-600m",299.98899066,36073.3622010037,4.84,373043.1,3770.7915437173,"S61 3RG","S61","3RG","S613RG"
18475,"S614NA","E01007732","9E891040-8AA6-2C71-E053-A03BA40A7146","Playing Field",66112.6961500079,239.58505,2,143265,31.8095238095238,"Less than or equal to 300m",358.751116547619,66901.2512857217,2.33333333333333,179907.904761905,4061.48757171834,"S61 4NA","S61","4NA","S614NA"
