"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"S801AA",-1.122883,53.3053,154.8655,46137.3,"81B3332E-EDED-33F1-E053-A03BA40A2BEA","72570121-E857-461D-B7B5-442BBA016EA8","S80","1AA",53.30544,-1.120564
"S801AB",-1.122159,53.30112,188.3544,459.5192,"81B3332E-EDEF-33F1-E053-A03BA40A2BEA","4AEC10A0-F5CE-4493-AE70-091A035B315F","S80","1AB",53.30106,-1.124992
"S801AD",-1.121755,53.29666,534.7844,459.5192,"81B3332E-EDEF-33F1-E053-A03BA40A2BEA","4AEC10A0-F5CE-4493-AE70-091A035B315F","S80","1AD",53.30106,-1.124992
"S801AE",-1.120833,53.29846,400.2111,459.5192,"81B3332E-EDEF-33F1-E053-A03BA40A2BEA","4AEC10A0-F5CE-4493-AE70-091A035B315F","S80","1AE",53.30106,-1.124992
"S801AF",-1.120753,53.29797,444.2332,459.5192,"81B3332E-EDEF-33F1-E053-A03BA40A2BEA","4AEC10A0-F5CE-4493-AE70-091A035B315F","S80","1AF",53.30106,-1.124992
"S801AG",-1.119528,53.29695,583.2774,459.5192,"81B3332E-EDEF-33F1-E053-A03BA40A2BEA","4AEC10A0-F5CE-4493-AE70-091A035B315F","S80","1AG",53.30106,-1.124992
"S801AH",-1.120864,53.29621,605.0754,459.5192,"81B3332E-EDEF-33F1-E053-A03BA40A2BEA","4AEC10A0-F5CE-4493-AE70-091A035B315F","S80","1AH",53.30106,-1.124992
"S801AJ",-1.121306,53.29589,624.9093,459.5192,"81B3332E-EDEF-33F1-E053-A03BA40A2BEA","4AEC10A0-F5CE-4493-AE70-091A035B315F","S80","1AJ",53.30106,-1.124992
"S801AL",-1.122176,53.29518,680.4242,459.5192,"81B3332E-EDEF-33F1-E053-A03BA40A2BEA","4AEC10A0-F5CE-4493-AE70-091A035B315F","S80","1AL",53.30106,-1.124992
"S801AN",-1.121672,53.29485,724.9344,459.5192,"81B3332E-EDEF-33F1-E053-A03BA40A2BEA","4AEC10A0-F5CE-4493-AE70-091A035B315F","S80","1AN",53.30106,-1.124992
"S801AP",-1.123378,53.2958,594.9916,459.5192,"81B3332E-EDEF-33F1-E053-A03BA40A2BEA","4AEC10A0-F5CE-4493-AE70-091A035B315F","S80","1AP",53.30106,-1.124992
"S801AQ",-1.120047,53.29728,533.2803,459.5192,"81B3332E-EDEF-33F1-E053-A03BA40A2BEA","4AEC10A0-F5CE-4493-AE70-091A035B315F","S80","1AQ",53.30106,-1.124992
"S801AR",-1.122592,53.30489,147.9086,46137.3,"81B3332E-EDED-33F1-E053-A03BA40A2BEA","72570121-E857-461D-B7B5-442BBA016EA8","S80","1AR",53.30544,-1.120564
"S801AS",-1.124109,53.29819,324.1758,459.5192,"81B3332E-EDEF-33F1-E053-A03BA40A2BEA","4AEC10A0-F5CE-4493-AE70-091A035B315F","S80","1AS",53.30106,-1.124992
