"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
4486,"SA17ER","W01000794","9E89103D-BA64-2C71-E053-A03BA40A7146","Playing Field",37825.9363500044,553.21783,3,59831,18.2857142857143,"300-600m",790.373882032609,87028.7428500016,1.76086956521739,100240.902173913,3291.90654747551,"SA1 7ER","SA1","7ER","SA17ER"
9872,"SA11SA","W01001958","9E8910D6-E0B7-2C71-E053-A03BA40A7146","Public Park Or Garden",2539.01890000107,772.8195,2,6467,48.3125,"600-900m",632.3394146875,2843.01014218835,2.625,15055.96875,3954.5646591686,"SA1 1SA","SA1","1SA","SA11SA"
9873,"SA12DJ","W01001955","9E8910D6-E0B7-2C71-E053-A03BA40A7146","Public Park Or Garden",2539.01890000107,241.35037,4,39442,13.8444444444444,"Less than or equal to 300m",293.061634629629,4540.59210592636,4.17777777777778,45756.3333333333,3954.5646591686,"SA1 2DJ","SA1","2DJ","SA12DJ"
9874,"SA14AF","W01000745","9E891040-2689-2C71-E053-A03BA40A7146","Public Park Or Garden",13274.9444999988,204.02206,4,39442,21.448275862069,"Less than or equal to 300m",280.029129784483,10308.9022612062,4.45689655172414,54586.9482758621,6404.49691598291,"SA1 4AF","SA1","4AF","SA14AF"
14512,"SA16NA","W01000867","9E8910CC-B2F5-2C71-E053-A03BA40A7146","Public Park Or Garden",19700.2676499992,293.20642,6,215169,70.5263157894737,"Less than or equal to 300m",138.367535105263,31279.7833868381,6.52631578947368,237150.368421053,6069.45192145238,"SA1 6NA","SA1","6NA","SA16NA"
14513,"SA18DN","W01000851","9E8910D6-E0B7-2C71-E053-A03BA40A7146","Public Park Or Garden",2539.01890000107,579.2495,4,76245,55.5862068965517,"300-600m",500.116344482759,26520.8900310303,2.96551724137931,63251.0689655172,3954.5646591686,"SA1 8DN","SA1","8DN","SA18DN"
14514,"SA18EQ","W01000851","9E8910CC-B2A2-2C71-E053-A03BA40A7146","Public Park Or Garden",51081.4902999929,544.8853,5,101302,55.5862068965517,"300-600m",500.116344482759,26520.8900310303,2.96551724137931,63251.0689655172,1808.53145826406,"SA1 8EQ","SA1","8EQ","SA18EQ"
18504,"SA16HX","W01000869","9E8910CC-B2F5-2C71-E053-A03BA40A7146","Public Park Or Garden",19700.2676499992,279.21317,7,228444,38.975,"Less than or equal to 300m",232.5187654,42555.7691499986,6.55,196048.7,6069.45192145238,"SA1 6HX","SA1","6HX","SA16HX"
18505,"SA17AE","W01000739","9E891036-936F-2C71-E053-A03BA40A7146","Public Park Or Garden",17157.3173000004,34.234486,3,101263,49.3555555555555,"Less than or equal to 300m",261.782187355556,28319.3935533321,3.4,101679.311111111,1558.73333333333,"SA1 7AE","SA1","7AE","SA17AE"
18506,"SA18BT","W01000850","9E8910D6-E0B7-2C71-E053-A03BA40A7146","Public Park Or Garden",2539.01890000107,485.15256,3,25164,39.25,"300-600m",541.946731527778,12666.8794138866,2.19444444444444,26360.5694444444,3954.5646591686,"SA1 8BT","SA1","8BT","SA18BT"
