"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"SA640AA",-4.996071,52.00229,1386.559,19378.8,"81B3331A-F777-33F1-E053-A03BA40A2BEA","58761AF5-C450-4A9A-907C-91B8BEC320EA","SA64","0AA",51.9945,-4.980262
"SA640AB",-4.995227,52.0023,1342.879,19378.8,"81B3331A-F777-33F1-E053-A03BA40A2BEA","58761AF5-C450-4A9A-907C-91B8BEC320EA","SA64","0AB",51.9945,-4.980262
"SA640AD",-4.997638,51.99957,1305.819,19378.8,"81B3331A-F777-33F1-E053-A03BA40A2BEA","36D8B5C1-B915-48D3-BA2F-5F5E8CD2F6C6","SA64","0AD",51.99381,-4.981018
"SA640AE",-4.999971,51.99872,1407.802,19378.8,"81B3331A-F777-33F1-E053-A03BA40A2BEA","36D8B5C1-B915-48D3-BA2F-5F5E8CD2F6C6","SA64","0AE",51.99381,-4.981018
"SA640AF",-4.998614,51.99956,1364.073,19378.8,"81B3331A-F777-33F1-E053-A03BA40A2BEA","36D8B5C1-B915-48D3-BA2F-5F5E8CD2F6C6","SA64","0AF",51.99381,-4.981018
"SA640AG",-4.999081,51.99936,1382.314,19378.8,"81B3331A-F777-33F1-E053-A03BA40A2BEA","36D8B5C1-B915-48D3-BA2F-5F5E8CD2F6C6","SA64","0AG",51.99381,-4.981018
"SA640AH",-5.000038,51.99908,1427.892,19378.8,"81B3331A-F777-33F1-E053-A03BA40A2BEA","36D8B5C1-B915-48D3-BA2F-5F5E8CD2F6C6","SA64","0AH",51.99381,-4.981018
"SA640AJ",-5.000542,51.99854,1436.631,19378.8,"81B3331A-F777-33F1-E053-A03BA40A2BEA","36D8B5C1-B915-48D3-BA2F-5F5E8CD2F6C6","SA64","0AJ",51.99381,-4.981018
"SA640AL",-5.000215,51.99804,1395.888,19378.8,"81B3331A-F777-33F1-E053-A03BA40A2BEA","36D8B5C1-B915-48D3-BA2F-5F5E8CD2F6C6","SA64","0AL",51.99381,-4.981018
"SA640AN",-5.001322,51.99735,1444.94,19378.8,"81B3331A-F777-33F1-E053-A03BA40A2BEA","36D8B5C1-B915-48D3-BA2F-5F5E8CD2F6C6","SA64","0AN",51.99381,-4.981018
