"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"SE240AA",-0.09315,51.464,36.10632,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","0B5F277D-B681-44F9-9C54-970295CF735D","SE24","0AA",51.46408,-0.09365661
"SE240AB",-0.094932,51.46201,112.6754,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","8C701388-8142-4AF7-8C0B-1434E9E4B9A0","SE24","0AB",51.4613,-0.09609193
"SE240AD",-0.096056,51.46094,40.07295,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","8C701388-8142-4AF7-8C0B-1434E9E4B9A0","SE24","0AD",51.4613,-0.09609193
"SE240AE",-0.0953,51.46008,146.0942,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","8C701388-8142-4AF7-8C0B-1434E9E4B9A0","SE24","0AE",51.4613,-0.09609193
"SE240AF",-0.096654,51.4604,107.2487,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","8C701388-8142-4AF7-8C0B-1434E9E4B9A0","SE24","0AF",51.4613,-0.09609193
"SE240AG",-0.097356,51.46151,36.96255,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","9042BE71-7F0B-4837-AC8E-CAD09253FDA5","SE24","0AG",51.46184,-0.09721494
"SE240AH",-0.097732,51.46191,36.71509,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","9042BE71-7F0B-4837-AC8E-CAD09253FDA5","SE24","0AH",51.46184,-0.09721494
"SE240AJ",-0.098491,51.46192,88.9004,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","9042BE71-7F0B-4837-AC8E-CAD09253FDA5","SE24","0AJ",51.46184,-0.09721494
"SE240AL",-0.098232,51.46157,76.61566,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","9042BE71-7F0B-4837-AC8E-CAD09253FDA5","SE24","0AL",51.46184,-0.09721494
"SE240AN",-0.098712,51.46319,85.36393,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","8B191989-677B-4600-8A33-E5B3444BB696","SE24","0AN",51.46283,-0.09762265
"SE240AP",-0.098655,51.46214,105.2304,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","8B191989-677B-4600-8A33-E5B3444BB696","SE24","0AP",51.46283,-0.09762265
"SE240AQ",-0.097602,51.46081,117.3664,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","9042BE71-7F0B-4837-AC8E-CAD09253FDA5","SE24","0AQ",51.46184,-0.09721494
"SE240AR",-0.099651,51.46448,231.1692,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","8B191989-677B-4600-8A33-E5B3444BB696","SE24","0AR",51.46283,-0.09762265
"SE240AS",-0.100168,51.46424,235.8655,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","8B191989-677B-4600-8A33-E5B3444BB696","SE24","0AS",51.46283,-0.09762265
"SE240AT",-0.104153,51.45591,305.0753,521788.2,"81B3332F-180A-33F1-E053-A03BA40A2BEA","7058F46E-C478-47C6-8836-23388D02F756","SE24","0AT",51.45347,-0.1061446
"SE240AU",-0.100485,51.46555,236.7966,16938.97,"81B33371-D2E8-33F1-E053-A03BA40A2BEA","B736064C-45E6-478E-BD99-866649C0421A","SE24","0AU",51.46599,-0.1038304
"SE240AW",-0.099016,51.46245,105.469,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","8B191989-677B-4600-8A33-E5B3444BB696","SE24","0AW",51.46283,-0.09762265
"SE240AX",-0.099273,51.46459,226.8244,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","8B191989-677B-4600-8A33-E5B3444BB696","SE24","0AX",51.46283,-0.09762265
"SE240AY",-0.097662,51.46247,40.03395,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","8B191989-677B-4600-8A33-E5B3444BB696","SE24","0AY",51.46283,-0.09762265
"SE240AZ",-0.101123,51.46578,188.8955,16938.97,"81B33371-D2E8-33F1-E053-A03BA40A2BEA","B736064C-45E6-478E-BD99-866649C0421A","SE24","0AZ",51.46599,-0.1038304
"SE240BA",-0.092566,51.46385,79.73839,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","0B5F277D-B681-44F9-9C54-970295CF735D","SE24","0BA",51.46408,-0.09365661
"SE240BB",-0.095552,51.45954,198.4475,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","8C701388-8142-4AF7-8C0B-1434E9E4B9A0","SE24","0BB",51.4613,-0.09609193
"SE240BD",-0.102935,51.45682,433.4232,7461.825,"81B33371-D2F2-33F1-E053-A03BA40A2BEA","C262795C-A09F-4E5E-883C-BAF42EBB814B","SE24","0BD",51.46037,-0.1003571
"SE240BE",-0.101727,51.45784,296.7474,7461.825,"81B33371-D2F2-33F1-E053-A03BA40A2BEA","C262795C-A09F-4E5E-883C-BAF42EBB814B","SE24","0BE",51.46037,-0.1003571
"SE240BF",-0.105279,51.45549,233.0074,521788.2,"81B3332F-180A-33F1-E053-A03BA40A2BEA","7058F46E-C478-47C6-8836-23388D02F756","SE24","0BF",51.45347,-0.1061446
"SE240BG",-0.099549,51.45968,95.20923,7461.825,"81B33371-D2F2-33F1-E053-A03BA40A2BEA","C262795C-A09F-4E5E-883C-BAF42EBB814B","SE24","0BG",51.46037,-0.1003571
"SE240BH",-0.101252,51.45921,143.0664,7461.825,"81B33371-D2F2-33F1-E053-A03BA40A2BEA","C262795C-A09F-4E5E-883C-BAF42EBB814B","SE24","0BH",51.46037,-0.1003571
"SE240BJ",-0.101362,51.46003,79.19683,7461.825,"81B33371-D2F2-33F1-E053-A03BA40A2BEA","C262795C-A09F-4E5E-883C-BAF42EBB814B","SE24","0BJ",51.46037,-0.1003571
"SE240BL",-0.100425,51.46249,177.3794,7461.825,"81B33371-D2F2-33F1-E053-A03BA40A2BEA","100A889E-7AE5-4050-AAB2-7D4900E9116A","SE24","0BL",51.46091,-0.1000445
"SE240BN",-0.099692,51.46144,63.02125,7461.825,"81B33371-D2F2-33F1-E053-A03BA40A2BEA","100A889E-7AE5-4050-AAB2-7D4900E9116A","SE24","0BN",51.46091,-0.1000445
"SE240BP",-0.100325,51.46282,187.2142,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","8B191989-677B-4600-8A33-E5B3444BB696","SE24","0BP",51.46283,-0.09762265
"SE240BQ",-0.099735,51.4604,43.22607,7461.825,"81B33371-D2F2-33F1-E053-A03BA40A2BEA","C262795C-A09F-4E5E-883C-BAF42EBB814B","SE24","0BQ",51.46037,-0.1003571
"SE240BS",-0.09852,51.46122,110.9421,7461.825,"81B33371-D2F2-33F1-E053-A03BA40A2BEA","100A889E-7AE5-4050-AAB2-7D4900E9116A","SE24","0BS",51.46091,-0.1000445
"SE240BT",-0.097632,51.46111,85.28026,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","9042BE71-7F0B-4837-AC8E-CAD09253FDA5","SE24","0BT",51.46184,-0.09721494
"SE240BU",-0.096737,51.4598,172.6425,147179.2,"81B33371-D2E0-33F1-E053-A03BA40A2BEA","8C701388-8142-4AF7-8C0B-1434E9E4B9A0","SE24","0BU",51.4613,-0.09609193
