"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
4634,"SE84DZ","E01003211","9E891056-2B94-2C71-E053-A03BA40A7146","Public Park Or Garden",26958.1637999986,211.51833,9,1010377,67.304347826087,"Less than or equal to 300m",287.81320326087,61878.7428695668,7.04347826086957,282652.173913043,9733.17849819057,"SE8 4DZ","SE8","4DZ","SE84DZ"
4635,"SE84RD","E01032579","9E8910B4-83CB-2C71-E053-A03BA40A7146","Public Park Or Garden",11972.3535499968,218.00917,9,120278,41.5365853658537,"Less than or equal to 300m",348.716646097561,11281.6203560976,9.02439024390244,406763.365853659,4285.76314291577,"SE8 4RD","SE8","4RD","SE84RD"
4636,"SE85BA","E01003247","9E8910B4-82A5-2C71-E053-A03BA40A7146","Public Park Or Garden",67379.6652999882,170.30855,7,500559,71.375,"Less than or equal to 300m",186.196441875,60080.1480968649,6.6875,469281.71875,6119.0830803275,"SE8 5BA","SE8","5BA","SE85BA"
10023,"SE83DR","E01003253","9E8910BE-529C-2C71-E053-A03BA40A7146","Public Park Or Garden",12917.0294000031,185.80904,10,177022,38.775,"Less than or equal to 300m",165.38997135,12775.3280225022,8.275,192558.3,7996.75392495584,"SE8 3DR","SE8","3DR","SE83DR"
10024,"SE83PQ","E01003253","9E8910BE-529C-2C71-E053-A03BA40A7146","Public Park Or Garden",12917.0294000031,257.84686,8,137736,38.775,"Less than or equal to 300m",165.38997135,12775.3280225022,8.275,192558.3,7996.75392495584,"SE8 3PQ","SE8","3PQ","SE83PQ"
10025,"SE84BX","E01003304","9E8910B4-83CB-2C71-E053-A03BA40A7146","Public Park Or Garden",11972.3535499968,158.29404,10,144964,49.7333333333333,"Less than or equal to 300m",139.424633866667,11972.3535499968,9.64444444444444,144230.244444444,4285.76314291577,"SE8 4BX","SE8","4BX","SE84BX"
14613,"SE84AW","E01003304","9E8910B4-83CB-2C71-E053-A03BA40A7146","Public Park Or Garden",11972.3535499968,74.73286,10,144964,49.7333333333333,"Less than or equal to 300m",139.424633866667,11972.3535499968,9.64444444444444,144230.244444444,4285.76314291577,"SE8 4AW","SE8","4AW","SE84AW"
18602,"SE83DX","E01032579","9E8910BE-529C-2C71-E053-A03BA40A7146","Public Park Or Garden",12917.0294000031,512.76996,9,856518,41.5365853658537,"300-600m",348.716646097561,11281.6203560976,9.02439024390244,406763.365853659,7996.75392495584,"SE8 3DX","SE8","3DX","SE83DX"
18603,"SE85BT","E01003246","9E8910B4-839B-2C71-E053-A03BA40A7146","Public Park Or Garden",24686.098999998,62.968246,9,217267,32.377358490566,"Less than or equal to 300m",181.796934301887,29929.4039886772,8.20754716981132,209265.698113208,3998.86936208446,"SE8 5BT","SE8","5BT","SE85BT"
18604,"SE85PP","E01003252","9E8910B4-82A6-2C71-E053-A03BA40A7146","Public Park Or Garden",30578.8324000007,327.01376,7,188654,52.3571428571428,"300-600m",339.4933375,22795.5198071423,7.25,193568.25,8687.65770181466,"SE8 5PP","SE8","5PP","SE85PP"
22014,"SE84HJ","E01003207","9E89103E-1DE1-2C71-E053-A03BA40A7146","Public Park Or Garden",9639.63760000009,60.876926,8,116680,44.275,"Less than or equal to 300m",188.35340205,10232.5411499985,7.95,116034.15,4753.12027860942,"SE8 4HJ","SE8","4HJ","SE84HJ"
22015,"SE85PS","E01003246","9E8910B4-839B-2C71-E053-A03BA40A7146","Public Park Or Garden",24686.098999998,294.63538,8,208311,32.377358490566,"Less than or equal to 300m",181.796934301887,29929.4039886772,8.20754716981132,209265.698113208,3998.86936208446,"SE8 5PS","SE8","5PS","SE85PS"
24938,"SE83PJ","E01003249","9E8910B4-82A6-2C71-E053-A03BA40A7146","Public Park Or Garden",30578.8324000007,278.7705,5,213400,59.7352941176471,"Less than or equal to 300m",208.855568588235,30578.8324000007,6.02941176470588,233911.617647059,8687.65770181466,"SE8 3PJ","SE8","3PJ","SE83PJ"
24939,"SE84HN","E01003207","9E89103E-1DE1-2C71-E053-A03BA40A7146","Public Park Or Garden",9639.63760000009,97.015465,8,116680,44.275,"Less than or equal to 300m",188.35340205,10232.5411499985,7.95,116034.15,4753.12027860942,"SE8 4HN","SE8","4HN","SE84HN"
27527,"SE83BF","E01033727","9E8910BE-529C-2C71-E053-A03BA40A7146","Public Park Or Garden",12917.0294000031,225.07776,8,880146,59.037037037037,"Less than or equal to 300m",162.463280111111,12744.4492879661,8.24074074074074,527248.944444444,7996.75392495584,"SE8 3BF","SE8","3BF","SE83BF"
27528,"SE83BS","E01033727","9E8910BE-529C-2C71-E053-A03BA40A7146","Public Park Or Garden",12917.0294000031,197.73215,9,910725,59.037037037037,"Less than or equal to 300m",162.463280111111,12744.4492879661,8.24074074074074,527248.944444444,7996.75392495584,"SE8 3BS","SE8","3BS","SE83BS"
27529,"SE84RX","E01032579","9E89103E-1DE1-2C71-E053-A03BA40A7146","Public Park Or Garden",9639.63760000009,247.29335,8,116680,41.5365853658537,"Less than or equal to 300m",348.716646097561,11281.6203560976,9.02439024390244,406763.365853659,4753.12027860942,"SE8 4RX","SE8","4RX","SE84RX"
29829,"SE85FS","E01003246","9E8910B4-839B-2C71-E053-A03BA40A7146","Public Park Or Garden",24686.098999998,229.26186,8,208311,32.377358490566,"Less than or equal to 300m",181.796934301887,29929.4039886772,8.20754716981132,209265.698113208,3998.86936208446,"SE8 5FS","SE8","5FS","SE85FS"
31815,"SE83FR","E01033727","9E8910BE-529C-2C71-E053-A03BA40A7146","Public Park Or Garden",12917.0294000031,22.803509,8,139621,59.037037037037,"Less than or equal to 300m",162.463280111111,12744.4492879661,8.24074074074074,527248.944444444,7996.75392495584,"SE8 3FR","SE8","3FR","SE83FR"
50898,"SE83BL","E01033727","9E8910BE-529C-2C71-E053-A03BA40A7146","Public Park Or Garden",12917.0294000031,225.07776,8,880146,59.037037037037,"Less than or equal to 300m",162.463280111111,12744.4492879661,8.24074074074074,527248.944444444,7996.75392495584,"SE8 3BL","SE8","3BL","SE83BL"
50899,"SE84SF","E01032579","9E89103E-1DE1-2C71-E053-A03BA40A7146","Public Park Or Garden",9639.63760000009,468.9531,10,859680,41.5365853658537,"300-600m",348.716646097561,11281.6203560976,9.02439024390244,406763.365853659,4753.12027860942,"SE8 4SF","SE8","4SF","SE84SF"
50900,"SE85PH","E01003246","9E8910B4-839B-2C71-E053-A03BA40A7146","Public Park Or Garden",24686.098999998,178.89941,8,208311,32.377358490566,"Less than or equal to 300m",181.796934301887,29929.4039886772,8.20754716981132,209265.698113208,3998.86936208446,"SE8 5PH","SE8","5PH","SE85PH"
56189,"SE84PQ","E01003207","9E89103E-1DE1-2C71-E053-A03BA40A7146","Public Park Or Garden",9639.63760000009,179.60512,8,116680,44.275,"Less than or equal to 300m",188.35340205,10232.5411499985,7.95,116034.15,4753.12027860942,"SE8 4PQ","SE8","4PQ","SE84PQ"
56190,"SE84SB","E01032579","9E8910B4-83CB-2C71-E053-A03BA40A7146","Public Park Or Garden",11972.3535499968,417.15344,10,128985,41.5365853658537,"300-600m",348.716646097561,11281.6203560976,9.02439024390244,406763.365853659,4285.76314291577,"SE8 4SB","SE8","4SB","SE84SB"
56191,"SE85AB","E01003247","9E8910B4-82A5-2C71-E053-A03BA40A7146","Public Park Or Garden",67379.6652999882,309.19574,7,504856,71.375,"300-600m",186.196441875,60080.1480968649,6.6875,469281.71875,6119.0830803275,"SE8 5AB","SE8","5AB","SE85AB"
