"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"SG120AA",-0.035406,51.81341,1941.329,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AA",51.79888,-0.05106258
"SG120AB",-0.035963,51.81294,1876.052,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AB",51.79888,-0.05106258
"SG120AD",-0.037383,51.81466,1990.432,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AD",51.79888,-0.05106258
"SG120AE",-0.03855,51.81417,1904.735,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AE",51.79888,-0.05106258
"SG120AF",-0.037209,51.81364,1897.312,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AF",51.79888,-0.05106258
"SG120AG",-0.035266,51.81428,2027.68,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AG",51.79888,-0.05106258
"SG120AH",-0.044302,51.81735,2105.922,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AH",51.79888,-0.05106258
"SG120AJ",-0.03706,51.81376,1914.092,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AJ",51.79888,-0.05106258
"SG120AL",-0.041403,51.81731,2153.605,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AL",51.79888,-0.05106258
"SG120AN",-0.040237,51.81374,1812.354,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AN",51.79888,-0.05106258
"SG120AP",-0.055389,51.81599,1925.324,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AP",51.79888,-0.05106258
"SG120AQ",-0.035996,51.81488,2058.904,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AQ",51.79888,-0.05106258
"SG120AR",-0.041414,51.8147,1879.609,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AR",51.79888,-0.05106258
"SG120AS",-0.040724,51.81455,1881.831,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AS",51.79888,-0.05106258
"SG120AT",-0.040461,51.8156,1996.64,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AT",51.79888,-0.05106258
"SG120AU",-0.041556,51.81612,2025.251,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AU",51.79888,-0.05106258
"SG120AW",-0.042473,51.81371,1751.265,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AW",51.79888,-0.05106258
"SG120AX",-0.043538,51.81725,2107.031,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AX",51.79888,-0.05106258
"SG120AY",-0.042256,51.81702,2106.091,1874.834,"81B33300-0584-33F1-E053-A03BA40A2BEA","F42CB368-709D-4F31-AA2F-FF028E28A0C1","SG12","0AY",51.79888,-0.05106258
