"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
4652,"SG191DB","E01017433","9E8910AE-8403-2C71-E053-A03BA40A7146","Playing Field",56164.9852999993,257.03113,3,96343,86,"Less than or equal to 300m",182.642321,56164.9852999993,3,96343,4545.55642135642,"SG19 1DB","SG19","1DB","SG191DB"
4653,"SG191NX","E01017431","9E891072-FA6B-2C71-E053-A03BA40A7146","Public Park Or Garden",32886.0591499991,387.07236,2,53926,44.95,"300-600m",388.5851044,22225.3453100025,2.225,71912.575,1102.04242424242,"SG19 1NX","SG19","1NX","SG191NX"
10040,"SG191GB","E01017432","9E891072-FA6B-2C71-E053-A03BA40A7146","Public Park Or Garden",32886.0591499991,223.67163,3,69071,41.5,"Less than or equal to 300m",179.103884777778,27621.5091055563,2.94444444444444,71484.1944444444,1102.04242424242,"SG19 1GB","SG19","1GB","SG191GB"
10041,"SG192HS","E01017427","9E891071-BD75-2C71-E053-A03BA40A7146","Public Park Or Garden",148644.883599995,557.324,1,148644,34.0377358490566,"300-600m",401.237852301887,32130.9543226428,2.0188679245283,73424.8301886792,199.731240935803,"SG19 2HS","SG19","2HS","SG192HS"
10042,"SG192PR","E01017427","9E891072-FAA9-2C71-E053-A03BA40A7146","Playing Field",25617.1966500008,493.90283,3,53367,34.0377358490566,"300-600m",401.237852301887,32130.9543226428,2.0188679245283,73424.8301886792,2531.76709093914,"SG19 2PR","SG19","2PR","SG192PR"
10043,"SG193AF","E01018136","9E8910AE-D97D-2C71-E053-A03BA40A7146","Playing Field",6888.53790000345,257.4024,3,90449,15.5233644859813,"Less than or equal to 300m",520.365593448598,62297.4620369135,1.67289719626168,100894.336448598,439.11472439443,"SG19 3AF","SG19","3AF","SG193AF"
14628,"SG193AT","E01018136","9E8910AE-D97D-2C71-E053-A03BA40A7146","Playing Field",6888.53790000345,178.6197,3,90449,15.5233644859813,"Less than or equal to 300m",520.365593448598,62297.4620369135,1.67289719626168,100894.336448598,439.11472439443,"SG19 3AT","SG19","3AT","SG193AT"
14629,"SG193LU","E01018245","9E8910AE-878D-2C71-E053-A03BA40A7146","Playing Field",32464.8001500015,713.1059,2,61059,50.8484848484849,"600-900m",555.633199393939,32347.5175287893,1.78787878787879,54993.3939393939,2635.60253555968,"SG19 3LU","SG19","3LU","SG193LU"
18616,"SG192TA","E01017436","9E8910AE-8265-2C71-E053-A03BA40A7146","Playing Field",19137.3651000021,194.99744,2,75302,45.2181818181818,"Less than or equal to 300m",185.233973054545,27889.3480563651,2.05454545454545,76449.6909090909,2313.23097643098,"SG19 2TA","SG19","2TA","SG192TA"
18617,"SG192TS","E01017436","9E8910AE-8265-2C71-E053-A03BA40A7146","Playing Field",19137.3651000021,123.174675,2,75302,45.2181818181818,"Less than or equal to 300m",185.233973054545,27889.3480563651,2.05454545454545,76449.6909090909,2313.23097643098,"SG19 2TS","SG19","2TS","SG192TS"
24953,"SG192TH","E01017436","9E8910AE-8265-2C71-E053-A03BA40A7146","Playing Field",19137.3651000021,100.96039,2,75302,45.2181818181818,"Less than or equal to 300m",185.233973054545,27889.3480563651,2.05454545454545,76449.6909090909,2313.23097643098,"SG19 2TH","SG19","2TH","SG192TH"
27546,"SG191LS","E01017434","9E8910B2-210A-2C71-E053-A03BA40A7146","Playing Field",21040.8215500029,309.58844,2,77205,61.9285714285714,"300-600m",322.937438071429,42366.2066839292,2.71428571428571,90875,4649.68593841147,"SG19 1LS","SG19","1LS","SG191LS"
29838,"SG191DD","E01017436","9E8910AE-8403-2C71-E053-A03BA40A7146","Playing Field",56164.9852999993,316.09177,2,75302,45.2181818181818,"300-600m",185.233973054545,27889.3480563651,2.05454545454545,76449.6909090909,4545.55642135642,"SG19 1DD","SG19","1DD","SG191DD"
31823,"SG192BT","E01017426","9E891041-3934-2C71-E053-A03BA40A7146","Playing Field",3250.37579999829,140.20699,3,53367,29.9148936170213,"Less than or equal to 300m",1464.09330088235,14538.6254867632,1.38235294117647,18971.4411764706,809.553504380476,"SG19 2BT","SG19","2BT","SG192BT"
33489,"SG191BT","E01017430","9E8910AE-8403-2C71-E053-A03BA40A7146","Playing Field",56164.9852999993,444.32532,3,96343,46.1212121212121,"300-600m",479.929796242424,32229.3592272742,2.54545454545455,81269.3333333333,4545.55642135642,"SG19 1BT","SG19","1BT","SG191BT"
33490,"SG191TU","E01017434","9E8910AE-8403-2C71-E053-A03BA40A7146","Playing Field",56164.9852999993,237.94537,3,96343,61.9285714285714,"Less than or equal to 300m",322.937438071429,42366.2066839292,2.71428571428571,90875,4545.55642135642,"SG19 1TU","SG19","1TU","SG191TU"
36304,"SG191AW","E01017431","9E8910B2-210A-2C71-E053-A03BA40A7146","Playing Field",21040.8215500029,691.4167,2,53926,44.95,"600-900m",388.5851044,22225.3453100025,2.225,71912.575,4649.68593841147,"SG19 1AW","SG19","1AW","SG191AW"
38457,"SG193LF","E01018245","9E8910AE-878D-2C71-E053-A03BA40A7146","Playing Field",32464.8001500015,504.473,2,61059,50.8484848484849,"300-600m",555.633199393939,32347.5175287893,1.78787878787879,54993.3939393939,2635.60253555968,"SG19 3LF","SG19","3LF","SG193LF"
39362,"SG191HS","E01017430","9E8910B2-210A-2C71-E053-A03BA40A7146","Playing Field",21040.8215500029,525.5178,2,77205,46.1212121212121,"300-600m",479.929796242424,32229.3592272742,2.54545454545455,81269.3333333333,4649.68593841147,"SG19 1HS","SG19","1HS","SG191HS"
39363,"SG191PE","E01017432","9E891072-FA6B-2C71-E053-A03BA40A7146","Public Park Or Garden",32886.0591499991,86.209045,3,69071,41.5,"Less than or equal to 300m",179.103884777778,27621.5091055563,2.94444444444444,71484.1944444444,1102.04242424242,"SG19 1PE","SG19","1PE","SG191PE"
41542,"SG191GA","E01017432","9E891072-FA6B-2C71-E053-A03BA40A7146","Public Park Or Garden",32886.0591499991,261.04788,3,69071,41.5,"Less than or equal to 300m",179.103884777778,27621.5091055563,2.94444444444444,71484.1944444444,1102.04242424242,"SG19 1GA","SG19","1GA","SG191GA"
42131,"SG193ER","E01018246","9E8911BB-68A4-2C71-E053-A03BA40A7146","Public Park Or Garden",28594.4736499964,250.35374,2,61059,38.475,"Less than or equal to 300m",427.107735724138,31797.5024775869,1.82758620689655,55995.3793103448,379.305117501546,"SG19 3ER","SG19","3ER","SG193ER"
