"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"SK151AA",-2.053956,53.48492,452.8871,169994.6,"81B333AB-899F-33F1-E053-A03BA40A2BEA","B44B5E85-8D0C-4ECB-8427-A6CB52B536ED","SK15","1AA",53.48094,-2.052551
"SK151AB",-2.05355,53.48565,528.3418,169994.6,"81B333AB-899F-33F1-E053-A03BA40A2BEA","B44B5E85-8D0C-4ECB-8427-A6CB52B536ED","SK15","1AB",53.48094,-2.052551
"SK151AD",-2.052466,53.48659,628.1797,169994.6,"81B333AB-899F-33F1-E053-A03BA40A2BEA","B44B5E85-8D0C-4ECB-8427-A6CB52B536ED","SK15","1AD",53.48094,-2.052551
"SK151AE",-2.053822,53.486,569.3546,169994.6,"81B333AB-899F-33F1-E053-A03BA40A2BEA","B44B5E85-8D0C-4ECB-8427-A6CB52B536ED","SK15","1AE",53.48094,-2.052551
"SK151AF",-2.054831,53.48541,519.5592,169994.6,"81B333AB-899F-33F1-E053-A03BA40A2BEA","B44B5E85-8D0C-4ECB-8427-A6CB52B536ED","SK15","1AF",53.48094,-2.052551
"SK151AG",-2.055915,53.4848,483.4222,169994.6,"81B333AB-899F-33F1-E053-A03BA40A2BEA","B44B5E85-8D0C-4ECB-8427-A6CB52B536ED","SK15","1AG",53.48094,-2.052551
"SK151AH",-2.055192,53.48473,456.8624,169994.6,"81B333AB-899F-33F1-E053-A03BA40A2BEA","B44B5E85-8D0C-4ECB-8427-A6CB52B536ED","SK15","1AH",53.48094,-2.052551
"SK151AJ",-2.056293,53.48579,594.0471,169994.6,"81B333AB-899F-33F1-E053-A03BA40A2BEA","B44B5E85-8D0C-4ECB-8427-A6CB52B536ED","SK15","1AJ",53.48094,-2.052551
"SK151AL",-2.055616,53.48616,615.3931,169994.6,"81B333AB-899F-33F1-E053-A03BA40A2BEA","B44B5E85-8D0C-4ECB-8427-A6CB52B536ED","SK15","1AL",53.48094,-2.052551
"SK151AN",-2.05759,53.48619,672.3986,169994.6,"81B333AB-899F-33F1-E053-A03BA40A2BEA","B44B5E85-8D0C-4ECB-8427-A6CB52B536ED","SK15","1AN",53.48094,-2.052551
"SK151AP",-2.059288,53.48301,501.6767,169994.6,"81B333AB-899F-33F1-E053-A03BA40A2BEA","B44B5E85-8D0C-4ECB-8427-A6CB52B536ED","SK15","1AP",53.48094,-2.052551
"SK151AQ",-2.054814,53.4842,392.8444,169994.6,"81B333AB-899F-33F1-E053-A03BA40A2BEA","B44B5E85-8D0C-4ECB-8427-A6CB52B536ED","SK15","1AQ",53.48094,-2.052551
