"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
4718,"SK42JE","E01005856","9E8910EE-189E-2C71-E053-A03BA40A7146","Public Park Or Garden",6745.51709999401,72.03471,10,398722,44.9722222222222,"Less than or equal to 300m",246.000801833333,20876.3329527736,8.47222222222222,361974.333333333,1387.93965517241,"SK4 2JE","SK4","2JE","SK42JE"
4719,"SK42NB","E01005861","9E8910DC-11E7-2C71-E053-A03BA40A7146","Public Park Or Garden",41729.9500500008,61.204575,8,354829,35.5238095238095,"Less than or equal to 300m",176.979564571429,42523.4306452388,7.26190476190476,300386.666666667,2698.65301587302,"SK4 2NB","SK4","2NB","SK42NB"
4720,"SK43AY","E01005852","9E8910DB-647E-2C71-E053-A03BA40A7146","Public Park Or Garden",98973.3013999998,56,9,511178,39.4871794871795,"Less than or equal to 300m",145.784732282051,54630.8313448725,9.66666666666667,507806.717948718,1887.14765694076,"SK4 3AY","SK4","3AY","SK43AY"
4721,"SK43LQ","E01005854","9E8910DB-4D64-2C71-E053-A03BA40A7146","Playing Field",17889.4960000008,421.23865,8,308228,42.525,"300-600m",267.957184,17889.4960000008,8.825,428127.95,3928.49028749029,"SK4 3LQ","SK4","3LQ","SK43LQ"
4722,"SK43LY","E01005856","9E8910DB-4D64-2C71-E053-A03BA40A7146","Playing Field",17889.4960000008,489.70398,8,368246,44.9722222222222,"300-600m",246.000801833333,20876.3329527736,8.47222222222222,361974.333333333,3928.49028749029,"SK4 3LY","SK4","3LY","SK43LY"
4723,"SK43LZ","E01005856","9E8910EE-189E-2C71-E053-A03BA40A7146","Public Park Or Garden",6745.51709999401,377.20154,7,359430,44.9722222222222,"300-600m",246.000801833333,20876.3329527736,8.47222222222222,361974.333333333,1387.93965517241,"SK4 3LZ","SK4","3LZ","SK43LZ"
10094,"SK42DX","E01005863","9E8910DC-0DD7-2C71-E053-A03BA40A7146","Playing Field",9421.70920000153,345.071,8,234315,50.8611111111111,"300-600m",361.848792861111,11093.4400944453,6.41666666666667,508404.138888889,3469.26404151404,"SK4 2DX","SK4","2DX","SK42DX"
10095,"SK43EJ","E01005852","9E8910DB-647E-2C71-E053-A03BA40A7146","Public Park Or Garden",98973.3013999998,151.84532,9,483111,39.4871794871795,"Less than or equal to 300m",145.784732282051,54630.8313448725,9.66666666666667,507806.717948718,1887.14765694076,"SK4 3EJ","SK4","3EJ","SK43EJ"
14668,"SK43LD","E01005854","9E8910DB-4D64-2C71-E053-A03BA40A7146","Playing Field",17889.4960000008,137.97464,8,419736,42.525,"Less than or equal to 300m",267.957184,17889.4960000008,8.825,428127.95,3928.49028749029,"SK4 3LD","SK4","3LD","SK43LD"
14669,"SK44AS","E01005865","9E8910EE-186B-2C71-E053-A03BA40A7146","Public Park Or Garden",17020.2212499986,229.00218,5,173841,41.8636363636364,"Less than or equal to 300m",249.803558681818,27681.8157931797,5.36363636363636,265425.863636364,3766.27790727791,"SK4 4AS","SK4","4AS","SK44AS"
14670,"SK45NT","E01005919","9E8910DC-0348-2C71-E053-A03BA40A7146","Playing Field",29242.9413999964,44.294468,5,467366,46.7142857142857,"Less than or equal to 300m",133.476522371429,78860.9327785697,5.48571428571429,840120.857142857,1779.93406593407,"SK4 5NT","SK4","5NT","SK45NT"
18655,"SK41TD","E01005917","9E8911BE-EF39-2C71-E053-A03BA40A7146","Public Park Or Garden",55477.5896499994,233.3238,7,2244640,22.5,"Less than or equal to 300m",194.17135401282,64410.9111673075,6.84615384615385,2004007.75641026,3889.89145791017,"SK4 1TD","SK4","1TD","SK41TD"
22058,"SK41TE","E01005917","9E8911BE-EF39-2C71-E053-A03BA40A7146","Public Park Or Garden",55477.5896499994,298.739,7,2244640,22.5,"Less than or equal to 300m",194.17135401282,64410.9111673075,6.84615384615385,2004007.75641026,3889.89145791017,"SK4 1TE","SK4","1TE","SK41TE"
24976,"SK45AG","E01005869","9E8910DB-AC79-2C71-E053-A03BA40A7146","Public Park Or Garden",304657.746649994,402.08707,6,569120,39.1794871794872,"300-600m",338.809947769231,238423.690143585,5.38461538461538,521056.82051282,5105.18904486807,"SK4 5AG","SK4","5AG","SK45AG"
27572,"SK44PD","E01005859","9E891037-492C-2C71-E053-A03BA40A7146","Playing Field",8815.92500000088,246.35747,3,43725,51.4074074074074,"Less than or equal to 300m",330.434526296296,11439.99975926,5.59259259259259,145140.592592593,2389.12872053872,"SK4 4PD","SK4","4PD","SK44PD"
27573,"SK44SF","E01005865","9E8910DB-3DCA-2C71-E053-A03BA40A7146","Playing Field",91559.761549994,363.3208,5,539271,41.8636363636364,"300-600m",249.803558681818,27681.8157931797,5.36363636363636,265425.863636364,3188.48512264998,"SK4 4SF","SK4","4SF","SK44SF"
29864,"SK44JU","E01005859","9E891037-492C-2C71-E053-A03BA40A7146","Playing Field",8815.92500000088,374.97333,5,94877,51.4074074074074,"300-600m",330.434526296296,11439.99975926,5.59259259259259,145140.592592593,2389.12872053872,"SK4 4JU","SK4","4JU","SK44JU"
35010,"SK43LW","E01005856","9E8910EE-189E-2C71-E053-A03BA40A7146","Public Park Or Garden",6745.51709999401,416.8285,7,359430,44.9722222222222,"300-600m",246.000801833333,20876.3329527736,8.47222222222222,361974.333333333,1387.93965517241,"SK4 3LW","SK4","3LW","SK43LW"
35011,"SK45LT","E01005869","9E8910DB-AC79-2C71-E053-A03BA40A7146","Public Park Or Garden",304657.746649994,404.5108,5,477560,39.1794871794872,"300-600m",338.809947769231,238423.690143585,5.38461538461538,521056.82051282,5105.18904486807,"SK4 5LT","SK4","5LT","SK45LT"
38470,"SK45EP","E01005862","9E8910DC-0DD7-2C71-E053-A03BA40A7146","Playing Field",9421.70920000153,252.00793,5,415929,72.2857142857143,"Less than or equal to 300m",367.70838047619,37539.4270523818,5.80952380952381,494857.428571429,3469.26404151404,"SK4 5EP","SK4","5EP","SK45EP"
38471,"SK45NU","E01005919","9E8910DC-0348-2C71-E053-A03BA40A7146","Playing Field",29242.9413999964,110.69327,5,374490,46.7142857142857,"Less than or equal to 300m",133.476522371429,78860.9327785697,5.48571428571429,840120.857142857,1779.93406593407,"SK4 5NU","SK4","5NU","SK45NU"
41546,"SK41PL","E01005915","9E8910DC-12A6-2C71-E053-A03BA40A7146","Playing Field",64365.3994500023,178.05898,5,2147432,32.5833333333333,"Less than or equal to 300m",151.9856185625,800568.896189588,5.72916666666667,2188691.64583333,3038.73694513372,"SK4 1PL","SK4","1PL","SK41PL"
50979,"SK41DN","E01005861","9E8910DC-11E7-2C71-E053-A03BA40A7146","Public Park Or Garden",41729.9500500008,169.80577,7,347034,35.5238095238095,"Less than or equal to 300m",176.979564571429,42523.4306452388,7.26190476190476,300386.666666667,2698.65301587302,"SK4 1DN","SK4","1DN","SK41DN"
50980,"SK42RP","E01005917","9E891043-CDB2-2C71-E053-A03BA40A7146","Playing Field",6321.84434999985,229.99348,7,2244640,22.5,"Less than or equal to 300m",194.17135401282,64410.9111673075,6.84615384615385,2004007.75641026,1594.24111111111,"SK4 2RP","SK4","2RP","SK42RP"
50981,"SK43HN","E01005855","9E89103E-42E9-2C71-E053-A03BA40A7146","Public Park Or Garden",71283.9902999971,202.56604,9,435138,56.5172413793103,"Less than or equal to 300m",174.106280034483,75513.7148448269,8.72413793103448,455979.034482759,3105.07075490473,"SK4 3HN","SK4","3HN","SK43HN"
50982,"SK43JT","E01005854","9E8910DB-4D64-2C71-E053-A03BA40A7146","Playing Field",17889.4960000008,32.89377,9,449331,42.525,"Less than or equal to 300m",267.957184,17889.4960000008,8.825,428127.95,3928.49028749029,"SK4 3JT","SK4","3JT","SK43JT"
50983,"SK43JW","E01005854","9E8910DB-4D64-2C71-E053-A03BA40A7146","Playing Field",17889.4960000008,155.42522,10,456077,42.525,"Less than or equal to 300m",267.957184,17889.4960000008,8.825,428127.95,3928.49028749029,"SK4 3JW","SK4","3JW","SK43JW"
50984,"SK44JA","E01005859","9E8910DB-4D64-2C71-E053-A03BA40A7146","Playing Field",17889.4960000008,261.55304,9,379512,51.4074074074074,"Less than or equal to 300m",330.434526296296,11439.99975926,5.59259259259259,145140.592592593,3928.49028749029,"SK4 4JA","SK4","4JA","SK44JA"
50985,"SK44NL","E01005863","9E8910EE-186B-2C71-E053-A03BA40A7146","Public Park Or Garden",17020.2212499986,575.47284,7,178838,50.8611111111111,"300-600m",361.848792861111,11093.4400944453,6.41666666666667,508404.138888889,3766.27790727791,"SK4 4NL","SK4","4NL","SK44NL"
56252,"SK41RD","E01005918","9E8911BE-EF39-2C71-E053-A03BA40A7146","Public Park Or Garden",55477.5896499994,123.709335,6,2235218,56.8,"Less than or equal to 300m",160.360926433333,451614.243500001,6.63333333333333,2253542.6,3889.89145791017,"SK4 1RD","SK4","1RD","SK41RD"
56253,"SK42DQ","E01005857","9E89103E-0E6C-2C71-E053-A03BA40A7146","Public Park Or Garden",169676.611000003,402.4351,11,466209,58,"300-600m",214.084574615385,136245.814584617,10.1538461538462,441938.884615385,2565.41040377247,"SK4 2DQ","SK4","2DQ","SK42DQ"
56254,"SK42EB","E01005853","9E89103E-0E6C-2C71-E053-A03BA40A7146","Public Park Or Garden",169676.611000003,305.16388,10,416071,57.8965517241379,"300-600m",213.236562275862,142309.817872416,9.62068965517242,420306.172413793,2565.41040377247,"SK4 2EB","SK4","2EB","SK42EB"
56255,"SK45EW","E01005862","9E8910DC-0DD7-2C71-E053-A03BA40A7146","Playing Field",9421.70920000153,194.58675,6,432950,72.2857142857143,"Less than or equal to 300m",367.70838047619,37539.4270523818,5.80952380952381,494857.428571429,3469.26404151404,"SK4 5EW","SK4","5EW","SK45EW"
60701,"SK41SW","E01005918","9E8911BE-EF39-2C71-E053-A03BA40A7146","Public Park Or Garden",55477.5896499994,82.419655,8,2302301,56.8,"Less than or equal to 300m",160.360926433333,451614.243500001,6.63333333333333,2253542.6,3889.89145791017,"SK4 1SW","SK4","1SW","SK41SW"
60702,"SK42AD","E01005853","9E89103E-0E6C-2C71-E053-A03BA40A7146","Public Park Or Garden",169676.611000003,383.08353,8,375135,57.8965517241379,"300-600m",213.236562275862,142309.817872416,9.62068965517242,420306.172413793,2565.41040377247,"SK4 2AD","SK4","2AD","SK42AD"
64697,"SK42AX","E01005853","9E89103E-0E6C-2C71-E053-A03BA40A7146","Public Park Or Garden",169676.611000003,180.46883,9,400314,57.8965517241379,"Less than or equal to 300m",213.236562275862,142309.817872416,9.62068965517242,420306.172413793,2565.41040377247,"SK4 2AX","SK4","2AX","SK42AX"
64698,"SK42BP","E01005857","9E89103E-0E6C-2C71-E053-A03BA40A7146","Public Park Or Garden",169676.611000003,215.2301,9,374342,58,"Less than or equal to 300m",214.084574615385,136245.814584617,10.1538461538462,441938.884615385,2565.41040377247,"SK4 2BP","SK4","2BP","SK42BP"
64699,"SK42DR","E01005857","9E89103E-0E6C-2C71-E053-A03BA40A7146","Public Park Or Garden",169676.611000003,218.04816,9,374342,58,"Less than or equal to 300m",214.084574615385,136245.814584617,10.1538461538462,441938.884615385,2565.41040377247,"SK4 2DR","SK4","2DR","SK42DR"
64700,"SK42NQ","E01005861","9E8910DC-11E7-2C71-E053-A03BA40A7146","Public Park Or Garden",41729.9500500008,286.68625,8,314452,35.5238095238095,"Less than or equal to 300m",176.979564571429,42523.4306452388,7.26190476190476,300386.666666667,2698.65301587302,"SK4 2NQ","SK4","2NQ","SK42NQ"
64701,"SK42QE","E01005860","9E8910DC-11E7-2C71-E053-A03BA40A7146","Public Park Or Garden",41729.9500500008,347.0389,6,128512,62.96,"300-600m",450.17627,32214.7333580007,7.36,204535.6,2698.65301587302,"SK4 2QE","SK4","2QE","SK42QE"
64702,"SK44QW","E01005866","9E8910EE-186B-2C71-E053-A03BA40A7146","Public Park Or Garden",17020.2212499986,573.44745,6,433523,44.4615384615385,"300-600m",454.917881538462,37003.0146769222,6.05128205128205,422860.871794872,3766.27790727791,"SK4 4QW","SK4","4QW","SK44QW"
64703,"SK45DR","E01005862","9E8910DC-0DD7-2C71-E053-A03BA40A7146","Playing Field",9421.70920000153,289.23346,7,462193,72.2857142857143,"Less than or equal to 300m",367.70838047619,37539.4270523818,5.80952380952381,494857.428571429,3469.26404151404,"SK4 5DR","SK4","5DR","SK45DR"
68025,"SK42PP","E01005861","9E8910DC-11E7-2C71-E053-A03BA40A7146","Public Park Or Garden",41729.9500500008,233.23808,7,215225,35.5238095238095,"Less than or equal to 300m",176.979564571429,42523.4306452388,7.26190476190476,300386.666666667,2698.65301587302,"SK4 2PP","SK4","2PP","SK42PP"
68026,"SK42PX","E01005861","9E8910DC-11E7-2C71-E053-A03BA40A7146","Public Park Or Garden",41729.9500500008,171.51093,6,205803,35.5238095238095,"Less than or equal to 300m",176.979564571429,42523.4306452388,7.26190476190476,300386.666666667,2698.65301587302,"SK4 2PX","SK4","2PX","SK42PX"
70958,"SK42NA","E01005861","9E8910DC-11E7-2C71-E053-A03BA40A7146","Public Park Or Garden",41729.9500500008,162.3607,6,287747,35.5238095238095,"Less than or equal to 300m",176.979564571429,42523.4306452388,7.26190476190476,300386.666666667,2698.65301587302,"SK4 2NA","SK4","2NA","SK42NA"
70959,"SK44DD","E01005867","9E8910DB-4D64-2C71-E053-A03BA40A7146","Playing Field",17889.4960000008,293.5183,5,153565,44.8181818181818,"Less than or equal to 300m",197.78320669697,18317.1197515155,6.60606060606061,281524.242424242,3928.49028749029,"SK4 4DD","SK4","4DD","SK44DD"
70960,"SK44NA","E01005863","9E8910EE-186B-2C71-E053-A03BA40A7146","Public Park Or Garden",17020.2212499986,542.2195,6,147675,50.8611111111111,"300-600m",361.848792861111,11093.4400944453,6.41666666666667,508404.138888889,3766.27790727791,"SK4 4NA","SK4","4NA","SK44NA"
75678,"SK43PS","E01005868","9E8910DB-4A74-2C71-E053-A03BA40A7146","Playing Field",38555.6443999934,136.19104,7,256580,61.1923076923077,"Less than or equal to 300m",143.181537192308,44054.7052115328,7.11538461538462,340286.076923077,3580.45036670646,"SK4 3PS","SK4","3PS","SK43PS"
75679,"SK44PL","E01005864","9E8910EE-186B-2C71-E053-A03BA40A7146","Public Park Or Garden",17020.2212499986,108.37435,4,126817,49.6111111111111,"Less than or equal to 300m",142.652264083333,15424.9414236102,4.5,228464.75,3766.27790727791,"SK4 4PL","SK4","4PL","SK44PL"
