"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
4840,"SN82RJ","E01031874","9E891044-B639-2C71-E053-A03BA40A7146","Public Park Or Garden",6565.90139999841,296.3191,2,58524,34.5333333333333,"Less than or equal to 300m",358.3313838,32792.9364911075,1.55555555555556,49553.3777777778,859.922807017543,"SN8 2RJ","SN8","2RJ","SN82RJ"
10199,"SN81BQ","E01031861","9E89103C-C73B-2C71-E053-A03BA40A7146","Playing Field",16216.2730000002,443.42755,4,75354,39.6119402985075,"300-600m",227.152791776119,24913.5429373116,3.59701492537313,80941.4776119403,1879.0638681592,"SN8 1BQ","SN8","1BQ","SN81BQ"
14760,"SN81AA","E01031865","9E891041-FC82-2C71-E053-A03BA40A7146","Public Park Or Garden",8389.09395000228,241.6278,4,75354,44.8260869565217,"Less than or equal to 300m",269.590364565217,14883.7902717405,2.91304347826087,54109.9130434782,2236.17425088132,"SN8 1AA","SN8","1AA","SN81AA"
25034,"SN84AD","E01031865","9E8910E1-1B02-2C71-E053-A03BA40A7146","Playing Field",20837.2619000005,91.400215,3,59137,44.8260869565217,"Less than or equal to 300m",269.590364565217,14883.7902717405,2.91304347826087,54109.9130434782,2462.08541531473,"SN8 4AD","SN8","4AD","SN84AD"
25035,"SN84WL","E01031865","9E8910E1-1B02-2C71-E053-A03BA40A7146","Playing Field",20837.2619000005,418.38977,3,59137,44.8260869565217,"300-600m",269.590364565217,14883.7902717405,2.91304347826087,54109.9130434782,2462.08541531473,"SN8 4WL","SN8","4WL","SN84WL"
36345,"SN82JD","E01031873","9E89103D-7044-2C71-E053-A03BA40A7146","Public Park Or Garden",493.153849999534,269.0818,1,493,20.378947368421,"Less than or equal to 300m",769.853284548781,25377.6964792677,1.01219512195122,26010.9268292683,590.98947368421,"SN8 2JD","SN8","2JD","SN82JD"
36346,"SN82RB","E01031873","9E8910E1-8B80-2C71-E053-A03BA40A7146","Playing Field",51958.8467499948,27.018513,1,51958,20.378947368421,"Less than or equal to 300m",769.853284548781,25377.6964792677,1.01219512195122,26010.9268292683,1040.51929824561,"SN8 2RB","SN8","2RB","SN82RB"
38490,"SN82EA","E01031841","9E89103A-34F8-2C71-E053-A03BA40A7146","Public Park Or Garden",1574.61405000081,222.46349,3,51046,30.4354838709677,"Less than or equal to 300m",234.959345673913,12136.1126369573,2.78260869565217,47338.8695652174,913.064516129032,"SN8 2EA","SN8","2EA","SN82EA"
39383,"SN83BP","E01031847","9E8910E1-79CA-2C71-E053-A03BA40A7146","Playing Field",17708.7861500034,354.22733,2,21304,30.741935483871,"300-600m",877.346892645161,7898.93136854893,1.59677419354839,15734.8548387097,522.612903225806,"SN8 3BP","SN8","3BP","SN83BP"
39384,"SN83BT","E01031847","9E89103D-AA7E-2C71-E053-A03BA40A7146","Playing Field",3595.81044999952,605.17847,2,21304,30.741935483871,"600-900m",877.346892645161,7898.93136854893,1.59677419354839,15734.8548387097,1291.16129032258,"SN8 3BT","SN8","3BT","SN83BT"
43576,"SN82JB","E01031873","9E89103D-7044-2C71-E053-A03BA40A7146","Public Park Or Garden",493.153849999534,400.70563,1,493,20.378947368421,"300-600m",769.853284548781,25377.6964792677,1.01219512195122,26010.9268292683,590.98947368421,"SN8 2JB","SN8","2JB","SN82JB"
45483,"SN84EW","E01031871","9E8910E1-22BA-2C71-E053-A03BA40A7146","Playing Field",14636.0716999953,436.93134,2,21471,21.25,"300-600m",1528.15532888889,9889.74498147932,1.33333333333333,12167.7407407407,297.5,"SN8 4EW","SN8","4EW","SN84EW"
46136,"SN81TN","E01031864","9E8910E1-244F-2C71-E053-A03BA40A7146","Playing Field",7424.78670000127,379.10422,1,7424,34.5675675675676,"300-600m",495.629615135135,7555.09849054195,1.27027027027027,9691.2972972973,1106.16216216216,"SN8 1TN","SN8","1TN","SN81TN"
56350,"SN81AP","E01031863","9E891041-FC82-2C71-E053-A03BA40A7146","Public Park Or Garden",8389.09395000228,365.0055,4,75354,18.05,"300-600m",376.595772266667,9432.71782333533,3.15,55329.25,2236.17425088132,"SN8 1AP","SN8","1AP","SN81AP"
56351,"SN81UE","E01031863","9E891041-FC82-2C71-E053-A03BA40A7146","Public Park Or Garden",8389.09395000228,756.03436,2,15813,18.05,"600-900m",376.595772266667,9432.71782333533,3.15,55329.25,2236.17425088132,"SN8 1UE","SN8","1UE","SN81UE"
56352,"SN83AL","E01031847","9E89103D-AA7E-2C71-E053-A03BA40A7146","Playing Field",3595.81044999952,261.00766,2,21304,30.741935483871,"Less than or equal to 300m",877.346892645161,7898.93136854893,1.59677419354839,15734.8548387097,1291.16129032258,"SN8 3AL","SN8","3AL","SN83AL"
60797,"SN82BB","E01031861","9E8910E1-1B37-2C71-E053-A03BA40A7146","Playing Field",29911.3868999964,130.91983,3,78609,39.6119402985075,"Less than or equal to 300m",227.152791776119,24913.5429373116,3.59701492537313,80941.4776119403,1201.50932835821,"SN8 2BB","SN8","2BB","SN82BB"
64776,"SN81PH","E01031862","9E8910E1-1B02-2C71-E053-A03BA40A7146","Playing Field",20837.2619000005,305.73517,4,75354,46.1875,"300-600m",381.22314484375,17204.8550015627,3.75,71028.0625,2462.08541531473,"SN8 1PH","SN8","1PH","SN81PH"
