"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"SN91AA",0,100,4426811,5345.822,"81B33382-211A-33F1-E053-A03BA40A2BEA","4B980B61-B3F3-4AD1-B4E6-E15C5E7C3D8E","SN9","1AA",60.18629,-1.439075
"SN91AB",0,100,4426811,5345.822,"81B33382-211A-33F1-E053-A03BA40A2BEA","4B980B61-B3F3-4AD1-B4E6-E15C5E7C3D8E","SN9","1AB",60.18629,-1.439075
"SN91AD",-1.733631,51.41967,141.8257,8389.094,"81B332FF-F7E6-33F1-E053-A03BA40A2BEA","3F77E425-3418-472D-BC50-682580DF5DD2","SN9","1AD",51.41952,-1.731599
"SN91AE",-1.733631,51.41967,141.8257,8389.094,"81B332FF-F7E6-33F1-E053-A03BA40A2BEA","3F77E425-3418-472D-BC50-682580DF5DD2","SN9","1AE",51.41952,-1.731599
"SN91AF",-1.733631,51.41967,141.8257,8389.094,"81B332FF-F7E6-33F1-E053-A03BA40A2BEA","3F77E425-3418-472D-BC50-682580DF5DD2","SN9","1AF",51.41952,-1.731599
"SN91AG",0,100,4426811,5345.822,"81B33382-211A-33F1-E053-A03BA40A2BEA","4B980B61-B3F3-4AD1-B4E6-E15C5E7C3D8E","SN9","1AG",60.18629,-1.439075
"SN91AH",-1.733631,51.41967,141.8257,8389.094,"81B332FF-F7E6-33F1-E053-A03BA40A2BEA","3F77E425-3418-472D-BC50-682580DF5DD2","SN9","1AH",51.41952,-1.731599
"SN95AA",-1.765622,51.33931,4545.4,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AA",51.36856,-1.719891
"SN95AB",-1.765607,51.33936,4541.092,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AB",51.36856,-1.719891
"SN95AD",-1.765161,51.33955,4503.778,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AD",51.36856,-1.719891
"SN95AE",-1.764614,51.33982,4455.843,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AE",51.36856,-1.719891
"SN95AF",-1.763325,51.34019,4364.652,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AF",51.36856,-1.719891
"SN95AG",-1.764445,51.33926,4493.192,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AG",51.36856,-1.719891
"SN95AH",-1.768107,51.33898,4693.79,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AH",51.36856,-1.719891
"SN95AJ",-1.763074,51.34065,4315.605,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AJ",51.36856,-1.719891
"SN95AL",-1.763221,51.33992,4381.203,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AL",51.36856,-1.719891
"SN95AN",-1.766305,51.33485,4943.936,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AN",51.36856,-1.719891
"SN95AP",-1.761839,51.34083,4242.128,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AP",51.36856,-1.719891
"SN95AQ",-1.762834,51.33994,4361.41,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AQ",51.36856,-1.719891
"SN95AR",-1.764667,51.3407,4389.419,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AR",51.36856,-1.719891
"SN95AS",-1.761269,51.3426,4073.22,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AS",51.36856,-1.719891
"SN95AT",-1.76276,51.34301,4114.747,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AT",51.36856,-1.719891
"SN95AU",-1.764238,51.34317,4177.849,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AU",51.36856,-1.719891
"SN95AW",-1.763953,51.34007,4404.652,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AW",51.36856,-1.719891
"SN95AX",-1.763122,51.3424,4179.972,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AX",51.36856,-1.719891
"SN95AY",-1.764459,51.34211,4269.602,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AY",51.36856,-1.719891
"SN95AZ",-1.762336,51.34176,4191.256,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5AZ",51.36856,-1.719891
"SN95BA",-1.763556,51.3418,4248.219,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BA",51.36856,-1.719891
"SN95BB",-1.759271,51.34112,4096.978,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BB",51.36856,-1.719891
"SN95BD",-1.758729,51.3425,3958.509,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BD",51.36856,-1.719891
"SN95BE",-1.771697,51.33887,4883.021,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BE",51.36856,-1.719891
"SN95BF",-1.771697,51.33887,4883.021,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BF",51.36856,-1.719891
"SN95BG",-1.761691,51.34433,3960.064,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BG",51.36856,-1.719891
"SN95BH",-1.761689,51.3428,4077.797,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BH",51.36856,-1.719891
"SN95BJ",-1.758152,51.3403,4115.333,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BJ",51.36856,-1.719891
"SN95BL",-1.758974,51.33945,4223.904,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BL",51.36856,-1.719891
"SN95BN",-1.759434,51.33953,4238.311,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BN",51.36856,-1.719891
"SN95BP",-1.760814,51.33917,4330.902,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BP",51.36856,-1.719891
"SN95BQ",-1.761192,51.34368,3984.508,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BQ",51.36856,-1.719891
"SN95BS",-1.760679,51.33743,4472.365,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BS",51.36856,-1.719891
"SN95BT",-1.760509,51.34259,4036.246,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BT",51.36856,-1.719891
"SN95BU",-1.760937,51.34311,4016.664,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BU",51.36856,-1.719891
"SN95BW",-1.759913,51.33836,4359.212,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BW",51.36856,-1.719891
"SN95BX",-1.761388,51.34196,4129.584,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BX",51.36856,-1.719891
"SN95BY",-1.761826,51.34331,4045.229,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BY",51.36856,-1.719891
"SN95BZ",-1.759134,51.33633,4501.953,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5BZ",51.36856,-1.719891
"SN95DA",-1.760895,51.33725,4497.358,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DA",51.36856,-1.719891
"SN95DB",-1.763402,51.33837,4516.219,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DB",51.36856,-1.719891
"SN95DD",-1.771689,51.33754,4983.846,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DD",51.36856,-1.719891
"SN95DE",-1.763008,51.33948,4406.921,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DE",51.36856,-1.719891
"SN95DF",-1.758781,51.33537,4573.141,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DF",51.36856,-1.719891
"SN95DG",-1.765252,51.33862,4583.166,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DG",51.36856,-1.719891
"SN95DH",-1.764951,51.33856,4574.015,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DH",51.36856,-1.719891
"SN95DJ",-1.764978,51.3389,4547.634,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DJ",51.36856,-1.719891
"SN95DL",-1.765972,51.33827,4645.737,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DL",51.36856,-1.719891
"SN95DN",-1.765754,51.33866,4604.222,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DN",51.36856,-1.719891
"SN95DP",-1.769131,51.33812,4810.964,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DP",51.36856,-1.719891
"SN95DQ",-1.764301,51.34021,4410.168,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DQ",51.36856,-1.719891
"SN95DR",-1.769851,51.33768,4881.555,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DR",51.36856,-1.719891
"SN95DS",-1.773327,51.33713,5097.793,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DS",51.36856,-1.719891
"SN95DT",-1.774685,51.33838,5073.589,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DT",51.36856,-1.719891
"SN95DU",-1.773596,51.33803,5043.474,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DU",51.36856,-1.719891
"SN95DW",-1.766567,51.33706,4772.422,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DW",51.36856,-1.719891
"SN95DX",-1.77078,51.33848,4865.864,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DX",51.36856,-1.719891
"SN95DY",-1.770648,51.33908,4813.361,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DY",51.36856,-1.719891
"SN95DZ",-1.771309,51.33894,4857.77,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5DZ",51.36856,-1.719891
"SN95EA",-1.771476,51.34004,4784.549,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EA",51.36856,-1.719891
"SN95EB",-1.770943,51.34028,4738.994,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EB",51.36856,-1.719891
"SN95ED",-1.769925,51.34008,4701.305,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5ED",51.36856,-1.719891
"SN95EE",-1.769712,51.33951,4733.2,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EE",51.36856,-1.719891
"SN95EF",-1.768682,51.33892,4726.464,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EF",51.36856,-1.719891
"SN95EG",-1.767864,51.33884,4692.33,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EG",51.36856,-1.719891
"SN95EH",-1.769173,51.34105,4590.241,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EH",51.36856,-1.719891
"SN95EJ",-1.77219,51.34068,4774.602,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EJ",51.36856,-1.719891
"SN95EL",-1.771154,51.3411,4690.216,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EL",51.36856,-1.719891
"SN95EN",-1.766111,51.33921,4577.667,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EN",51.36856,-1.719891
"SN95EP",-1.773941,51.34079,4860.51,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EP",51.36856,-1.719891
"SN95EQ",-1.767604,51.33922,4650.012,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EQ",51.36856,-1.719891
"SN95ER",-1.768697,51.34158,4526.433,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5ER",51.36856,-1.719891
"SN95ES",-1.766856,51.34024,4533.536,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5ES",51.36856,-1.719891
"SN95ET",-1.766256,51.33974,4542.404,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5ET",51.36856,-1.719891
"SN95EU",-1.766251,51.33974,4542.628,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EU",51.36856,-1.719891
"SN95EW",-1.774059,51.34009,4916.693,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EW",51.36856,-1.719891
"SN95EX",-1.766009,51.34033,4484.552,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EX",51.36856,-1.719891
"SN95EY",-1.772249,51.33756,5010.531,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EY",51.36856,-1.719891
"SN95EZ",-1.766251,51.33974,4542.628,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5EZ",51.36856,-1.719891
"SN95FA",-1.765002,51.33783,4635.307,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5FA",51.36856,-1.719891
"SN95FB",-1.770955,51.34169,4636.528,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5FB",51.36856,-1.719891
"SN95FD",-1.772149,51.34121,4734.571,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5FD",51.36856,-1.719891
"SN95GP",-1.766251,51.33974,4542.628,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5GP",51.36856,-1.719891
"SN95HA",-1.762998,51.34426,4032.269,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5HA",51.36856,-1.719891
"SN95HB",-1.76268,51.34473,3981.144,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5HB",51.36856,-1.719891
"SN95HD",-1.766888,51.34163,4429.398,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5HD",51.36856,-1.719891
"SN95HE",-1.766755,51.33958,4580.082,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5HE",51.36856,-1.719891
"SN95HF",-1.767295,51.34066,4523.576,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5HF",51.36856,-1.719891
"SN95HG",-1.776857,51.34146,4972.53,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5HG",51.36856,-1.719891
"SN95HH",-1.767022,51.335,4963.652,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5HH",51.36856,-1.719891
"SN95HJ",-1.763487,51.3358,4736.385,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5HJ",51.36856,-1.719891
"SN95HL",-1.766852,51.33457,4992.155,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5HL",51.36856,-1.719891
"SN95HN",-1.766829,51.33337,5092.589,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5HN",51.36856,-1.719891
"SN95HP",-1.762557,51.3352,4747.667,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5HP",51.36856,-1.719891
"SN95HQ",-1.776676,51.34218,4914.781,10420.96,"81B3347F-26F1-33F1-E053-A03BA40A2BEA","C153AFE0-EE05-42D4-A76F-57C08B946E58","SN9","5HQ",51.36856,-1.719891
