"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"SO34HF",-1.300929,50.91468,531.1756,1218.857,"81B332FC-B594-33F1-E053-A03BA40A2BEA","0E3227A7-C197-4235-8ED0-DE82C1F5189E","SO3","4HF",50.91676,-1.307745
"SO34HG",-1.303117,50.91204,412.9125,1996.29,"81B3347F-3049-33F1-E053-A03BA40A2BEA","4F8C051C-01AA-451D-BE98-61F2D010351E","SO3","4HG",50.91228,-1.308994
"SO34HH",-1.303206,50.91178,409.6085,1996.29,"81B3347F-3049-33F1-E053-A03BA40A2BEA","4F8C051C-01AA-451D-BE98-61F2D010351E","SO3","4HH",50.91228,-1.308994
"SO34HJ",-1.30255,50.91093,476.082,1996.29,"81B3347F-3049-33F1-E053-A03BA40A2BEA","4F8C051C-01AA-451D-BE98-61F2D010351E","SO3","4HJ",50.91228,-1.308994
"SO34HL",-1.302543,50.91043,496.6419,1996.29,"81B3347F-3049-33F1-E053-A03BA40A2BEA","4F8C051C-01AA-451D-BE98-61F2D010351E","SO3","4HL",50.91228,-1.308994
"SO34HN",-1.303617,50.91,454.2452,1996.29,"81B3347F-3049-33F1-E053-A03BA40A2BEA","4F8C051C-01AA-451D-BE98-61F2D010351E","SO3","4HN",50.91228,-1.308994
"SO34HP",-1.304632,50.90866,505.7012,1996.29,"81B3347F-3049-33F1-E053-A03BA40A2BEA","4F8C051C-01AA-451D-BE98-61F2D010351E","SO3","4HP",50.91228,-1.308994
"SO34HQ",-1.304499,50.90806,564.8802,1996.29,"81B3347F-3049-33F1-E053-A03BA40A2BEA","4F8C051C-01AA-451D-BE98-61F2D010351E","SO3","4HQ",50.91228,-1.308994
"SO34HR",-1.300623,50.91047,620.4883,1996.29,"81B3347F-3049-33F1-E053-A03BA40A2BEA","4F8C051C-01AA-451D-BE98-61F2D010351E","SO3","4HR",50.91228,-1.308994
"SO34HS",-1.299612,50.91053,685.806,1996.29,"81B3347F-3049-33F1-E053-A03BA40A2BEA","4F8C051C-01AA-451D-BE98-61F2D010351E","SO3","4HS",50.91228,-1.308994
"SO34HT",-1.30101,50.91024,604.1103,1996.29,"81B3347F-3049-33F1-E053-A03BA40A2BEA","4F8C051C-01AA-451D-BE98-61F2D010351E","SO3","4HT",50.91228,-1.308994
"SO34HU",-1.300507,50.90961,664.7941,1996.29,"81B3347F-3049-33F1-E053-A03BA40A2BEA","4F8C051C-01AA-451D-BE98-61F2D010351E","SO3","4HU",50.91228,-1.308994
"SO34HW",-1.298982,50.90984,655.5836,1665116,"81B33350-024A-33F1-E053-A03BA40A2BEA","73B5E87E-A487-4031-BBBF-445FEEA508CB","SO3","4HW",50.9046,-1.294679
