"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
4915,"SO321JS","E01023221","9E89103D-A362-2C71-E053-A03BA40A7146","Playing Field",87056.4198499902,254.5938,4,126716,19.7701149425287,"Less than or equal to 300m",309.695982977012,40141.6453482701,3.94252873563218,125567.402298851,2240.23196457577,"SO32 1JS","SO32","1JS","SO321JS"
4916,"SO321JW","E01023221","9E89103D-A362-2C71-E053-A03BA40A7146","Playing Field",87056.4198499902,216.76024,4,126716,19.7701149425287,"Less than or equal to 300m",309.695982977012,40141.6453482701,3.94252873563218,125567.402298851,2240.23196457577,"SO32 1JW","SO32","1JW","SO321JW"
4917,"SO321PR","E01023221","9E89103D-A362-2C71-E053-A03BA40A7146","Playing Field",87056.4198499902,262.0687,4,126716,19.7701149425287,"Less than or equal to 300m",309.695982977012,40141.6453482701,3.94252873563218,125567.402298851,2240.23196457577,"SO32 1PR","SO32","1PR","SO321PR"
4918,"SO322LY","E01023273","9E8910E0-51DC-2C71-E053-A03BA40A7146","Playing Field",12505.09505,659.31177,3,30403,27.2363636363636,"600-900m",258.706178363636,11100.9951663639,1.45454545454545,25661.0727272727,2488.23826645311,"SO32 2LY","SO32","2LY","SO322LY"
25067,"SO322JJ","E01023271","9E8910E0-5F5F-2C71-E053-A03BA40A7146","Playing Field",10220.07065,254.92155,4,166165,22.9622641509434,"Less than or equal to 300m",302.696466660377,68237.3213415069,2.77358490566038,132253.981132075,137.77358490566,"SO32 2JJ","SO32","2JJ","SO322JJ"
36368,"SO321FP","E01023220","9E8911C5-1E04-2C71-E053-A03BA40A7146","Playing Field",33546.7193000024,523.8826,3,122958,23.2386363636364,"300-600m",265.592683477273,59091.5101454485,3.27272727272727,121143.170454545,298.830439223698,"SO32 1FP","SO32","1FP","SO321FP"
36369,"SO322QZ","E01023276","9E8910E0-56C3-2C71-E053-A03BA40A7146","Playing Field",19475.0950999948,889.1389,1,19475,29.8070175438596,"600-900m",378.934970017544,18985.9722894688,1.08771929824561,20571.9298245614,2466.68102073365,"SO32 2QZ","SO32","2QZ","SO322QZ"
37498,"SO321QT","E01023223","9E8910A3-93D5-2C71-E053-A03BA40A7146","Playing Field",3758.75899999742,297.40546,4,130219,22.7910447761194,"Less than or equal to 300m",204.549902,20361.9744701494,3.07462686567164,58823.6119402985,1617.43609028942,"SO32 1QT","SO32","1QT","SO321QT"
37499,"SO323QS","E01023235","9E8910E0-5A56-2C71-E053-A03BA40A7146","Playing Field",18085.1066000066,440.50085,1,18085,16.491935483871,"300-600m",963.589234657534,19300.7642404149,1,19300.6575342466,760.761290322581,"SO32 3QS","SO32","3QS","SO323QS"
40932,"SO322GG","E01022653","9E89103F-9910-2C71-E053-A03BA40A7146","Public Park Or Garden",61649.0829000118,957.74945,1,61649,16.5643564356436,"900-1800m",561.25066760396,55112.2801089153,1.45544554455446,135006.861386139,3809.36673770015,"SO32 2GG","SO32","2GG","SO322GG"
42728,"SO321RT","E01023222","9E891045-93BC-2C71-E053-A03BA40A7146","Playing Field",3999.9385499974,196.78668,3,43162,15.6336633663366,"Less than or equal to 300m",346.905517903226,20995.0687096736,3.51612903225806,97081.0806451613,831.028816314467,"SO32 1RT","SO32","1RT","SO321RT"
