"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
4951,"SP47SA","E01031978","9E891045-0902-2C71-E053-A03BA40A7146","Playing Field",17408.6070500026,95.80188,3,143563,48.5428571428571,"Less than or equal to 300m",141.4267172,56853.3113900018,2.54285714285714,146177.8,3605.72862318841,"SP4 7SA","SP4","7SA","SP47SA"
14830,"SP47DH","E01031974","9E891092-B8F5-2C71-E053-A03BA40A7146","Public Park Or Garden",432803.315949995,73,3,547029,31.3658536585366,"Less than or equal to 300m",359.857404292683,252288.518718291,2.80487804878049,514124.073170732,3639.42118038354,"SP4 7DH","SP4","7DH","SP47DH"
18804,"SP47JR","E01031976","9E891045-0902-2C71-E053-A03BA40A7146","Playing Field",17408.6070500026,307.82626,3,143563,45.2826086956522,"300-600m",261.564729586957,26868.3083086992,2.65217391304348,114641.608695652,3605.72862318841,"SP4 7JR","SP4","7JR","SP47JR"
18805,"SP47RE","E01031979","9E891045-0902-2C71-E053-A03BA40A7146","Playing Field",17408.6070500026,374.36346,5,607443,29.7536231884058,"300-600m",388.583688245614,238231.489493858,3.78947368421053,519899.403508772,3605.72862318841,"SP4 7RE","SP4","7RE","SP47RE"
22194,"SP47EU","E01031979","9E891092-B8F5-2C71-E053-A03BA40A7146","Public Park Or Garden",432803.315949995,96.74709,2,463880,29.7536231884058,"Less than or equal to 300m",388.583688245614,238231.489493858,3.78947368421053,519899.403508772,3639.42118038354,"SP4 7EU","SP4","7EU","SP47EU"
25097,"SP47HY","E01031979","9E891045-0902-2C71-E053-A03BA40A7146","Playing Field",17408.6070500026,476.05145,5,607443,29.7536231884058,"300-600m",388.583688245614,238231.489493858,3.78947368421053,519899.403508772,3605.72862318841,"SP4 7HY","SP4","7HY","SP47HY"
27676,"SP46SH","E01032011","9E891096-5D71-2C71-E053-A03BA40A7146","Playing Field",14796.495600004,413.40054,2,47881,26.8802395209581,"300-600m",290.350744495798,24343.6292953831,2,49257.9831932773,1800.97604790419,"SP4 6SH","SP4","6SH","SP46SH"
27677,"SP48DL","E01031997","9E891092-B8AF-2C71-E053-A03BA40A7146","Playing Field",26013.6236500018,353.11188,2,50780,52.8846153846154,"300-600m",312.237210153846,25965.6892576939,1.65384615384615,42206.8076923077,4760.10519504881,"SP4 8DL","SP4","8DL","SP48DL"
29952,"SP47JW","E01031976","9E891045-0902-2C71-E053-A03BA40A7146","Playing Field",17408.6070500026,131.3697,3,143563,45.2826086956522,"Less than or equal to 300m",261.564729586957,26868.3083086992,2.65217391304348,114641.608695652,3605.72862318841,"SP4 7JW","SP4","7JW","SP47JW"
31913,"SP40HS","E01032033","9E891092-B91B-2C71-E053-A03BA40A7146","Public Park Or Garden",344790.09809999,82.006096,1,344790,23.1147540983607,"Less than or equal to 300m",499.38074952,175169.581327996,1.68,287910.36,277.377049180328,"SP4 0HS","SP4","0HS","SP40HS"
