"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"SP84AA",-2.27512,51.03733,5835.125,4620.151,"81B33338-ED9A-33F1-E053-A03BA40A2BEA","3EEE310E-C58E-4188-9ABA-22EF257B111C","SP8","4AA",51.00729,-2.206715
"SP84AB",-2.273426,51.03705,5720.447,4620.151,"81B33338-ED9A-33F1-E053-A03BA40A2BEA","3EEE310E-C58E-4188-9ABA-22EF257B111C","SP8","4AB",51.00729,-2.206715
"SP84AD",-2.275344,51.03832,5911.245,4620.151,"81B33338-ED9A-33F1-E053-A03BA40A2BEA","3EEE310E-C58E-4188-9ABA-22EF257B111C","SP8","4AD",51.00729,-2.206715
"SP84AE",-2.273786,51.04016,5947.006,4620.151,"81B33338-ED9A-33F1-E053-A03BA40A2BEA","3EEE310E-C58E-4188-9ABA-22EF257B111C","SP8","4AE",51.00729,-2.206715
"SP84AF",-2.27673,51.03868,6013.681,4620.151,"81B33338-ED9A-33F1-E053-A03BA40A2BEA","3EEE310E-C58E-4188-9ABA-22EF257B111C","SP8","4AF",51.00729,-2.206715
"SP84AG",-2.274037,51.03753,5786.064,4620.151,"81B33338-ED9A-33F1-E053-A03BA40A2BEA","3EEE310E-C58E-4188-9ABA-22EF257B111C","SP8","4AG",51.00729,-2.206715
"SP84AH",-2.275111,51.03826,5894.121,4620.151,"81B33338-ED9A-33F1-E053-A03BA40A2BEA","3EEE310E-C58E-4188-9ABA-22EF257B111C","SP8","4AH",51.00729,-2.206715
"SP84AJ",-2.276543,51.03837,5982.815,4620.151,"81B33338-ED9A-33F1-E053-A03BA40A2BEA","3EEE310E-C58E-4188-9ABA-22EF257B111C","SP8","4AJ",51.00729,-2.206715
"SP84AL",-2.274122,51.03907,5891.587,4620.151,"81B33338-ED9A-33F1-E053-A03BA40A2BEA","3EEE310E-C58E-4188-9ABA-22EF257B111C","SP8","4AL",51.00729,-2.206715
"SP84AN",-2.277077,51.03773,5972.949,4620.151,"81B33338-ED9A-33F1-E053-A03BA40A2BEA","3EEE310E-C58E-4188-9ABA-22EF257B111C","SP8","4AN",51.00729,-2.206715
