"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"SR51AB",-1.38301,54.91213,890.223,77128.76,"81B33392-3946-33F1-E053-A03BA40A2BEA","82A1F649-D9C9-46BA-A565-18AD1FD4ABB8","SR5","1AB",54.90439,-1.379475
"SR51AD",-1.382593,54.91384,974.3761,98047.33,"81B33392-3905-33F1-E053-A03BA40A2BEA","2334FC30-ACE9-4B09-B5DA-2E3166012962","SR5","1AD",54.92133,-1.390501
"SR51AE",-1.383847,54.91155,839.3319,77128.76,"81B33392-3946-33F1-E053-A03BA40A2BEA","0F8027FF-3A91-440C-987C-0989A74B2979","SR5","1AE",54.90417,-1.381028
"SR51AH",-1.383344,54.9137,964.0413,98047.33,"81B33392-3905-33F1-E053-A03BA40A2BEA","2334FC30-ACE9-4B09-B5DA-2E3166012962","SR5","1AH",54.92133,-1.390501
"SR51AJ",-1.383136,54.9142,921.9066,98047.33,"81B33392-3905-33F1-E053-A03BA40A2BEA","2334FC30-ACE9-4B09-B5DA-2E3166012962","SR5","1AJ",54.92133,-1.390501
"SR51AL",-1.383847,54.91155,839.3319,77128.76,"81B33392-3946-33F1-E053-A03BA40A2BEA","0F8027FF-3A91-440C-987C-0989A74B2979","SR5","1AL",54.90417,-1.381028
"SR51AP",-1.383712,54.9122,908.3472,77128.76,"81B33392-3946-33F1-E053-A03BA40A2BEA","8550FDFC-162B-43BC-BC5E-BB9646E8832A","SR5","1AP",54.90432,-1.37999
"SR51AQ",-1.381982,54.91418,963.8573,98047.33,"81B33392-3905-33F1-E053-A03BA40A2BEA","2334FC30-ACE9-4B09-B5DA-2E3166012962","SR5","1AQ",54.92133,-1.390501
"SR51AR",-1.385407,54.91155,867.0779,77128.76,"81B33392-3946-33F1-E053-A03BA40A2BEA","0F8027FF-3A91-440C-987C-0989A74B2979","SR5","1AR",54.90417,-1.381028
"SR51AS",-1.384277,54.91094,780.1941,77128.76,"81B33392-3946-33F1-E053-A03BA40A2BEA","0F8027FF-3A91-440C-987C-0989A74B2979","SR5","1AS",54.90417,-1.381028
"SR51AT",-1.385208,54.91436,846.1252,98047.33,"81B33392-3905-33F1-E053-A03BA40A2BEA","2334FC30-ACE9-4B09-B5DA-2E3166012962","SR5","1AT",54.92133,-1.390501
"SR51AW",-1.386925,54.91426,819.0984,98047.33,"81B33392-3905-33F1-E053-A03BA40A2BEA","2334FC30-ACE9-4B09-B5DA-2E3166012962","SR5","1AW",54.92133,-1.390501
"SR51AX",-1.38698,54.91066,777.2547,1837.968,"81B3347B-280A-33F1-E053-A03BA40A2BEA","A5527631-ED5C-4000-A057-4C53C00CD26A","SR5","1AX",54.90872,-1.398658
"SR51AY",-1.38542,54.91066,773.4429,77128.76,"81B33392-3946-33F1-E053-A03BA40A2BEA","0F8027FF-3A91-440C-987C-0989A74B2979","SR5","1AY",54.90417,-1.381028
"SR51AZ",-1.385702,54.91165,882.8633,77128.76,"81B33392-3946-33F1-E053-A03BA40A2BEA","0F8027FF-3A91-440C-987C-0989A74B2979","SR5","1AZ",54.90417,-1.381028
"SR51BA",-1.38788,54.91189,774.0148,1837.968,"81B3347B-280A-33F1-E053-A03BA40A2BEA","A5527631-ED5C-4000-A057-4C53C00CD26A","SR5","1BA",54.90872,-1.398658
"SR51BB",-1.386179,54.91203,878.4722,1837.968,"81B3347B-280A-33F1-E053-A03BA40A2BEA","A5527631-ED5C-4000-A057-4C53C00CD26A","SR5","1BB",54.90872,-1.398658
"SR51BD",-1.385949,54.91176,880.222,1837.968,"81B3347B-280A-33F1-E053-A03BA40A2BEA","A5527631-ED5C-4000-A057-4C53C00CD26A","SR5","1BD",54.90872,-1.398658
