"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
4973,"SR82AX","E01020733","9E8910E6-34F5-2C71-E053-A03BA40A7146","Playing Field",121235.783800007,535.1346,2,168054,59.6315789473684,"300-600m",495.989858421053,85985.483184216,2,168054,4243.06155014823,"SR8 2AX","SR8","2AX","SR82AX"
10296,"SR83JY","E01020751","9E891046-FFC7-2C71-E053-A03BA40A7146","Public Park Or Garden",26984.959350002,391.33746,3,104283,43.1190476190476,"300-600m",440.366997142857,53991.8208535699,2.66666666666667,91570.8571428571,2366.12382039348,"SR8 3JY","SR8","3JY","SR83JY"
14850,"SR84JG","E01020767","9E8910E6-5995-2C71-E053-A03BA40A7146","Public Park Or Garden",11785.4399999959,50,6,165240,27.0746268656716,"Less than or equal to 300m",164.910606716418,32038.79286418,5.67164179104478,154881.28358209,2850.20746595968,"SR8 4JG","SR8","4JG","SR84JG"
14851,"SR84NX","E01020764","9E8910C9-1D0D-2C71-E053-A03BA40A7146","Playing Field",32030.6250500172,58.137768,6,165240,39.3333333333333,"Less than or equal to 300m",91.3176477666667,29569.2679866698,5.73333333333333,163028,505.491666666667,"SR8 4NX","SR8","4NX","SR84NX"
14852,"SR84RJ","E01020766","9E8910E6-59B6-2C71-E053-A03BA40A7146","Public Park Or Garden",8295.79015000127,259.83264,6,165240,27.7708333333333,"Less than or equal to 300m",186.002877729167,25260.9761947961,5.97916666666667,165067.1875,2688.17947277509,"SR8 4RJ","SR8","4RJ","SR84RJ"
18817,"SR82JP","E01020771","9E8910E6-38AC-2C71-E053-A03BA40A7146","Public Park Or Garden",46818.4825000043,300.04166,2,121647,56.8947368421053,"300-600m",186.034839263158,46818.4825000042,1.63157894736842,103848.315789474,5968.4404610868,"SR8 2JP","SR8","2JP","SR82JP"
18818,"SR85LG","E01020745","9E8910E6-59B6-2C71-E053-A03BA40A7146","Public Park Or Garden",8295.79015000127,605.62775,6,208522,38.7575757575758,"600-900m",606.716940757576,22408.9084318195,4.78787878787879,143791.696969697,2688.17947277509,"SR8 5LG","SR8","5LG","SR85LG"
22206,"SR83QE","E01020752","9E891039-1B6A-2C71-E053-A03BA40A7146","Public Park Or Garden",444.638100001101,173.65771,2,69440,16.7142857142857,"Less than or equal to 300m",277.67343652381,25471.1917206344,2.0952380952381,71940.126984127,668.571428571428,"SR8 3QE","SR8","3QE","SR83QE"
22207,"SR84NG","E01020764","9E8910E6-57E7-2C71-E053-A03BA40A7146","Playing Field",13200.3665000013,64.00781,6,165240,39.3333333333333,"Less than or equal to 300m",91.3176477666667,29569.2679866698,5.73333333333333,163028,1589.86147042565,"SR8 4NG","SR8","4NG","SR84NG"
25111,"SR82BT","E01020735","9E8910E6-34F5-2C71-E053-A03BA40A7146","Playing Field",121235.783800007,155.68237,2,168054,43.4545454545455,"Less than or equal to 300m",227.277204090909,121235.783800007,1.93939393939394,165216.484848485,4243.06155014823,"SR8 2BT","SR8","2BT","SR82BT"
25112,"SR84DZ","E01020767","9E8910E6-5729-2C71-E053-A03BA40A7146","Public Park Or Garden",68381.0331500086,282.1099,6,165240,27.0746268656716,"Less than or equal to 300m",164.910606716418,32038.79286418,5.67164179104478,154881.28358209,1080.18687810945,"SR8 4DZ","SR8","4DZ","SR84DZ"
25113,"SR85LN","E01020758","9E8910E6-57E7-2C71-E053-A03BA40A7146","Playing Field",13200.3665000013,554.1065,6,165240,35.225,"300-600m",714.62692225,17838.6362962508,5.55,156534.225,1589.86147042565,"SR8 5LN","SR8","5LN","SR85LN"
27689,"SR82HU","E01020761","9E8910E6-38AC-2C71-E053-A03BA40A7146","Public Park Or Garden",46818.4825000043,595.58545,1,46818,22.1714285714286,"300-600m",723.955771142857,44856.2905821382,1.07142857142857,51389.3857142857,5968.4404610868,"SR8 2HU","SR8","2HU","SR82HU"
29970,"SR83DQ","E01020751","9E891046-FFC7-2C71-E053-A03BA40A7146","Public Park Or Garden",26984.959350002,284.01584,3,104283,43.1190476190476,"Less than or equal to 300m",440.366997142857,53991.8208535699,2.66666666666667,91570.8571428571,2366.12382039348,"SR8 3DQ","SR8","3DQ","SR83DQ"
29971,"SR84JW","E01020767","9E8910E6-5995-2C71-E053-A03BA40A7146","Public Park Or Garden",11785.4399999959,351.02707,5,133693,27.0746268656716,"300-600m",164.910606716418,32038.79286418,5.67164179104478,154881.28358209,2850.20746595968,"SR8 4JW","SR8","4JW","SR84JW"
31924,"SR84AJ","E01020765","9E8910E6-3B1C-2C71-E053-A03BA40A7146","Playing Field",31547.6950999966,150.6154,3,131959,45.4166666666667,"Less than or equal to 300m",163.0891315,31547.6950999966,3.79166666666667,141388.708333333,2433.90458089668,"SR8 4AJ","SR8","4AJ","SR84AJ"
31925,"SR84PF","E01020766","9E8910C9-1D0D-2C71-E053-A03BA40A7146","Playing Field",32030.6250500172,89.6772,6,165240,27.7708333333333,"Less than or equal to 300m",186.002877729167,25260.9761947961,5.97916666666667,165067.1875,505.491666666667,"SR8 4PF","SR8","4PF","SR84PF"
33576,"SR82EP","E01020734","9E8910E6-34F5-2C71-E053-A03BA40A7146","Playing Field",121235.783800007,259.30676,2,168054,44.7777777777778,"Less than or equal to 300m",283.943371888889,93673.8203555613,1.85185185185185,161117.851851852,4243.06155014823,"SR8 2EP","SR8","2EP","SR82EP"
33577,"SR83RB","E01020752","9E891039-1B6A-2C71-E053-A03BA40A7146","Public Park Or Garden",444.638100001101,249.14655,2,69440,16.7142857142857,"Less than or equal to 300m",277.67343652381,25471.1917206344,2.0952380952381,71940.126984127,668.571428571428,"SR8 3RB","SR8","3RB","SR83RB"
36393,"SR82JY","E01020769","9E8910E6-38AC-2C71-E053-A03BA40A7146","Public Park Or Garden",46818.4825000043,560.02234,2,121647,57,"300-600m",562.698108636363,48091.6906613678,2,121647,5968.4404610868,"SR8 2JY","SR8","2JY","SR82JY"
