"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
14871,"SS55BU","E01021938","9E8910E7-528F-2C71-E053-A03BA40A7146","Playing Field",57730.0277500025,513.35175,4,117062,55.5,"300-600m",377.81636,51226.1942821447,2.67857142857143,86838.2142857143,3627.47970544947,"SS5 5BU","SS5","5BU","SS55BU"
33583,"SS54FA","E01021933","9E891044-1490-2C71-E053-A03BA40A7146","Public Park Or Garden",3960.21794999994,935.01337,1,3960,41.3958333333333,"900-1800m",741.461050416667,6956.55431458332,1.375,16806.4375,6061.90872326204,"SS5 4FA","SS5","4FA","SS54FA"
33584,"SS56PR","E01021942","9E8910D3-59ED-2C71-E053-A03BA40A7146","Playing Field",36362.0207999991,128.45622,2,2133353,29.7636363636364,"Less than or equal to 300m",365.990075657143,448487.922849993,2.14285714285714,2015331.94285714,1108.30515151515,"SS5 6PR","SS5","6PR","SS56PR"
36399,"SS54QS","E01021937","9E89103D-C9D7-2C71-E053-A03BA40A7146","Playing Field",20446.1689999961,563.96185,3,82136,49.3235294117647,"300-600m",436.383500882353,14142.7171279387,2.76470588235294,75118.4117647059,3271.84511145612,"SS5 4QS","SS5","4QS","SS54QS"
40951,"SS54DG","E01021936","9E891044-1490-2C71-E053-A03BA40A7146","Public Park Or Garden",3960.21794999994,211.14923,2,38885,38.3863636363636,"Less than or equal to 300m",416.687615909091,9499.74487386332,2.45454545454545,57417.6136363636,6061.90872326204,"SS5 4DG","SS5","4DG","SS54DG"
40952,"SS54LJ","E01021934","9E8910D3-9F1C-2C71-E053-A03BA40A7146","Playing Field",13941.2847999968,346.98846,2,48867,51.4666666666667,"300-600m",433.582213,19398.3155749998,2.16666666666667,48985.4333333333,5872.29428545456,"SS5 4LJ","SS5","4LJ","SS54LJ"
41584,"SS54LA","E01021934","9E8910D3-9F1C-2C71-E053-A03BA40A7146","Playing Field",13941.2847999968,827.8001,2,48867,51.4666666666667,"600-900m",433.582213,19398.3155749998,2.16666666666667,48985.4333333333,5872.29428545456,"SS5 4LA","SS5","4LA","SS54LA"
43595,"SS54EE","E01021933","9E891044-1490-2C71-E053-A03BA40A7146","Public Park Or Garden",3960.21794999994,732.02527,1,3960,41.3958333333333,"600-900m",741.461050416667,6956.55431458332,1.375,16806.4375,6061.90872326204,"SS5 4EE","SS5","4EE","SS54EE"
44369,"SS54SG","E01021941","9E89103D-C9D7-2C71-E053-A03BA40A7146","Playing Field",20446.1689999961,479.76764,1,20446,36.2741935483871,"300-600m",558.474409354839,23551.1148919322,1.32258064516129,40438.9677419355,3271.84511145612,"SS5 4SG","SS5","4SG","SS54SG"
45490,"SS54NY","E01021935","9E891044-1490-2C71-E053-A03BA40A7146","Public Park Or Garden",3960.21794999994,456.15787,1,3960,58.5217391304348,"300-600m",293.600792826087,3960.21794999993,1.56521739130435,23700.2173913043,6061.90872326204,"SS5 4NY","SS5","4NY","SS54NY"
45721,"SS56DR","E01021944","9E891042-829E-2C71-E053-A03BA40A7146","Playing Field",9035.18445000645,472.0858,1,9035,46.8611111111111,"300-600m",499.884221666667,17986.8563472273,1.22222222222222,138269.25,3258.69281527665,"SS5 6DR","SS5","6DR","SS56DR"
60908,"SS54EA","E01021939","9E891044-1490-2C71-E053-A03BA40A7146","Public Park Or Garden",3960.21794999994,424.2511,3,96615,54.28125,"300-600m",494.3708728125,28864.6517187516,2.5,72790.9375,6061.90872326204,"SS5 4EA","SS5","4EA","SS54EA"
60909,"SS54XA","E01021937","9E89103D-C9D7-2C71-E053-A03BA40A7146","Playing Field",20446.1689999961,309.9629,3,82136,49.3235294117647,"300-600m",436.383500882353,14142.7171279387,2.76470588235294,75118.4117647059,3271.84511145612,"SS5 4XA","SS5","4XA","SS54XA"
68197,"SS55DA","E01021939","9E891044-1490-2C71-E053-A03BA40A7146","Public Park Or Garden",3960.21794999994,678.61993,3,96615,54.28125,"600-900m",494.3708728125,28864.6517187516,2.5,72790.9375,6061.90872326204,"SS5 5DA","SS5","5DA","SS55DA"
68198,"SS56LZ","E01021943","9E8910E7-522C-2C71-E053-A03BA40A7146","Public Park Or Garden",2096991.53104997,408.58905,2,2133353,59.0357142857143,"300-600m",491.076759285714,2022421.66152854,1.85714285714286,2124254.57142857,9887.71544459914,"SS5 6LZ","SS5","6LZ","SS56LZ"
71095,"SS56JF","E01021944","9E8910D3-59ED-2C71-E053-A03BA40A7146","Playing Field",36362.0207999991,637.7037,3,2142388,46.8611111111111,"600-900m",499.884221666667,17986.8563472273,1.22222222222222,138269.25,1108.30515151515,"SS5 6JF","SS5","6JF","SS56JF"
75813,"SS54PJ","E01021936","9E89103D-C9D7-2C71-E053-A03BA40A7146","Playing Field",20446.1689999961,564.2783,3,82136,38.3863636363636,"300-600m",416.687615909091,9499.74487386332,2.45454545454545,57417.6136363636,3271.84511145612,"SS5 4PJ","SS5","4PJ","SS54PJ"
79492,"SS56PG","E01021942","9E8910D3-59ED-2C71-E053-A03BA40A7146","Playing Field",36362.0207999991,340.50845,2,2133353,29.7636363636364,"300-600m",365.990075657143,448487.922849993,2.14285714285714,2015331.94285714,1108.30515151515,"SS5 6PG","SS5","6PG","SS56PG"
83402,"SS55BE","E01021940","9E8910E7-528F-2C71-E053-A03BA40A7146","Playing Field",57730.0277500025,363.00552,1,57730,56.1315789473684,"300-600m",511.197123894737,55929.6877355288,1.44736842105263,69819.4736842105,3627.47970544947,"SS5 5BE","SS5","5BE","SS55BE"
84479,"SS56DB","E01021945","9E891042-829E-2C71-E053-A03BA40A7146","Playing Field",9035.18445000645,348.86243,1,9035,62.84,"300-600m",606.1804924,10128.2579040062,1.36,186975.64,3258.69281527665,"SS5 6DB","SS5","6DB","SS56DB"
86197,"SS56JT","E01021943","9E8910E7-522C-2C71-E053-A03BA40A7146","Public Park Or Garden",2096991.53104997,545.9835,1,2096991,59.0357142857143,"300-600m",491.076759285714,2022421.66152854,1.85714285714286,2124254.57142857,9887.71544459914,"SS5 6JT","SS5","6JT","SS56JT"
87005,"SS54HP","E01021933","9E891044-1490-2C71-E053-A03BA40A7146","Public Park Or Garden",3960.21794999994,616.7349,2,38885,41.3958333333333,"600-900m",741.461050416667,6956.55431458332,1.375,16806.4375,6061.90872326204,"SS5 4HP","SS5","4HP","SS54HP"
87006,"SS55PG","E01021940","9E8910E7-528F-2C71-E053-A03BA40A7146","Playing Field",57730.0277500025,516.0475,1,57730,56.1315789473684,"300-600m",511.197123894737,55929.6877355288,1.44736842105263,69819.4736842105,3627.47970544947,"SS5 5PG","SS5","5PG","SS55PG"
89704,"SS54TF","E01021960","9E8910D3-9391-2C71-E053-A03BA40A7146","Playing Field",61341.8854999925,581.7027,1,61341,44.6136363636364,"300-600m",284.071450477273,60252.8371784018,2.59090909090909,119290.477272727,4167.91041280723,"SS5 4TF","SS5","4TF","SS54TF"
90114,"SS56NE","E01021942","9E8910E7-522C-2C71-E053-A03BA40A7146","Public Park Or Garden",2096991.53104997,436.0103,2,2133353,29.7636363636364,"300-600m",365.990075657143,448487.922849993,2.14285714285714,2015331.94285714,9887.71544459914,"SS5 6NE","SS5","6NE","SS56NE"
