"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"ST161AA",-2.123012,52.80306,139.5267,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","683BA5E4-47A4-4853-8C6F-C0F14074C93A","ST16","1AA",52.80407,-2.121785
"ST161AB",-2.131473,52.80488,528.5681,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AB",52.80624,-2.123936
"ST161AD",-2.13107,52.80409,536.0499,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AD",52.80624,-2.123936
"ST161AE",-2.131885,52.80391,593.6532,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AE",52.80624,-2.123936
"ST161AF",-2.130121,52.80425,471.0949,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AF",52.80624,-2.123936
"ST161AG",-2.128901,52.8031,483.1212,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AG",52.80624,-2.123936
"ST161AH",-2.13542,52.80528,779.2127,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AH",52.80624,-2.123936
"ST161AJ",-2.137007,52.80534,884.3371,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AJ",52.80624,-2.123936
"ST161AL",-2.137867,52.80519,943.6521,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AL",52.80624,-2.123936
"ST161AN",-2.136171,52.8038,866.0109,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AN",52.80624,-2.123936
"ST161AP",-2.138636,52.8045,1006.918,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AP",52.80624,-2.123936
"ST161AQ",-2.134871,52.80531,742.2316,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AQ",52.80624,-2.123936
"ST161AR",-2.135713,52.80436,818.8177,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AR",52.80624,-2.123936
"ST161AS",-2.136885,52.8042,899.6211,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AS",52.80624,-2.123936
"ST161AT",-2.133663,52.80319,736.4412,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AT",52.80624,-2.123936
"ST161AU",-2.13283,52.80261,721.4492,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AU",52.80624,-2.123936
"ST161AW",-2.13699,52.80453,897.9014,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AW",52.80624,-2.123936
"ST161AX",-2.13313,52.80361,683.8805,44719.5,"81B33365-FE9D-33F1-E053-A03BA40A2BEA","8D441B94-9E2E-4A4E-BC49-46DACDE6B364","ST16","1AX",52.80624,-2.123936
