"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
30002,"ST216DU","E01029695","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,586.3412,1,13283,31.7575757575758,"300-600m",612.755616444445,13283.3442000007,1,13283,2553.81090909091,"ST21 6DU","ST21","6DU","ST216DU"
41590,"ST216AG","E01029695","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,317.15768,1,13283,31.7575757575758,"300-600m",612.755616444445,13283.3442000007,1,13283,2553.81090909091,"ST21 6AG","ST21","6AG","ST216AG"
45257,"ST216EE","E01029698","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,686.53986,1,13283,33.08,"600-900m",552.495369705882,13283.3442000007,1,13283,2553.81090909091,"ST21 6EE","ST21","6EE","ST216EE"
89262,"ST216BW","E01029695","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,326.16714,1,13283,31.7575757575758,"300-600m",612.755616444445,13283.3442000007,1,13283,2553.81090909091,"ST21 6BW","ST21","6BW","ST216BW"
91092,"ST216AF","E01029695","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,457.7521,1,13283,31.7575757575758,"300-600m",612.755616444445,13283.3442000007,1,13283,2553.81090909091,"ST21 6AF","ST21","6AF","ST216AF"
127606,"ST216SW","E01029695","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,949.4551,1,13283,31.7575757575758,"900-1800m",612.755616444445,13283.3442000007,1,13283,2553.81090909091,"ST21 6SW","ST21","6SW","ST216SW"
138796,"ST216AA","E01029695","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,450.82147,1,13283,31.7575757575758,"300-600m",612.755616444445,13283.3442000007,1,13283,2553.81090909091,"ST21 6AA","ST21","6AA","ST216AA"
138797,"ST216AN","E01029695","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,333.03455,1,13283,31.7575757575758,"300-600m",612.755616444445,13283.3442000007,1,13283,2553.81090909091,"ST21 6AN","ST21","6AN","ST216AN"
153836,"ST216BG","E01029695","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,538.85803,1,13283,31.7575757575758,"300-600m",612.755616444445,13283.3442000007,1,13283,2553.81090909091,"ST21 6BG","ST21","6BG","ST216BG"
161138,"ST216DF","E01029695","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,410.44,1,13283,31.7575757575758,"300-600m",612.755616444445,13283.3442000007,1,13283,2553.81090909091,"ST21 6DF","ST21","6DF","ST216DF"
163984,"ST216AP","E01029698","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,264.78104,1,13283,33.08,"Less than or equal to 300m",552.495369705882,13283.3442000007,1,13283,2553.81090909091,"ST21 6AP","ST21","6AP","ST216AP"
176270,"ST216JW","E01029695","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,851.87616,1,13283,31.7575757575758,"600-900m",612.755616444445,13283.3442000007,1,13283,2553.81090909091,"ST21 6JW","ST21","6JW","ST216JW"
182910,"ST216DP","E01029698","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,721.4167,1,13283,33.08,"600-900m",552.495369705882,13283.3442000007,1,13283,2553.81090909091,"ST21 6DP","ST21","6DP","ST216DP"
229945,"ST216AT","E01029698","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,345.2593,1,13283,33.08,"300-600m",552.495369705882,13283.3442000007,1,13283,2553.81090909091,"ST21 6AT","ST21","6AT","ST216AT"
230693,"ST216DS","E01029695","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,939.02985,1,13283,31.7575757575758,"900-1800m",612.755616444445,13283.3442000007,1,13283,2553.81090909091,"ST21 6DS","ST21","6DS","ST216DS"
266116,"ST216EH","E01029698","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,54.91812,1,13283,33.08,"Less than or equal to 300m",552.495369705882,13283.3442000007,1,13283,2553.81090909091,"ST21 6EH","ST21","6EH","ST216EH"
317534,"ST216BB","E01029698","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,948.0517,1,13283,33.08,"900-1800m",552.495369705882,13283.3442000007,1,13283,2553.81090909091,"ST21 6BB","ST21","6BB","ST216BB"
318244,"ST216BD","E01029698","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,640.19763,1,13283,33.08,"600-900m",552.495369705882,13283.3442000007,1,13283,2553.81090909091,"ST21 6BD","ST21","6BD","ST216BD"
322523,"ST216AH","E01029698","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,209.02153,1,13283,33.08,"Less than or equal to 300m",552.495369705882,13283.3442000007,1,13283,2553.81090909091,"ST21 6AH","ST21","6AH","ST216AH"
353784,"ST216DH","E01029695","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,658.6084,1,13283,31.7575757575758,"600-900m",612.755616444445,13283.3442000007,1,13283,2553.81090909091,"ST21 6DH","ST21","6DH","ST216DH"
368083,"ST216AY","E01029698","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,237.89284,1,13283,33.08,"Less than or equal to 300m",552.495369705882,13283.3442000007,1,13283,2553.81090909091,"ST21 6AY","ST21","6AY","ST216AY"
409404,"ST216AZ","E01029698","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,540.5645,1,13283,33.08,"300-600m",552.495369705882,13283.3442000007,1,13283,2553.81090909091,"ST21 6AZ","ST21","6AZ","ST216AZ"
414881,"ST216DN","E01029695","9E8910A3-D94F-2C71-E053-A03BA40A7146","Playing Field",13283.3442000007,616.06006,1,13283,31.7575757575758,"600-900m",612.755616444445,13283.3442000007,1,13283,2553.81090909091,"ST21 6DN","ST21","6DN","ST216DN"
