"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"SW1H0AA",-0.13534,51.49946,119.534,240.7668,"81B332F7-744C-33F1-E053-A03BA40A2BEA","F800E02D-CC0A-4990-86CF-A8151022784A","SW1H","0AA",51.50047,-0.135918
"SW1H0AB",-0.135123,51.49913,159.7767,240.7668,"81B332F7-744C-33F1-E053-A03BA40A2BEA","F800E02D-CC0A-4990-86CF-A8151022784A","SW1H","0AB",51.50047,-0.135918
"SW1H0AD",-0.135014,51.49897,178.5598,240.7668,"81B332F7-744C-33F1-E053-A03BA40A2BEA","F800E02D-CC0A-4990-86CF-A8151022784A","SW1H","0AD",51.50047,-0.135918
"SW1H0AE",-0.13664,51.49903,167.9515,240.7668,"81B332F7-744C-33F1-E053-A03BA40A2BEA","F800E02D-CC0A-4990-86CF-A8151022784A","SW1H","0AE",51.50047,-0.135918
"SW1H0AF",-0.133348,51.49788,339.3609,240.7668,"81B332F7-744C-33F1-E053-A03BA40A2BEA","F800E02D-CC0A-4990-86CF-A8151022784A","SW1H","0AF",51.50047,-0.135918
"SW1H0AG",-0.13664,51.49903,167.9515,240.7668,"81B332F7-744C-33F1-E053-A03BA40A2BEA","F800E02D-CC0A-4990-86CF-A8151022784A","SW1H","0AG",51.50047,-0.135918
"SW1H0AH",-0.136959,51.49898,181.6929,240.7668,"81B332F7-744C-33F1-E053-A03BA40A2BEA","F800E02D-CC0A-4990-86CF-A8151022784A","SW1H","0AH",51.50047,-0.135918
"SW1H0AJ",-0.137214,51.49874,213.165,240.7668,"81B332F7-744C-33F1-E053-A03BA40A2BEA","F800E02D-CC0A-4990-86CF-A8151022784A","SW1H","0AJ",51.50047,-0.135918
"SW1H0AL",-0.13664,51.49903,167.9515,240.7668,"81B332F7-744C-33F1-E053-A03BA40A2BEA","F800E02D-CC0A-4990-86CF-A8151022784A","SW1H","0AL",51.50047,-0.135918
"SW1H0AN",-0.135697,51.49919,143.812,240.7668,"81B332F7-744C-33F1-E053-A03BA40A2BEA","F800E02D-CC0A-4990-86CF-A8151022784A","SW1H","0AN",51.50047,-0.135918
