"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
5157,"SW1X0AF","E01002818","9E8910B4-7E4C-2C71-E053-A03BA40A7146","Public Park Or Garden",1296462.96344999,599.33295,4,1342184,16.5714285714286,"300-600m",493.654889196428,887388.976907136,3.89285714285714,1831611.41964286,17860.0298606632,"SW1X 0AF","SW1X","0AF","SW1X0AF"
5158,"SW1X8JF","E01004691","9E8910BD-96FE-2C71-E053-A03BA40A7146","Public Park Or Garden",23788.3386500046,376.94827,4,1512633,18.5108695652174,"300-600m",321.607184086957,826126.689067386,4.47826086956522,1543036.48913043,9041.65952865697,"SW1X 8JF","SW1X","8JF","SW1X8JF"
5159,"SW1X9JB","E01002818","9E8910BD-96FE-2C71-E053-A03BA40A7146","Public Park Or Garden",23788.3386500046,385.78363,4,1512633,16.5714285714286,"300-600m",493.654889196428,887388.976907136,3.89285714285714,1831611.41964286,9041.65952865697,"SW1X 9JB","SW1X","9JB","SW1X9JB"
10455,"SW1X0AE","E01002818","9E8910B4-7E4C-2C71-E053-A03BA40A7146","Public Park Or Garden",1296462.96344999,624.4974,5,1347761,16.5714285714286,"600-900m",493.654889196428,887388.976907136,3.89285714285714,1831611.41964286,17860.0298606632,"SW1X 0AE","SW1X","0AE","SW1X0AE"
10456,"SW1X8NE","E01002863","9E8910BD-96FE-2C71-E053-A03BA40A7146","Public Park Or Garden",23788.3386500046,213.5884,6,1581538,23.7457627118644,"Less than or equal to 300m",345.146239084746,23788.3386500046,6.3728813559322,1436119,9041.65952865697,"SW1X 8NE","SW1X","8NE","SW1X8NE"
14967,"SW1X0NA","E01002818","9E8910B4-7E4C-2C71-E053-A03BA40A7146","Public Park Or Garden",1296462.96344999,355.83282,4,2576865,16.5714285714286,"300-600m",493.654889196428,887388.976907136,3.89285714285714,1831611.41964286,17860.0298606632,"SW1X 0NA","SW1X","0NA","SW1X0NA"
14968,"SW1X9HE","E01004691","9E8910B4-7E4C-2C71-E053-A03BA40A7146","Public Park Or Garden",1296462.96344999,505.20193,3,1510226,18.5108695652174,"300-600m",321.607184086957,826126.689067386,4.47826086956522,1543036.48913043,17860.0298606632,"SW1X 9HE","SW1X","9HE","SW1X9HE"
18927,"SW1X0DZ","E01002859","9E8910BD-96FE-2C71-E053-A03BA40A7146","Public Park Or Garden",23788.3386500046,462.7148,9,1418492,21.8513513513514,"300-600m",305.613380864865,21998.4768912193,6.97297297297297,254750.702702703,9041.65952865697,"SW1X 0DZ","SW1X","0DZ","SW1X0DZ"
25185,"SW1X7LB","E01004689","9E8910B4-7E4C-2C71-E053-A03BA40A7146","Public Park Or Garden",1296462.96344999,285.4768,4,2576865,18.7241379310345,"Less than or equal to 300m",260.607813287356,1264417.78738332,3.16091954022989,2425925.49425287,17860.0298606632,"SW1X 7LB","SW1X","7LB","SW1X7LB"
37542,"SW1X9SE","E01002863","9E8910BD-96FE-2C71-E053-A03BA40A7146","Public Park Or Garden",23788.3386500046,385.41537,6,1581538,23.7457627118644,"300-600m",345.146239084746,23788.3386500046,6.3728813559322,1436119,9041.65952865697,"SW1X 9SE","SW1X","9SE","SW1X9SE"
