"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"SW71AA",-0.17147,51.49958,307.1541,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","705F8F25-2104-4F15-BB13-48820054A119","SW7","1AA",51.50227,-0.1704489
"SW71AB",-0.17132,51.49899,369.1408,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","705F8F25-2104-4F15-BB13-48820054A119","SW7","1AB",51.50227,-0.1704489
"SW71AD",-0.170531,51.49892,372.5659,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","705F8F25-2104-4F15-BB13-48820054A119","SW7","1AD",51.50227,-0.1704489
"SW71AE",-0.170054,51.49896,369.3101,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","705F8F25-2104-4F15-BB13-48820054A119","SW7","1AE",51.50227,-0.1704489
"SW71AF",-0.16953,51.49873,398.3161,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","705F8F25-2104-4F15-BB13-48820054A119","SW7","1AF",51.50227,-0.1704489
"SW71AG",-0.169217,51.499,369.8648,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","CB8BB8DA-5539-45CF-A68B-1758E7BBB781","SW7","1AG",51.50229,-0.1684397
"SW71AH",-0.169322,51.49959,305.9273,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","CB8BB8DA-5539-45CF-A68B-1758E7BBB781","SW7","1AH",51.50229,-0.1684397
"SW71AJ",-0.169542,51.49998,261.7393,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","705F8F25-2104-4F15-BB13-48820054A119","SW7","1AJ",51.50227,-0.1704489
"SW71AL",-0.17453,51.49799,479.8344,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","5B0545C9-8405-464C-BBDB-819387CD8514","SW7","1AL",51.50231,-0.174424
"SW71AN",-0.168957,51.49972,287.6626,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","CB8BB8DA-5539-45CF-A68B-1758E7BBB781","SW7","1AN",51.50229,-0.1684397
"SW71AP",-0.169287,51.49975,287.9041,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","CB8BB8DA-5539-45CF-A68B-1758E7BBB781","SW7","1AP",51.50229,-0.1684397
"SW71AQ",-0.16928,51.49922,345.8379,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","CB8BB8DA-5539-45CF-A68B-1758E7BBB781","SW7","1AQ",51.50229,-0.1684397
"SW71AR",-0.17177,51.49928,344.7311,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","705F8F25-2104-4F15-BB13-48820054A119","SW7","1AR",51.50227,-0.1704489
"SW71AS",-0.169261,51.49968,295.3951,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","CB8BB8DA-5539-45CF-A68B-1758E7BBB781","SW7","1AS",51.50229,-0.1684397
"SW71AT",-0.171806,51.49838,442.433,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","705F8F25-2104-4F15-BB13-48820054A119","SW7","1AT",51.50227,-0.1704489
"SW71AU",-0.17453,51.49799,479.8344,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","5B0545C9-8405-464C-BBDB-819387CD8514","SW7","1AU",51.50231,-0.174424
"SW71AW",-0.172034,51.49915,363.8833,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","705F8F25-2104-4F15-BB13-48820054A119","SW7","1AW",51.50227,-0.1704489
"SW71AX",-0.170258,51.50106,135.6553,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","705F8F25-2104-4F15-BB13-48820054A119","SW7","1AX",51.50227,-0.1704489
"SW71AY",-0.168724,51.50157,82.21563,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","CB8BB8DA-5539-45CF-A68B-1758E7BBB781","SW7","1AY",51.50229,-0.1684397
"SW71AZ",-0.172034,51.49915,363.8833,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","705F8F25-2104-4F15-BB13-48820054A119","SW7","1AZ",51.50227,-0.1704489
"SW71BA",-0.172546,51.4986,432.1855,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","5B0545C9-8405-464C-BBDB-819387CD8514","SW7","1BA",51.50231,-0.174424
"SW71BB",-0.168702,51.50105,139.06,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","CB8BB8DA-5539-45CF-A68B-1758E7BBB781","SW7","1BB",51.50229,-0.1684397
"SW71BD",-0.168777,51.50098,147.6224,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","CB8BB8DA-5539-45CF-A68B-1758E7BBB781","SW7","1BD",51.50229,-0.1684397
"SW71BE",-0.172942,51.49842,444.5194,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","5B0545C9-8405-464C-BBDB-819387CD8514","SW7","1BE",51.50231,-0.174424
"SW71BF",-0.172546,51.4986,432.1855,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","5B0545C9-8405-464C-BBDB-819387CD8514","SW7","1BF",51.50231,-0.174424
