"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"SY41AA",-2.862029,52.72876,1171.174,34578.72,"81B33382-349D-33F1-E053-A03BA40A2BEA","BCDAA5BC-D8F1-4DFE-B315-BEF6ADF7F8B7","SY4","1AA",52.72939,-2.844668
"SY41AB",-2.861559,52.72833,1143.528,34578.72,"81B33382-349D-33F1-E053-A03BA40A2BEA","BCDAA5BC-D8F1-4DFE-B315-BEF6ADF7F8B7","SY4","1AB",52.72939,-2.844668
"SY41AD",-2.86583,52.7375,1686.736,34578.72,"81B33382-349D-33F1-E053-A03BA40A2BEA","BCDAA5BC-D8F1-4DFE-B315-BEF6ADF7F8B7","SY4","1AD",52.72939,-2.844668
"SY41AE",-2.885385,52.7349,2809.4,34578.72,"81B33382-349D-33F1-E053-A03BA40A2BEA","BCDAA5BC-D8F1-4DFE-B315-BEF6ADF7F8B7","SY4","1AE",52.72939,-2.844668
"SY41AF",-2.878371,52.72989,2270.202,34578.72,"81B33382-349D-33F1-E053-A03BA40A2BEA","BCDAA5BC-D8F1-4DFE-B315-BEF6ADF7F8B7","SY4","1AF",52.72939,-2.844668
"SY41AG",-2.891146,52.7327,3151.253,34578.72,"81B33382-349D-33F1-E053-A03BA40A2BEA","BCDAA5BC-D8F1-4DFE-B315-BEF6ADF7F8B7","SY4","1AG",52.72939,-2.844668
"SY41AH",-2.889554,52.7315,3031.619,34578.72,"81B33382-349D-33F1-E053-A03BA40A2BEA","BCDAA5BC-D8F1-4DFE-B315-BEF6ADF7F8B7","SY4","1AH",52.72939,-2.844668
"SY41AJ",-2.895654,52.73442,3478.447,34578.72,"81B33382-349D-33F1-E053-A03BA40A2BEA","BCDAA5BC-D8F1-4DFE-B315-BEF6ADF7F8B7","SY4","1AJ",52.72939,-2.844668
"SY41AL",-2.900045,52.73909,3099.831,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","5A26E72A-FEF1-4F43-9410-9E6D64D29B59","SY4","1AL",52.76667,-2.906682
"SY41AN",-2.908373,52.7478,2102.05,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","5A26E72A-FEF1-4F43-9410-9E6D64D29B59","SY4","1AN",52.76667,-2.906682
"SY41AP",-2.91314,52.75253,1631.72,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","5A26E72A-FEF1-4F43-9410-9E6D64D29B59","SY4","1AP",52.76667,-2.906682
"SY41AQ",-2.892669,52.73099,3237.179,34578.72,"81B33382-349D-33F1-E053-A03BA40A2BEA","BCDAA5BC-D8F1-4DFE-B315-BEF6ADF7F8B7","SY4","1AQ",52.72939,-2.844668
"SY41AR",-2.911364,52.75686,1135.984,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","5A26E72A-FEF1-4F43-9410-9E6D64D29B59","SY4","1AR",52.76667,-2.906682
"SY41AS",-2.90093,52.75315,1552.439,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","5A26E72A-FEF1-4F43-9410-9E6D64D29B59","SY4","1AS",52.76667,-2.906682
"SY41AT",-2.887012,52.75948,1546.571,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","5A26E72A-FEF1-4F43-9410-9E6D64D29B59","SY4","1AT",52.76667,-2.906682
"SY41AU",-2.884062,52.75431,2051.488,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","5A26E72A-FEF1-4F43-9410-9E6D64D29B59","SY4","1AU",52.76667,-2.906682
"SY41AW",-2.912319,52.7502,1870.3,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","5A26E72A-FEF1-4F43-9410-9E6D64D29B59","SY4","1AW",52.76667,-2.906682
"SY41AX",-2.900648,52.76031,815.7038,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","5A26E72A-FEF1-4F43-9410-9E6D64D29B59","SY4","1AX",52.76667,-2.906682
"SY41AY",-2.932562,52.78025,1696.893,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1AY",52.76846,-2.916558
"SY41AZ",-2.933143,52.7692,1118.869,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1AZ",52.76846,-2.916558
"SY41BA",-2.930375,52.76726,939.1316,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BA",52.76846,-2.916558
"SY41BB",-2.929267,52.76047,1233.023,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BB",52.76846,-2.916558
"SY41BD",-2.923583,52.76358,719.5317,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BD",52.76846,-2.916558
"SY41BE",-2.924498,52.7641,721.0286,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BE",52.76846,-2.916558
"SY41BG",-2.921336,52.76388,601.6811,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BG",52.76846,-2.916558
"SY41BH",-2.926468,52.75918,1228.483,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BH",52.76846,-2.916558
"SY41BJ",-2.924555,52.76052,1033.356,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BJ",52.76846,-2.916558
"SY41BL",-2.92469,52.7558,1510.122,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BL",52.76846,-2.916558
"SY41BN",-2.919339,52.75701,1286.195,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BN",52.76846,-2.916558
"SY41BP",-2.936109,52.75339,2130.598,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BP",52.76846,-2.916558
"SY41BQ",-2.88839,52.73107,2950.058,34578.72,"81B33382-349D-33F1-E053-A03BA40A2BEA","BCDAA5BC-D8F1-4DFE-B315-BEF6ADF7F8B7","SY4","1BQ",52.72939,-2.844668
"SY41BS",-2.949147,52.75538,2631.384,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BS",52.76846,-2.916558
"SY41BT",-2.942552,52.75395,2379.755,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BT",52.76846,-2.916558
"SY41BU",-2.944092,52.75129,2660.509,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BU",52.76846,-2.916558
"SY41BW",-2.938762,52.75352,2233.872,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BW",52.76846,-2.916558
"SY41BX",-2.949538,52.74681,3273.715,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BX",52.76846,-2.916558
"SY41BY",-2.916801,52.76949,116.2488,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BY",52.76846,-2.916558
"SY41BZ",-2.922936,52.77155,549.7737,371774.1,"81B33382-3479-33F1-E053-A03BA40A2BEA","6D04982F-E665-46D1-8368-A9024F6D1C1E","SY4","1BZ",52.76846,-2.916558
