"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
42175,"SY95AX","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,360.33456,2,35692,31.7959183673469,"300-600m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5AX","SY9","5AX","SY95AX"
68317,"SY95BU","E01028991","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,398.72046,2,30350,16.1358024691358,"300-600m",837.769838631579,17317.1264868467,1.47368421052632,24912.3684210526,1767.76543209877,"SY9 5BU","SY9","5BU","SY95BU"
83428,"SY95PE","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,404.77277,1,17936,31.7959183673469,"300-600m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5PE","SY9","5PE","SY95PE"
90126,"SY95BY","E01028991","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,503.26236,2,30350,16.1358024691358,"300-600m",837.769838631579,17317.1264868467,1.47368421052632,24912.3684210526,1767.76543209877,"SY9 5BY","SY9","5BY","SY95BY"
91365,"SY95AB","E01028991","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,282.3119,1,17936,16.1358024691358,"Less than or equal to 300m",837.769838631579,17317.1264868467,1.47368421052632,24912.3684210526,1767.76543209877,"SY9 5AB","SY9","5AB","SY95AB"
91366,"SY95AJ","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,129,1,17936,31.7959183673469,"Less than or equal to 300m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5AJ","SY9","5AJ","SY95AJ"
120451,"SY95DW","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,487.2217,2,35692,31.7959183673469,"300-600m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5DW","SY9","5DW","SY95DW"
124448,"SY95DD","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,306.75723,2,30350,31.7959183673469,"300-600m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5DD","SY9","5DD","SY95DD"
183653,"SY95EU","E01028991","9E891043-BC9D-2C71-E053-A03BA40A7146","Playing Field",17755.3654500058,982.5604,1,17755,16.1358024691358,"900-1800m",837.769838631579,17317.1264868467,1.47368421052632,24912.3684210526,64.5432098765432,"SY9 5EU","SY9","5EU","SY95EU"
236414,"SY95DQ","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,221.9482,2,35692,31.7959183673469,"Less than or equal to 300m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5DQ","SY9","5DQ","SY95DQ"
288012,"SY95BB","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,105.26158,1,17936,31.7959183673469,"Less than or equal to 300m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5BB","SY9","5BB","SY95BB"
302687,"SY95AG","E01028991","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,420.577,2,35692,16.1358024691358,"300-600m",837.769838631579,17317.1264868467,1.47368421052632,24912.3684210526,1767.76543209877,"SY9 5AG","SY9","5AG","SY95AG"
305195,"SY95DJ","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,64.195015,2,35692,31.7959183673469,"Less than or equal to 300m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5DJ","SY9","5DJ","SY95DJ"
320039,"SY95AS","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,160.22797,1,17936,31.7959183673469,"Less than or equal to 300m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5AS","SY9","5AS","SY95AS"
320040,"SY95EW","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,197.64868,1,17936,31.7959183673469,"Less than or equal to 300m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5EW","SY9","5EW","SY95EW"
334315,"SY95BF","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,522.31885,2,30350,31.7959183673469,"300-600m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5BF","SY9","5BF","SY95BF"
342754,"SY95AA","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,168.24387,2,35692,31.7959183673469,"Less than or equal to 300m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5AA","SY9","5AA","SY95AA"
368086,"SY95AW","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,105.64564,1,17936,31.7959183673469,"Less than or equal to 300m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5AW","SY9","5AW","SY95AW"
381114,"SY95DB","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,389.52408,2,30350,31.7959183673469,"300-600m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5DB","SY9","5DB","SY95DB"
415872,"SY95BS","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,393.10303,2,30350,31.7959183673469,"300-600m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5BS","SY9","5BS","SY95BS"
468889,"SY95AL","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,63.788715,1,17936,31.7959183673469,"Less than or equal to 300m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5AL","SY9","5AL","SY95AL"
468890,"SY95EZ","E01028991","9E89106F-B227-2C71-E053-A03BA40A7146","Playing Field",12413.6297000015,562.4598,2,30350,16.1358024691358,"300-600m",837.769838631579,17317.1264868467,1.47368421052632,24912.3684210526,32.2716049382716,"SY9 5EZ","SY9","5EZ","SY95EZ"
488949,"SY95BX","E01028991","9E891043-BC9D-2C71-E053-A03BA40A7146","Playing Field",17755.3654500058,359.91248,2,35692,16.1358024691358,"300-600m",837.769838631579,17317.1264868467,1.47368421052632,24912.3684210526,64.5432098765432,"SY9 5BX","SY9","5BX","SY95BX"
497173,"SY95PA","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,242.50774,1,17936,31.7959183673469,"Less than or equal to 300m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5PA","SY9","5PA","SY95PA"
506423,"SY95ES","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,509.03537,2,30350,31.7959183673469,"300-600m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5ES","SY9","5ES","SY95ES"
535311,"SY95PB","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,254.01772,1,17936,31.7959183673469,"Less than or equal to 300m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5PB","SY9","5PB","SY95PB"
551232,"SY95BA","E01028992","9E89106F-B605-2C71-E053-A03BA40A7146","Playing Field",17936.6678500047,331.48907,2,35692,31.7959183673469,"300-600m",251.640259408163,17936.6678500047,1.55102040816327,26193.6326530612,1767.76543209877,"SY9 5BA","SY9","5BA","SY95BA"
