"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
5225,"TA14NW","E01029263","9E891044-9708-2C71-E053-A03BA40A7146","Playing Field",14809.8959999988,676.9254,4,68719,47.5172413793103,"600-900m",658.402657931034,10562.9157775854,3.62068965517241,58893,4259.24800015176,"TA1 4NW","TA1","4NW","TA14NW"
5226,"TA14RU","E01029302","9E8910D5-A89A-2C71-E053-A03BA40A7146","Playing Field",39308.6818999988,403.80316,5,125114,28.7142857142857,"300-600m",276.913169047619,27004.9244634911,4.19047619047619,108232.492063492,3742.43665195561,"TA1 4RU","TA1","4RU","TA14RU"
10522,"TA11QR","E01029285","9E8910D5-B3EE-2C71-E053-A03BA40A7146","Playing Field",52238.8151999949,230.00217,8,216500,38.8615384615385,"Less than or equal to 300m",212.771038738462,45204.8763423038,6.72307692307692,179759.830769231,5116.78770420331,"TA1 1QR","TA1","1QR","TA11QR"
10523,"TA11TA","E01029285","9E8910D5-B3EE-2C71-E053-A03BA40A7146","Playing Field",52238.8151999949,48.052055,7,193965,38.8615384615385,"Less than or equal to 300m",212.771038738462,45204.8763423038,6.72307692307692,179759.830769231,5116.78770420331,"TA1 1TA","TA1","1TA","TA11TA"
10524,"TA13QU","E01029301","9E8910D5-BBE0-2C71-E053-A03BA40A7146","Playing Field",4811.03805000076,541.3557,4,76999,29.3561643835616,"300-600m",314.875072191781,33562.5344082182,5.61643835616438,128659.150684932,1445.3078614868,"TA1 3QU","TA1","3QU","TA13QU"
10525,"TA14LA","E01029264","9E891044-9708-2C71-E053-A03BA40A7146","Playing Field",14809.8959999988,393.44885,2,54118,31.3658536585366,"300-600m",368.466568536585,23772.8664512184,2.92682926829268,65176.4634146341,4259.24800015176,"TA1 4LA","TA1","4LA","TA14LA"
10526,"TA15LS","E01029257","9E8910D5-A89A-2C71-E053-A03BA40A7146","Playing Field",39308.6818999988,382.83154,5,101379,47.4489795918367,"300-600m",278.381204326531,33544.9891397942,3.95918367346939,79981.4489795918,3742.43665195561,"TA1 5LS","TA1","5LS","TA15LS"
15022,"TA11NX","E01029299","9E8910D5-AE23-2C71-E053-A03BA40A7146","Public Park Or Garden",6271.95470000223,530.3631,5,137654,33.9347826086956,"300-600m",462.485542826087,16438.6022923914,4.43478260869565,120042.260869565,1742.79477583237,"TA1 1NX","TA1","1NX","TA11NX"
15023,"TA12EH","E01029292","9E8910D5-B5EA-2C71-E053-A03BA40A7146","Playing Field",52055.7847500009,46.238514,5,144045,45.2222222222222,"Less than or equal to 300m",207.278789611111,48273.8205333313,4.38888888888889,147267.388888889,5432.94878863826,"TA1 2EH","TA1","2EH","TA12EH"
15024,"TA13RE","E01029301","9E8910D5-BBE0-2C71-E053-A03BA40A7146","Playing Field",4811.03805000076,499.88498,4,76999,29.3561643835616,"300-600m",314.875072191781,33562.5344082182,5.61643835616438,128659.150684932,1445.3078614868,"TA1 3RE","TA1","3RE","TA13RE"
