"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"TA165AA",-2.795656,50.90625,5727.257,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5AA",50.94576,-2.743225
"TA165AB",-2.795334,50.90659,5684.2,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5AB",50.94576,-2.743225
"TA165AD",-2.785933,50.90824,5134.281,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5AD",50.94576,-2.743225
"TA165AF",-2.784147,50.90779,5104.196,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5AF",50.94576,-2.743225
"TA165NF",-2.795318,50.90578,5752.815,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5NF",50.94576,-2.743225
"TA165NG",-2.792669,50.90638,5584.148,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5NG",50.94576,-2.743225
"TA165NH",-2.792858,50.90562,5658.369,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5NH",50.94576,-2.743225
"TA165NJ",-2.793291,50.90364,5852.042,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5NJ",50.94576,-2.743225
"TA165NL",-2.792408,50.90691,5526.355,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5NL",50.94576,-2.743225
"TA165NN",-2.790593,50.90809,5344.366,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5NN",50.94576,-2.743225
"TA165NP",-2.789478,50.90947,5176.173,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5NP",50.94576,-2.743225
"TA165NQ",-2.793864,50.90627,5645.586,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5NQ",50.94576,-2.743225
"TA165NR",-2.791237,50.90749,5425.315,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5NR",50.94576,-2.743225
"TA165NS",-2.792831,50.90757,5487.733,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5NS",50.94576,-2.743225
"TA165NT",-2.792101,50.90812,5408.418,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5NT",50.94576,-2.743225
"TA165NU",-2.793162,50.90611,5628.623,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5NU",50.94576,-2.743225
"TA165NW",-2.789271,50.90899,5208.463,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5NW",50.94576,-2.743225
"TA165PA",-2.789394,50.91287,4882.443,1405535,"81B3331E-1757-33F1-E053-A03BA40A2BEA","4B60EA0D-1EBE-42A3-98CF-65B6D04BA9AE","TA16","5PA",50.94576,-2.743225
