"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
5291,"TF93DH","E01028878","9E8910A2-0377-2C71-E053-A03BA40A7146","Playing Field",29413.9851499977,272.65546,5,117602,24.4444444444444,"Less than or equal to 300m",223.007762873016,17794.3979198405,4,64249.9365079365,2354.50211766263,"TF9 3DH","TF9","3DH","TF93DH"
15066,"TF91JA","E01028873","9E8910A2-0377-2C71-E053-A03BA40A7146","Playing Field",29413.9851499977,272.57477,6,137759,28.8082191780822,"Less than or equal to 300m",346.029899452055,19360.1044191761,5.27397260273973,128573.232876712,2354.50211766263,"TF9 1JA","TF9","1JA","TF91JA"
15067,"TF93NN","E01028871","9E8910A1-E00B-2C71-E053-A03BA40A7146","Playing Field",9751.49064999836,481.93463,2,25973,22.1896551724138,"300-600m",448.597183928571,15760.0679464278,1.85714285714286,24580,22.1896551724138,"TF9 3NN","TF9","3NN","TF93NN"
19024,"TF91NJ","E01028877","9E8910A1-FC89-2C71-E053-A03BA40A7146","Playing Field",15555.5415,143.89232,3,23504,41.6875,"Less than or equal to 300m",312.6239973125,15203.1151390624,2.75,31560.6875,2503.49321348941,"TF9 1NJ","TF9","1NJ","TF91NJ"
19025,"TF91QW","E01028873","9E8910A1-EA5A-2C71-E053-A03BA40A7146","Playing Field",3406.47339999687,140.80128,3,53242,28.8082191780822,"Less than or equal to 300m",346.029899452055,19360.1044191761,5.27397260273973,128573.232876712,1214.93835616438,"TF9 1QW","TF9","1QW","TF91QW"
33645,"TF93PQ","E01028877","9E8910A1-FC89-2C71-E053-A03BA40A7146","Playing Field",15555.5415,312.70752,2,19226,41.6875,"300-600m",312.6239973125,15203.1151390624,2.75,31560.6875,2503.49321348941,"TF9 3PQ","TF9","3PQ","TF93PQ"
35137,"TF91EZ","E01028873","9E8910A1-ECD5-2C71-E053-A03BA40A7146","Playing Field",20421.7242999994,267.60605,3,53242,28.8082191780822,"Less than or equal to 300m",346.029899452055,19360.1044191761,5.27397260273973,128573.232876712,937.541095890411,"TF9 1EZ","TF9","1EZ","TF91EZ"
40980,"TF91DU","E01028878","9E891042-6061-2C71-E053-A03BA40A7146","Playing Field",3671.29065000095,111.64677,3,23504,24.4444444444444,"Less than or equal to 300m",223.007762873016,17794.3979198405,4,64249.9365079365,762.222222222223,"TF9 1DU","TF9","1DU","TF91DU"
44387,"TF93HH","E01028875","9E8910A1-F6EA-2C71-E053-A03BA40A7146","Playing Field",4277.89794999897,228.58916,5,103744,38.7846153846154,"Less than or equal to 300m",282.280477307692,21034.1358307692,4.44615384615385,103840.369230769,2536.7968645485,"TF9 3HH","TF9","3HH","TF93HH"
45732,"TF92EF","E01028869","9E8910A4-5822-2C71-E053-A03BA40A7146","Playing Field",16495.9726499965,302.8399,1,16495,25.1515151515151,"300-600m",903.380355710526,12770.0169631552,1,12769.4736842105,503.030303030303,"TF9 2EF","TF9","2EF","TF92EF"
51528,"TF93AS","E01028876","9E8910A1-E67B-2C71-E053-A03BA40A7146","Playing Field",22613.7720999991,381.90314,6,137759,37.6739130434783,"300-600m",267.362095652174,14110.1030586943,5.6304347826087,125540.717391304,1398.42709946397,"TF9 3AS","TF9","3AS","TF93AS"
51529,"TF93EY","E01028877","9E8910A1-FC89-2C71-E053-A03BA40A7146","Playing Field",15555.5415,226.89424,4,46118,41.6875,"Less than or equal to 300m",312.6239973125,15203.1151390624,2.75,31560.6875,2503.49321348941,"TF9 3EY","TF9","3EY","TF93EY"
61121,"TF91AR","E01028879","9E8910A1-F6EA-2C71-E053-A03BA40A7146","Playing Field",4277.89794999897,375.714,6,133158,35.5555555555556,"300-600m",280.241703577778,10177.0701933328,4.84444444444444,83752.4,2536.7968645485,"TF9 1AR","TF9","1AR","TF91AR"
61122,"TF93UD","E01028875","9E8910A1-F6EA-2C71-E053-A03BA40A7146","Playing Field",4277.89794999897,234.32669,5,103744,38.7846153846154,"Less than or equal to 300m",282.280477307692,21034.1358307692,4.44615384615385,103840.369230769,2536.7968645485,"TF9 3UD","TF9","3UD","TF93UD"
65014,"TF91PB","E01028873","9E8910A2-0377-2C71-E053-A03BA40A7146","Playing Field",29413.9851499977,442.12668,6,137759,28.8082191780822,"300-600m",346.029899452055,19360.1044191761,5.27397260273973,128573.232876712,2354.50211766263,"TF9 1PB","TF9","1PB","TF91PB"
71219,"TF91LP","E01028879","9E8910A1-FC89-2C71-E053-A03BA40A7146","Playing Field",15555.5415,75.43209,3,23504,35.5555555555556,"Less than or equal to 300m",280.241703577778,10177.0701933328,4.84444444444444,83752.4,2503.49321348941,"TF9 1LP","TF9","1LP","TF91LP"
75904,"TF93QS","E01028876","9E8910A2-0377-2C71-E053-A03BA40A7146","Playing Field",29413.9851499977,267.92535,6,137759,37.6739130434783,"Less than or equal to 300m",267.362095652174,14110.1030586943,5.6304347826087,125540.717391304,2354.50211766263,"TF9 3QS","TF9","3QS","TF93QS"
79549,"TF91DA","E01028879","9E8910A1-F6EA-2C71-E053-A03BA40A7146","Playing Field",4277.89794999897,379.1161,5,75532,35.5555555555556,"300-600m",280.241703577778,10177.0701933328,4.84444444444444,83752.4,2536.7968645485,"TF9 1DA","TF9","1DA","TF91DA"
87029,"TF92SN","E01028869","9E8910A2-1AB2-2C71-E053-A03BA40A7146","Playing Field",8630.06619999823,836.0861,1,8630,25.1515151515151,"600-900m",903.380355710526,12770.0169631552,1,12769.4736842105,1018.0771089122,"TF9 2SN","TF9","2SN","TF92SN"
103122,"TF91NU","E01028877","9E8910A1-FC89-2C71-E053-A03BA40A7146","Playing Field",15555.5415,196.08672,3,23504,41.6875,"Less than or equal to 300m",312.6239973125,15203.1151390624,2.75,31560.6875,2503.49321348941,"TF9 1NU","TF9","1NU","TF91NU"
103123,"TF93EU","E01028875","9E8910A1-FC89-2C71-E053-A03BA40A7146","Playing Field",15555.5415,356.43933,4,46118,38.7846153846154,"300-600m",282.280477307692,21034.1358307692,4.44615384615385,103840.369230769,2503.49321348941,"TF9 3EU","TF9","3EU","TF93EU"
107756,"TF91LL","E01028879","9E8910A1-FC89-2C71-E053-A03BA40A7146","Playing Field",15555.5415,34.058773,3,23504,35.5555555555556,"Less than or equal to 300m",280.241703577778,10177.0701933328,4.84444444444444,83752.4,2503.49321348941,"TF9 1LL","TF9","1LL","TF91LL"
107757,"TF93FJ","E01028871","9E8910A1-E013-2C71-E053-A03BA40A7146","Playing Field",16222.2661999993,348.30447,2,25973,22.1896551724138,"300-600m",448.597183928571,15760.0679464278,1.85714285714286,24580,288.465517241379,"TF9 3FJ","TF9","3FJ","TF93FJ"
107758,"TF93NL","E01028871","9E8910A1-E013-2C71-E053-A03BA40A7146","Playing Field",16222.2661999993,358.8161,2,25973,22.1896551724138,"300-600m",448.597183928571,15760.0679464278,1.85714285714286,24580,288.465517241379,"TF9 3NL","TF9","3NL","TF93NL"
107759,"TF93UU","E01028875","9E8910A1-E55A-2C71-E053-A03BA40A7146","Playing Field",57625.8209000046,192.60323,3,84517,38.7846153846154,"Less than or equal to 300m",282.280477307692,21034.1358307692,4.44615384615385,103840.369230769,503.079030558483,"TF9 3UU","TF9","3UU","TF93UU"
114942,"TF91JR","E01028878","9E8910A2-0377-2C71-E053-A03BA40A7146","Playing Field",29413.9851499977,129.02713,6,137759,24.4444444444444,"Less than or equal to 300m",223.007762873016,17794.3979198405,4,64249.9365079365,2354.50211766263,"TF9 1JR","TF9","1JR","TF91JR"
117906,"TF91EU","E01028873","9E8910A1-EA5A-2C71-E053-A03BA40A7146","Playing Field",3406.47339999687,369.24246,5,133481,28.8082191780822,"300-600m",346.029899452055,19360.1044191761,5.27397260273973,128573.232876712,1214.93835616438,"TF9 1EU","TF9","1EU","TF91EU"
126182,"TF91HB","E01028873","9E8910A1-EA5A-2C71-E053-A03BA40A7146","Playing Field",3406.47339999687,245.40579,5,133481,28.8082191780822,"Less than or equal to 300m",346.029899452055,19360.1044191761,5.27397260273973,128573.232876712,1214.93835616438,"TF9 1HB","TF9","1HB","TF91HB"
126183,"TF93BB","E01028876","9E8910A2-0377-2C71-E053-A03BA40A7146","Playing Field",29413.9851499977,350.48822,4,113931,37.6739130434783,"300-600m",267.362095652174,14110.1030586943,5.6304347826087,125540.717391304,2354.50211766263,"TF9 3BB","TF9","3BB","TF93BB"
127649,"TF93SJ","E01028873","9E8910A1-E55A-2C71-E053-A03BA40A7146","Playing Field",57625.8209000046,569.289,5,133481,28.8082191780822,"300-600m",346.029899452055,19360.1044191761,5.27397260273973,128573.232876712,503.079030558483,"TF9 3SJ","TF9","3SJ","TF93SJ"
131169,"TF93ED","E01028876","9E8910A1-F6EA-2C71-E053-A03BA40A7146","Playing Field",4277.89794999897,350.70502,6,133158,37.6739130434783,"300-600m",267.362095652174,14110.1030586943,5.6304347826087,125540.717391304,2536.7968645485,"TF9 3ED","TF9","3ED","TF93ED"
135817,"TF91HS","E01028874","9E8910A1-ECD5-2C71-E053-A03BA40A7146","Playing Field",20421.7242999994,235.44002,2,23828,34.5,"Less than or equal to 300m",176.7066257,17091.3694299985,3.025,53306.225,937.541095890411,"TF9 1HS","TF9","1HS","TF91HS"
144278,"TF91JZ","E01028878","9E8910A2-0377-2C71-E053-A03BA40A7146","Playing Field",29413.9851499977,271.30057,3,37363,24.4444444444444,"Less than or equal to 300m",223.007762873016,17794.3979198405,4,64249.9365079365,2354.50211766263,"TF9 1JZ","TF9","1JZ","TF91JZ"
149497,"TF91EX","E01028873","9E8910A1-ECD5-2C71-E053-A03BA40A7146","Playing Field",20421.7242999994,359.02228,5,133481,28.8082191780822,"300-600m",346.029899452055,19360.1044191761,5.27397260273973,128573.232876712,937.541095890411,"TF9 1EX","TF9","1EX","TF91EX"
149498,"TF91RR","E01028874","9E8910A1-EA5A-2C71-E053-A03BA40A7146","Playing Field",3406.47339999687,94.04786,3,53242,34.5,"Less than or equal to 300m",176.7066257,17091.3694299985,3.025,53306.225,1214.93835616438,"TF9 1RR","TF9","1RR","TF91RR"
161244,"TF91PN","E01028873","9E8910A2-0377-2C71-E053-A03BA40A7146","Playing Field",29413.9851499977,428.6269,6,137759,28.8082191780822,"300-600m",346.029899452055,19360.1044191761,5.27397260273973,128573.232876712,2354.50211766263,"TF9 1PN","TF9","1PN","TF91PN"
161245,"TF91QT","E01028874","9E8910A1-EA5A-2C71-E053-A03BA40A7146","Playing Field",3406.47339999687,89.498604,3,53242,34.5,"Less than or equal to 300m",176.7066257,17091.3694299985,3.025,53306.225,1214.93835616438,"TF9 1QT","TF9","1QT","TF91QT"
164092,"TF91RQ","E01028874","9E8910A1-EA5A-2C71-E053-A03BA40A7146","Playing Field",3406.47339999687,176.72577,2,23828,34.5,"Less than or equal to 300m",176.7066257,17091.3694299985,3.025,53306.225,1214.93835616438,"TF9 1RQ","TF9","1RQ","TF91RQ"
